Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,24.24,24,19.773163
generative ai course,USA,Broad match,13.04,8,7.126629
online ai and ml courses,USA,Phrase match,28.12,19,17.334011
mit xpro ai,USA,Broad match,59.36000000000001,53,50.266575
mit artificial intelligence course,USA,Phrase match,10.0,8,6.3463364
generative ai certificate course,USA,Broad match,1.14,1,0.13570428
generative ai fundamentals course,USA,Broad match,4.4,4,1.8428123
generative ai online course,USA,Broad match,6.04,4,3.148501
generative ai online program,USA,Broad match,6.859999999999999,7,5.09476
generative ai certificate program,USA,Broad match,1.53,1,0.2362479
generative ai foundations course,USA,Broad match,15.36,12,10.866184
mit generative ai certificate,USA,Broad match,7.44,8,6.772628
online course generative ai,USA,Broad match,0.87,1,0.0
professional certificate in ai,USA,Phrase match,0.96,1,-0.009983778
mit professional development,A,Broad match,6.300000000000001,6,2.1026437
generative ai course,A,Broad match,2.88,4,3.0736716
online ai and ml courses,A,Phrase match,2.22,2,0.4780079
mit xpro ai,A,Broad match,9.45,9,8.167066
generative ai fundamentals course,A,Broad match,3.08,4,1.8428123
generative ai online course,A,Broad match,0.49,1,0.0
generative ai online program,A,Broad match,1.16,2,0.27559125
generative ai foundations course,A,Broad match,2.82,2,0.9334091
online course generative ai,A,Broad match,0.76,1,0.0
mit professional development,B,Broad match,2.0,5,0.8622842
generative ai course,B,Broad match,0.29,1,0.0
online ai and ml courses,B,Phrase match,4.5,10,7.7625422
mit xpro ai,B,Broad match,0.37,1,0.0
mit artificial intelligence course,B,Phrase match,0.68,2,0.039343357
generative ai online program,B,Broad match,1.08,3,0.56275225
mit generative ai certificate,B,Broad match,1.02,2,0.4622084
generative ai certification online,B,Broad match,1.48,4,0.5234089
online course generative ai,B,Broad match,1.1,2,0.5234089
mit ai course,USA,Phrase match,4.4,4,1.6190617
stanford ai professional program,USA,Phrase match,1.13,1,0.23624784
generative ai course mit,USA,Exact match,1.16,1,0.13570422
