Budget,Spend New,Clicks New,Purch New,Spend Existing,Clicks Existing,Purch Existing,Spend Existing searches,Clicks Existing searches,Purch Existing searches
Actual,0.0,0.0,0.0,1.0,1.0,0.9999999999999998,0.0,0.0,0.0
178,0.005184809669638172,0.0006765306649262309,0.0017033096077546923,0.28021589337429215,0.3865415354965143,0.4126979293180274,0.7145992969560695,0.6127819550784412,0.5855987627961057
