Region,Match type,Daily Budget
A,Broad match,26.730000409757537
A,Exact match,13.960000143760888
A,Phrase match,19.900000141871196
B,Broad match,39.9099996450188
B,Exact match,1.279999962098329
B,Phrase match,15.679999767479632
USA,Broad match,46.809894389338396
USA,Exact match,5.440000016345701
USA,Phrase match,8.339999921450074
