Day,Budget,t_Clicks_OptCost,t_Clicks_ActCost,tm1_Clicks_OptCost,Actual_Clicks,Opt_Cost,Act_Cost,Opt_Purch,Act_Purch,N_Opt,N_Obs,Avg_Cost_Change,Pct_New_Keywords,Eval_CV_MSE,Eval_Train_MSE,Eval_Train_R2,Eval_Best_Params,Hist_MSE,Hist_R2,Hist_Bias,Opt_Cost_Region_B,Act_Cost_Region_B,Opt_Clicks_Region_B,Act_Clicks_Region_B,Opt_Purch_Region_B,Act_Purch_Region_B,Opt_Cost_Region_A,Act_Cost_Region_A,Opt_Clicks_Region_A,Act_Clicks_Region_A,Opt_Purch_Region_A,Act_Purch_Region_A,Opt_Cost_Region_USA,Act_Cost_Region_USA,Opt_Clicks_Region_USA,Act_Clicks_Region_USA,Opt_Purch_Region_USA,Act_Purch_Region_USA,Opt_Cost_Origin_new,Act_Cost_Origin_new,Opt_Clicks_Origin_new,Act_Clicks_Origin_new,Opt_Purch_Origin_new,Act_Purch_Origin_new,Opt_Cost_Origin_existing,Act_Cost_Origin_existing,Opt_Clicks_Origin_existing,Act_Clicks_Origin_existing,Opt_Purch_Origin_existing,Act_Purch_Origin_existing,Opt_Cost_Origin_existing searches,Act_Cost_Origin_existing searches,Opt_Clicks_Origin_existing searches,Act_Clicks_Origin_existing searches,Opt_Purch_Origin_existing searches,Act_Purch_Origin_existing searches,Opt_Cost_Match_Exact match,Act_Cost_Match_Exact match,Opt_Clicks_Match_Exact match,Act_Clicks_Match_Exact match,Opt_Purch_Match_Exact match,Act_Purch_Match_Exact match,Opt_Cost_Match_Phrase match,Act_Cost_Match_Phrase match,Opt_Clicks_Match_Phrase match,Act_Clicks_Match_Phrase match,Opt_Purch_Match_Phrase match,Act_Purch_Match_Phrase match,Opt_Cost_Match_Broad match,Act_Cost_Match_Broad match,Opt_Clicks_Match_Broad match,Act_Clicks_Match_Broad match,Opt_Purch_Match_Broad match,Act_Purch_Match_Broad match
2025-12-01,178,100.13512,120.95368,153.0991372622482,177,178.04989439712054,339.51,0.11643216433839465,0.25678278053693526,73,30,,,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.488994836807251,0.8997662663459778,-9.917821041557907e-06,56.86999937459676,34.620000000000005,83.22589,56.438164,0.06460228449968816,0.0438088878622456,60.59000069538962,79.17999999999999,16.499119,27.430548,0.05040137173111753,0.08379459488233368,60.58989432713417,225.70999999999998,0.41009814,37.08498,0.001428508107588965,0.129179297792356,0.6399999810491644,0.0,0.0,0.0,0.0,0.0,68.90000024630538,339.51,66.71596,120.95368,0.07897156091389776,0.25678278053693526,108.509894169766,0.0,33.41915,0.0,0.037460601967858845,0.0,20.680000122204916,37.26,3.418477,2.4892075,0.01040482297486145,0.008642445398487094,43.919999830800904,32.980000000000004,18.051716,4.7021823,0.025846112013624578,0.013262235495822287,113.4498944441147,269.27,78.66492,113.7623,0.08018122864548924,0.23487810536584167
2025-12-02,178,49.53525,122.33064,136.5167155830203,170,174.31000082157527,333.08,0.0945966872543465,0.2531073600401658,141,36,0.2343979645034103,0.9361702127659575,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.5090065002441406,0.8988060355186462,-4.908635916489144e-05,12.100000552173194,32.49,24.955755,59.028996,0.019371359443061897,0.04581996733626639,79.62000087621519,85.97999999999999,24.252556,30.833172,0.0740864985473437,0.09418890174514162,82.58999939318689,214.60999999999999,0.32693672,32.468475,0.001138829263940907,0.1130984909587578,0.0,0.0,0.0,0.0,0.0,0.0,24.870000662737638,333.08,28.652308,122.33064,0.030663555473746433,0.2531073600401658,149.44000015883765,0.0,20.88294,0.0,0.06393313178060006,0.0,2.9999999770963797,60.849999999999994,0.14795953,4.160643,0.000451985497927786,0.014077681999354606,6.419999962847671,14.99,0.36234546,1.4913356,0.001177627326528063,0.004165180667195301,164.8900008816312,257.24,49.02494,116.678665,0.09296707242701334,0.23486450262241088
2025-12-03,178,141.01878,138.57133,174.8522235532111,204,178.57000000000068,349.52000000000004,0.15418600581617986,0.2848189832364535,126,37,0.2552549981537527,0.6904761904761905,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.5165082216262815,0.8986787796020508,7.364833965912591e-08,42.82999899109906,42.29,121.58481,67.81774,0.09437754951889621,0.052642039195158634,61.54000012539927,85.84,18.403112,33.32549,0.05621767498822674,0.10180241666983596,74.20000088350241,221.39,1.0308466,37.428104,0.003590781309056902,0.13037452737145888,0.0,0.0,0.0,0.0,0.0,0.0,29.509999677204576,349.52000000000004,10.007317,138.57133,0.03064632952489152,0.2848189832364535,149.0600003227961,0.0,131.01146,0.0,0.12353967067235895,0.0,14.369892866128513,54.01,-0.018722951,4.775774,-6.5218262598495e-05,0.01573763178001189,59.7198923527426,31.819999999999997,69.368126,5.590218,0.07372020200220392,0.016073144974082694,104.48021478112965,263.68999999999994,71.66937,128.20534,0.0805310223319965,0.25300820081658093
2025-12-04,178,90.096695,125.45102,141.83894150086314,174,178.56999999999482,321.47999999999996,0.09248805842090335,0.25638996531840186,163,38,0.4467443386060598,0.9325153374233128,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.516337752342224,0.8991885185241699,-0.000131321720685,39.550000724630024,35.419999999999995,80.745735,63.41482,0.06267711174399541,0.04922436897636969,69.50999963768113,58.85000000000001,6.4441175,20.831392,0.019685433275488634,0.06363555759751759,69.50999963768365,227.20999999999998,2.9068465,41.20481,0.01012551340141931,0.14353003874451462,0.0,0.0,0.0,0.0,0.0,0.0,33.910000594668745,321.47999999999996,60.71691,125.45102,0.04768940470465045,0.25638996531840186,144.65999940532606,0.0,29.379787,0.0,0.04479865218462916,0.0,31.539999539569354,24.28,1.0701652,1.8198006,0.0037066053442738455,0.0060179511805573144,82.22000099724237,22.91,47.189583,2.7490325,0.054028878367040886,0.008250888962454055,64.80999946318306,274.28999999999996,41.836952,120.88219,0.03475257450196583,0.242121129002729
2025-12-05,178,32.42193,113.72007,99.56249982582362,170,178.0999977185814,295.81000000000006,0.10022703014094099,0.22713371434452684,114,35,0.40030719486812494,0.6491228070175439,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.4711387157440186,0.9026018381118774,5.7465995026512695e-05,0.0,37.559999999999995,0.0,59.01183,0.0,0.04580664249714892,88.63999969825501,55.59999999999999,29.657187,21.561361,0.09059651770322819,0.06586545485523194,89.45999802032641,202.65000000000003,2.7647414,33.146885,0.0096305124377128,0.11546161699214595,0.0,0.0,0.0,0.0,0.0,0.0,42.28000030857359,295.81000000000006,14.754876,113.72007,0.045102852470405304,0.2271337143445268,135.81999741000783,0.0,17.667051,0.0,0.05512417767053567,0.0,45.229999341477615,28.76,8.457784,2.1163793,0.026107490250910078,0.007076481428274287,40.689999414679605,19.919999999999998,7.0955014,3.291933,0.021946002093173454,0.009396639399337435,92.17999896242422,247.12999999999997,16.86864,108.31175,0.052173535091204155,0.21066059078428895
2025-12-06,178,128.47221,122.18811,150.3926386460081,194,174.59999937685313,374.28999999999996,0.15895858922510048,0.27178049800974685,67,40,7.82537040726974,0.9402985074626866,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.5220571756362915,0.899526059627533,-1.687325713528725e-05,52.22000026907544,34.74000000000001,103.67554,51.066185,0.0804758692327999,0.03963900974774769,61.55000057779379,110.83999999999999,18.416754,36.40215,0.05625933483618763,0.11120099490085691,60.82999852998394,228.70999999999998,6.379922,34.719772,0.022223385156112937,0.12094049336114225,0.9599999808363684,0.0,0.10324657,0.0,0.00035964211744748666,0.0,23.739999818864227,374.28999999999996,7.5477147,122.18811,0.009237823463507782,0.27178049800974685,149.89999957715256,0.0,120.82124,0.0,0.1493611261421757,0.0,8.749999793150195,23.740000000000002,0.52668846,1.6589175,0.0016165746560248698,0.005675937437891074,58.2899999406851,28.730000000000004,60.999084,3.3113766,0.06521782275799949,0.008965074986621125,107.55999964301787,321.82,66.946434,117.21782,0.09212419387496908,0.25713948772026096
2025-12-07,178,69.27827,137.44832,98.85872439863388,188,172.12999834238252,394.08000000000004,0.09708868287221059,0.2901064383129157,119,41,2.1005313856884125,0.8907563025210085,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.500883936882019,0.9013800024986268,-5.520980637918149e-05,35.47999990651623,35.36000000000001,50.60338,63.614227,0.039279769124065216,0.04937915030755828,68.29000038557807,116.77000000000001,16.89903,38.412735,0.05162301326989581,0.11734289171935111,68.35999805028825,241.95,1.7758571,35.42137,0.006185900478249577,0.12338439628600631,0.0,0.0,0.0,0.0,0.0,0.0,43.74999974716263,394.08000000000004,23.494919,137.44832,0.03899533288047387,0.2901064383129157,128.37999859521994,0.0,45.783348,0.0,0.05809335121685234,0.0,23.67999940002742,50.349999999999994,2.4871082,3.3403337,0.0026106845988532086,0.011467685550863027,50.76999954425004,26.36,19.08714,4.32102,0.030031044253460575,0.013199815035194282,97.67999939810508,317.37000000000006,47.704025,129.78697,0.06444695416149626,0.2654389396177197
2025-12-08,178,134.82033,116.85583,179.91656063042922,173,178.56999996440902,340.53,0.15006059254310208,0.2466277886209104,89,32,1.9739185444338203,0.797752808988764,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.5065865516662598,0.9014207124710084,-0.0001047275567334,59.47999875747534,31.610000000000003,115.81677,54.982536,0.08990023775520456,0.04267898888228949,59.530000598924964,73.75000000000001,14.083506,27.01367,0.0430221716016326,0.08252112033551902,59.56000060800871,235.17,4.9200535,34.85963,0.01713818318626492,0.12142767940310188,0.0,0.0,0.0,0.0,0.0,0.0,16.420000278205166,340.53,1.8581511,116.85583,0.006049964805615042,0.2466277886209104,162.14999968620387,0.0,132.96219,0.0,0.14401062810164655,0.0,18.190000349953063,31.619999999999997,0.9868935,2.0491564,0.003416542449553731,0.00705301766524701,50.81999999719941,21.75,59.43699,3.8459184,0.051315136873952324,0.011872510288881102,109.55999961725655,287.15999999999997,74.396454,110.960754,0.09532891332504669,0.22770226012710004
2025-12-09,178,55.73535,128.43353,103.59623550930755,192,167.14999915350592,329.9,0.10868348735998372,0.2627413381689661,95,32,2.1536661287208556,0.8315789473684211,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.4779270887374878,0.903725564479828,2.601532509960216e-06,21.060000326692514,34.12,27.622324,63.498474,0.021441225146193628,0.04928930535900219,78.7499988194073,89.53999999999999,24.932934,29.7249,0.07616491127538878,0.09080337195809639,67.34000000740615,206.23999999999998,3.1801019,35.210155,0.011077350938401303,0.12264866085186756,1.9200000278280231,0.0,0.075323105,0.0,0.0002623754088892086,0.0,40.019999708143615,329.9,10.729858,128.43353,0.03218349621059719,0.26274133816896617,125.2099994175343,0.0,44.93018,0.0,0.0762376161331873,0.0,16.34000001268398,43.660000000000004,7.498889,4.054016,0.009693894397855578,0.01308336262356712,47.40999964097371,28.439999999999998,8.121731,5.3219366,0.02346363376435839,0.016434131358811555,103.39999949984826,257.8,40.11474,119.05757,0.07552595608766505,0.23322385272823437
2025-12-10,178,101.624626,92.15973,150.92502514544532,147,168.19999806738628,252.56,0.13026075515294863,0.1836830931608156,59,33,1.263488076188497,0.6949152542372882,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.503741979598999,0.9025506973266602,4.218823529648837e-05,50.169999635011756,27.93,79.68054,48.46169,0.061850272904927145,0.03761732666286475,57.72999945605692,53.67999999999999,18.73353,14.348797,0.05722702609896933,0.0438325780020674,60.299998976317625,170.95,3.2105627,29.34925,0.011183456149052156,0.10223318849588343,0.0,0.0,0.0,0.0,0.0,0.0,50.85000047870385,252.56,14.229377,92.15973,0.04413913062745413,0.18368309316081557,117.34999758868246,0.0,87.395256,0.0,0.0861216245254945,0.0,10.959999707563984,38.12,0.117039025,4.8538065,0.0003991872727502202,0.015495412281388381,65.73999928662714,16.889999999999997,32.278336,1.7156669,0.04420555252769663,0.005393001464023365,91.49999907319517,197.55000000000004,69.22926,85.59026,0.0856560188598164,0.162794682424295
