Day,Budget,t_Clicks_OptCost,t_Clicks_ActCost,tm1_Clicks_OptCost,Actual_Clicks,Opt_Cost,Act_Cost,Opt_Purch,Act_Purch,N_Opt,N_Obs,Avg_Cost_Change,Pct_New_Keywords,Eval_CV_MSE,Eval_Train_MSE,Eval_Train_R2,Eval_Best_Params,Hist_MSE,Hist_R2,Hist_Bias,Opt_Cost_Region_A,Act_Cost_Region_A,Opt_Clicks_Region_A,Act_Clicks_Region_A,Opt_Purch_Region_A,Act_Purch_Region_A,Opt_Cost_Region_USA,Act_Cost_Region_USA,Opt_Clicks_Region_USA,Act_Clicks_Region_USA,Opt_Purch_Region_USA,Act_Purch_Region_USA,Opt_Cost_Region_B,Act_Cost_Region_B,Opt_Clicks_Region_B,Act_Clicks_Region_B,Opt_Purch_Region_B,Act_Purch_Region_B,Opt_Cost_Origin_new,Act_Cost_Origin_new,Opt_Clicks_Origin_new,Act_Clicks_Origin_new,Opt_Purch_Origin_new,Act_Purch_Origin_new,Opt_Cost_Origin_existing,Act_Cost_Origin_existing,Opt_Clicks_Origin_existing,Act_Clicks_Origin_existing,Opt_Purch_Origin_existing,Act_Purch_Origin_existing,Opt_Cost_Origin_existing searches,Act_Cost_Origin_existing searches,Opt_Clicks_Origin_existing searches,Act_Clicks_Origin_existing searches,Opt_Purch_Origin_existing searches,Act_Purch_Origin_existing searches,Opt_Cost_Match_Exact match,Act_Cost_Match_Exact match,Opt_Clicks_Match_Exact match,Act_Clicks_Match_Exact match,Opt_Purch_Match_Exact match,Act_Purch_Match_Exact match,Opt_Cost_Match_Phrase match,Act_Cost_Match_Phrase match,Opt_Clicks_Match_Phrase match,Act_Clicks_Match_Phrase match,Opt_Purch_Match_Phrase match,Act_Purch_Match_Phrase match,Opt_Cost_Match_Broad match,Act_Cost_Match_Broad match,Opt_Clicks_Match_Broad match,Act_Clicks_Match_Broad match,Opt_Purch_Match_Broad match,Act_Purch_Match_Broad match
2025-12-01,177,71.66325,139.51367,135.74359010420514,190,176.99999902607163,339.01,0.09305828896336833,0.10993365474438237,153,44,,,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.9764676094055176,0.9046445488929749,1.4425234260976106e-05,0.0,50.56000000000001,0.0,26.712723,0.0,0.020423500815145296,176.99999902607163,256.5,71.66325,63.713455,0.09305828896336833,0.08273506749390189,0.0,31.95,0.0,49.087494,0.0,0.006775086435335182,56.599999855026866,0.0,20.548786,0.0,0.02668361257106875,0.0,16.939999956200122,339.01,6.996999,139.51367,0.009085949571930003,0.10993365474438237,103.45999921484464,0.0,44.117477,0.0,0.05728872620117295,0.0,8.509999840567264,7.5,2.5566325,1.08901,0.003319913760715619,0.0006512992491960688,27.199999796970445,35.900000000000006,8.914141,4.56643,0.011575453776812163,0.005145077258563789,141.28999938853394,295.61,60.192482,133.85823,0.07816291956825067,0.10413727824552652
2025-12-02,177,56.061554,154.50398,117.89482938891825,213,176.9700002526554,344.9,0.07279870026539065,0.12049363862162309,163,43,0.202422258059922,0.44171779141104295,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",2.0166335105896,0.9028035402297974,-2.1183627284330355e-05,0.0,50.2,0.0,29.717247,0.0,0.022720637903157412,176.9700002526554,259.25,56.061554,69.40789,0.07279870026539065,0.09012957806154967,0.0,35.45,0.0,55.37884,0.0,0.007643422656916,51.449999447309125,0.0,15.542608,0.0,0.020182844229098884,0.0,16.690000052969523,344.9,5.7360487,154.50398,0.007448542904089844,0.12049363862162309,108.83000075237675,0.0,34.782894,0.0,0.045167313132201924,0.0,6.480000031628121,3.38,0.639794,0.46002144,0.0008308041388867671,0.0004525656831684822,24.070000109932945,14.04,5.928177,2.3406553,0.007698030849173707,0.002230397904268769,146.4200001110943,327.47999999999996,49.493584,151.70331,0.06426986605132597,0.11781067649863991
2025-12-03,177,49.02108,150.82274,113.67582632367743,214,176.91999941511915,350.34000000000003,0.06012657136436413,0.1246500684329552,285,44,0.3478702463697651,0.8912280701754386,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",2.033569812774658,0.9021458625793456,4.655880912965421e-05,25.889999907235918,53.22,6.610117,30.922356,0.005053835974497714,0.023642021111170086,151.02999950788328,265.53,42.410965,72.77657,0.05507273538986642,0.09450398925816933,0.0,31.589999999999996,0.0,47.123817,0.0,0.006504058063615788,18.829999697708143,0.0,4.952713,0.0,0.005571676888201531,0.0,11.170000042793221,350.34000000000003,2.289835,150.82274,0.002973463957543795,0.1246500684329552,146.91999967461783,0.0,41.778534,0.0,0.051581431757012075,0.0,14.660000310725527,5.37,2.7847724,0.7273268,0.0036161649833881863,0.0006624556273017446,58.04999994889961,32.769999999999996,16.197102,5.205144,0.01935825551928685,0.00477548870751029,104.20999915549405,312.2,30.039206,144.89027,0.037152149495983014,0.1192121239183755
2025-12-04,177,56.846104,146.51205,149.2419344981369,202,176.99999450157333,342.20000000000005,0.07381747686683059,0.11231453637506207,208,42,0.9432959297247745,0.9134615384615384,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",2.079571485519409,0.9001165628433228,5.497867484790751e-06,0.0,52.07,0.0,28.525572,0.0,0.02180953413909582,176.99999450157333,258.35,56.846104,63.953976,0.07381747686683059,0.08304740018188474,0.0,31.779999999999998,0.0,54.032516,0.0,0.007457602054081519,38.72999872006447,0.0,12.7665,0.0,0.016577933454083215,0.0,13.859999519837922,342.20000000000005,5.570645,146.51205,0.007233757834208192,0.11231453637506207,124.40999626167093,0.0,38.50896,0.0,0.0500057899129156,0.0,20.339999495564875,25.61,2.1278489,2.2865803,0.0027631169795171136,0.0029694698950827373,40.899998961660295,22.759999999999998,9.810009,3.270033,0.012738783070226519,0.0037516866720684596,115.75999604434817,293.83,44.90825,140.95544,0.058315577126685274,0.1055933795250813
2025-12-05,177,30.120989,114.29739,186.46452824137106,158,176.899996282664,242.95999999999998,0.0391025197080293,0.08532115913291814,273,36,0.6360031491023078,0.967032967032967,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",2.063711166381836,0.9009536504745485,-0.0001659238199263,1.1899999849656657,32.129999999999995,0.02073896,16.292206,1.5856195414367107e-05,0.012456381979985562,175.70999629769835,179.33,30.10025,51.13017,0.03908666351261493,0.06639505786861605,0.0,31.500000000000004,0.0,46.875015,0.0,0.006469719284316534,9.02999980841943,0.0,0.8550254,0.0,0.0011102927799546125,0.0,3.099999928612747,242.95999999999998,0.10696244,114.29739,0.00013889602114901728,0.08532115913291814,164.76999654563184,0.0,29.159,0.0,0.03785333013292987,0.0,38.85999915907794,7.61,4.125073,0.5501268,0.005356611233851007,0.0007145990306995461,55.1399988377004,14.469999999999999,10.164766,2.3730774,0.013199451741601132,0.0022969006186059067,82.89999828588569,220.88000000000002,15.831149,111.37419,0.020546456113380525,0.08230965801033847
2025-12-06,177,65.37669,112.400635,141.04995729307603,151,177.00000000000045,226.74999999999997,0.0842615377894913,0.08251775547480973,193,29,0.2479119986115014,0.6787564766839378,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.9284075498580933,0.9075268507003784,-0.000411932438143,2.810004986739537,36.72,1.1860315,23.601519,0.0009067931676856301,0.018044794611314783,174.1899950132609,163.56999999999996,64.19066,44.994015,0.08335474462180567,0.05842695326315368,0.0,26.46,0.0,43.805103,0.0,0.006046007600341262,23.16999939768997,0.0,8.85529,0.0,0.011209567910149367,0.0,11.749999729406126,226.74999999999997,3.7474508,112.400635,0.004866250226414807,0.08251775547480973,142.08000087290435,0.0,52.77395,0.0,0.06818571965292713,0.0,20.25999933000679,5.23,6.325171,0.8977972,0.008213547338953827,0.0011658340985871952,37.09999893183901,3.0100000000000002,13.783575,0.48608953,0.017858617075209467,0.000519798445673566,119.64000173815465,218.51,45.26794,111.016754,0.058189373994524646,0.08083212359965883
2025-12-07,177,61.280586,227.05382,154.88247989852198,289,177.0000000000002,571.83,0.07676996456936977,0.19951989843466206,194,45,0.021026900045180322,0.5721649484536082,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.9322068691253664,0.9073864817619324,-0.0002218196299043,12.750000117749158,87.86999999999999,5.2546196,50.17325,0.004017476186967624,0.03836049907281217,164.24999988225105,444.0400000000001,56.025967,117.830956,0.07275248838240214,0.15300933281484785,0.0,39.92,0.0,59.049625,0.0,0.008150066547002016,32.499999232004285,0.0,10.73206,0.0,0.013234014009929239,0.0,12.449999586096956,571.83,3.83725,227.05382,0.004982859193614484,0.19951989843466206,132.05000118189895,0.0,46.711277,0.0,0.058553088178700134,0.0,27.4900000502909,11.66,7.810969,1.6905289,0.009480939831939485,0.0018877876812833547,26.040000238362367,24.87,9.764068,4.304124,0.01200980370463085,0.004067156360382039,123.46999971134692,535.3,43.705547,221.05919,0.055279219612120664,0.19356495162671317
2025-12-08,177,41.16476,130.76952,157.0358510211626,191,176.99999784612245,317.5200000000001,0.053454477377849766,0.10312319787989614,223,39,0.14408311108550412,0.8161434977578476,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",2.0381054878234863,0.9030444622039796,-0.0001198277894011,0.2899999972067189,50.08,0.0,26.659935,0.0,0.02038314134702355,176.70999784891575,235.20999999999998,41.16476,58.91348,0.053454477377849766,0.07650206082799935,0.0,32.23,0.0,45.196114,0.0,0.0062379957048732506,44.31999916999448,0.0,5.917963,0.0,0.007684767038134247,0.0,18.049999585344327,317.5200000000001,3.495965,130.76952,0.004539683446271231,0.10312319787989614,114.62999909078364,0.0,31.750832,0.0,0.04123002751264092,0.0,8.270000010418917,7.300000000000001,2.9911003,2.2187488,0.0038840916753577486,0.00128662273087371,37.08999974040142,45.48,8.846882,10.4646845,0.011488114853571513,0.008388687773642848,131.63999809530213,264.74,29.326778,118.08609,0.03808227208731377,0.09344788813112596
2025-12-09,177,47.97821,156.44582,164.08912283796468,220,177.00000000000284,359.0799999999999,0.061925692736507255,0.12697458596756214,189,38,0.03379615824579017,0.4656084656084656,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",2.0737435817718506,0.901496648788452,-0.0002864410924253,1.2700000493134864,51.56,0.70484304,29.678448,0.0005388953649122469,0.022690979323064187,175.72999995068932,275.52,47.273365,74.78237,0.06138679737159501,0.09710860768958315,0.0,32.0,0.0,51.984985,0.0,0.007174998954914796,28.880000383637807,0.0,4.550831,0.0,0.005909478902825485,0.0,9.309996414446323,359.0799999999999,1.8539984,156.44582,0.002407508638971467,0.12697458596756214,138.81000320191868,0.0,41.57338,0.0,0.05360870798109514,0.0,23.700000775989103,0.99,6.996993,0.1884296,0.009085941522373795,0.00014406588199219604,31.620001000924617,21.86,10.888594,2.4869494,0.014139378605615786,0.0032294268418013488,121.6799982230891,336.22999999999996,30.092619,153.77042,0.038700375085304196,0.12360109812500153
2025-12-10,177,138.15103,142.6751,224.98386052286443,198,176.9399987398305,343.87000000000006,0.17609893051110329,0.12498582880015634,152,41,0.2224804647028723,0.9210526315789473,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",2.053473234176636,0.9027178287506104,-0.0002597338606096,8.529999899387205,52.540000000000006,6.174315,32.53756,0.004720639224478515,0.024876945588240877,168.40999884044328,263.42,131.97672,73.16289,0.17137829128662477,0.09500561778670562,0.0,27.91,0.0,36.974663,0.0,0.005103265425209838,3.979999887483116,0.0,1.6529347,0.0,0.0021464174134141803,0.0,8.499999829428798,343.87000000000006,7.092122,142.6751,0.009209471250321713,0.12498582880015634,164.45999902291857,0.0,129.40598,0.0,0.1647430426213632,0.0,47.069999677538284,8.77,33.789173,1.0697687,0.04348725093688999,0.0013891475184711465,47.119999735341175,16.33,37.432724,3.1043096,0.0482070510668272,0.002505564782512936,82.74999932695107,318.77000000000004,66.92913,138.50102,0.08440463359767328,0.12109111834147114
