Match type,Region,day_of_week,is_weekend,month,is_public_holiday,days_to_next_course_start,last_month_searches,three_month_avg,six_month_avg,mom_change,search_trend,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Avg. CPC,competition_x_is_exact,competition_x_is_phrase,competition_x_is_broad,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,Conv. value,Clicks,EPC
Exact match,USA,Sunday,1,2,0,1,390.0,373.3333333333333,293.3333333333333,50.0,55.4285714285714,64.0,3.28,9.96,7.33,64.0,0.0,0.0,-0.8252271,-0.179447,0.31325668,0.19647859,-0.10511518,-0.046305705,-0.32943323,-0.13362247,-0.008690132,-0.10205529,0.0,1,0.0
Exact match,USA,Thursday,0,12,0,46,30.0,90.0,82.0,-36.36363636363637,4.0000000000000036,94.0,6.51,16.04,7.87,94.0,0.0,0.0,-0.8745607,0.45093387,0.03716099,-0.060712785,0.0066776513,0.07064054,-0.03969984,0.14177087,0.0027217215,-0.0042533376,0.0,1,0.0
Exact match,B,Sunday,1,8,0,57,50.0,36.666666666666664,31.666666666666668,25.0,3.7142857142857126,92.0,6.62,30.09,5.1,92.0,0.0,0.0,-0.798748,-0.44620466,0.054916356,-0.36944106,-0.036471285,-0.0901068,-0.09518444,0.057799112,0.03915082,-0.0041851564,0.0,3,0.0
Exact match,USA,Friday,0,12,0,45,10.0,13.333333333333334,12.0,100.0,2.0,90.0,3.6,6.53,6.56,90.0,0.0,0.0,-0.8688908,0.44558,-0.0020137937,-0.052572474,-0.08118785,-0.021364272,-0.06743565,0.07082298,0.15962946,0.040327173,0.0,2,0.0
Exact match,USA,Tuesday,0,7,0,90,8100.0,9900.0,10416.666666666666,0.0,-545.7142857142856,78.0,3.74,13.2,1.86,78.0,0.0,0.0,-0.89922076,-0.23309001,-0.276791,0.103950225,-0.11251609,-0.072584055,-0.121404864,0.1269498,-0.0026515354,-0.029348094,0.0,1,0.0
Phrase match,USA,Thursday,0,1,0,32,8100.0,9300.0,9600.0,-18.181818181818183,-257.14285714285745,85.0,4.18,13.54,3.23,0.0,85.0,0.0,-0.73328626,-0.51195157,0.011241888,-0.2472338,0.28622937,0.0771871,-0.19041793,0.10554664,0.060216464,0.005970414,400.0,22,18.181818181818183
Broad match,A,Friday,0,12,0,52,70.0,76.66666666666667,73.33333333333333,-22.22222222222222,3.9999999999999973,80.0,5.35,22.88,0.44,0.0,0.0,80.0,-0.79635614,-0.20052645,0.22827151,-0.18871479,-0.37047443,-0.20789817,0.0048540086,-0.09808453,-0.21631148,0.031261045,0.0,1,0.0
Exact match,B,Sunday,1,6,0,106,50.0,40.0,20.0,133.33333333333331,13.142857142857139,35.0,7.61,19.54,1.05,35.0,0.0,0.0,-0.7345431,-0.17422186,0.30002102,0.30408055,0.19277288,-0.12133545,-0.027243758,-0.023025278,0.03204034,0.4398103,0.0,1,0.0
Phrase match,B,Monday,0,12,0,63,20.0,23.333333333333332,26.0,50.0,-1.0000000000000002,87.0,3.9,10.31,1.05,0.0,87.0,0.0,-0.9168682,-0.15324393,-0.16508907,0.24090193,-0.02150854,-0.019097993,-0.1491514,0.028950708,0.044597924,0.15709953,0.0,1,0.0
Phrase match,A,Saturday,1,12,0,51,1600.0,813.3333333333334,702.0,38.88888888888889,117.0,88.0,4.0,12.65,2.19,0.0,88.0,0.0,-0.9284576,-0.12338971,-0.21699543,0.21056151,-0.056184717,0.106688954,0.0394658,-0.067668945,-0.004854815,0.10304732,0.0,2,0.0
