Keyword,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9
mit xpro ai,-0.79635614,-0.20052645,0.22827151,-0.18871479,-0.37047443,-0.20789817,0.0048540086,-0.09808453,-0.21631148,0.031261045
mit artificial intelligence course,-0.85684127,-0.21845795,-0.15520018,-0.11552582,-0.34067073,-0.19110656,-0.05198222,0.13585432,-0.080935985,-0.019456562
professional certificate in ai,-0.7261186,-0.5067716,0.059183232,-0.33485776,0.1615589,0.1802156,0.16011205,-0.052085605,0.0869072,-0.07629786
generative ai course mit,-0.8660836,0.35686338,0.06701868,-0.20440228,-0.27387127,0.015276083,0.01996831,0.0058584586,0.0002780766,0.024572898
prompt engineering course,-0.5837946,-0.05310581,-0.26099914,0.03717354,-0.35111913,0.2009468,-0.36013666,-0.44978184,0.09891235,-0.28532633
mit xpro ai course,-0.8548024,-0.17345409,-0.07497603,-0.14032638,-0.3908424,-0.07271588,-0.046785284,-0.10893885,-0.20127937,-0.036030762
online generative ai course,-0.8513745,0.4043049,-0.19814363,0.0068273274,0.12043746,-0.1533268,0.14915222,-0.075809814,-0.029775683,-0.074142136
artificial intelligence course,-0.89922076,-0.23309001,-0.276791,0.103950225,-0.11251609,-0.072584055,-0.121404864,0.1269498,-0.0026515354,-0.029348094
mit generative ai course,-0.8766873,0.3356876,0.074343055,-0.20200188,-0.2608235,0.0025626617,0.03181466,0.052949816,-0.02063194,0.0111612575
generative ai fundamentals,-0.79680604,0.46303788,0.31550753,-0.07871669,0.09578379,-0.023372086,-0.089214176,0.16095446,-0.01386028,0.03429669
ai certification mit,-0.8025453,-0.42958352,0.088617556,-0.36591458,-0.10541282,0.03560675,0.098589964,-0.0350562,-0.03910782,0.06909771
driving innovation with generative ai mit,-0.73266685,0.23524593,0.50030565,-0.14185238,-0.104875684,-0.018706106,0.006701462,-0.10123958,-0.32722673,-0.09332897
generative ai course usa,-0.92490256,0.35971802,-0.009668407,-0.04696563,-0.048767973,0.05273332,-0.020600198,0.011033397,0.06845599,0.049674276
artificial intelligence certification mit,-0.798748,-0.44620466,0.054916356,-0.36944106,-0.036471285,-0.0901068,-0.09518444,0.057799112,0.03915082,-0.0041851564
mit ai class,-0.85061014,-0.12652305,0.10586461,-0.09430632,-0.39983216,-0.12901376,0.13112679,0.06365051,-0.04061945,0.2023545
certification for artificial intelligence,-0.73328626,-0.51195157,0.011241888,-0.2472338,0.28622937,0.0771871,-0.19041793,0.10554664,0.060216464,0.005970414
learn how to program ai,-0.8903785,-0.04550422,0.13202338,0.32216498,0.12422718,-0.0062851524,-0.16079961,-0.07734003,0.05587347,0.18303889
course on generative ai,-0.8745607,0.45093387,0.03716099,-0.060712785,0.0066776513,0.07064054,-0.03969984,0.14177087,0.0027217215,-0.0042533376
artificial intelligence training,-0.91757745,-0.18289874,-0.046809375,0.1662612,0.11286512,-0.12799539,-0.16662343,0.0042069624,0.15047182,0.12337624
driving innovation with ai mit xpro,-0.71593046,-0.14795789,0.46359524,0.03901134,-0.074593626,-0.04210059,-0.041996095,-0.21399194,-0.43900895,-0.038571894
generative ai online training,-0.73847634,0.4613168,-0.02405111,-0.06753179,0.31458434,-0.2644429,0.17218965,-0.19395046,-0.014627138,0.018082093
ai for business,-0.7403708,-0.22922023,0.48828283,0.3172715,0.062306534,0.032341115,0.22945145,0.03755762,-0.018016355,-0.030277733
designing and building ai products and services,-0.70305336,-0.18113448,0.51736104,0.29299313,0.20721897,-0.013856932,0.047423225,-0.12976518,-0.21024461,0.11391434
courses about ai,-0.90898854,-0.12718704,-0.22703624,0.22028287,-0.04122848,0.14654316,0.042950604,0.112733215,-0.13189043,0.04868282
best generative ai courses,-0.893217,0.3638952,-0.12087004,-0.052072998,0.020220913,0.20312375,-0.01893877,0.047493756,-0.08916215,-0.013785926
generative ai workshop online,-0.78020674,0.53151006,0.09658812,-0.07003777,0.21911515,-0.16569331,-0.0011701966,-0.1171981,-0.0018252949,0.07303434
learn generative ai tools,-0.7953215,0.53250015,0.20136878,-0.09419302,0.12175882,0.0542092,-0.11933365,-0.045268524,0.019691095,0.006647447
artificial intelligence certification,-0.77187246,-0.4979816,-0.0072373496,-0.21164195,0.24711579,0.040689487,-0.17922606,0.08048019,0.09761124,0.02310076
ai class,-0.91340566,-0.06599839,0.06571702,0.19581705,-0.07408155,0.018682301,0.038959615,0.012009275,0.024503829,0.33252332
ai certification courses,-0.8563575,-0.36090052,-0.20641176,-0.08721848,0.088751145,0.2568922,0.05794692,-0.044441033,-0.052496135,0.06504335
artificial intelligence master online,-0.8298566,-0.09366395,-0.08775339,0.0011453731,0.20297791,-0.4376213,0.14943793,0.010897007,-0.057124864,-0.1908849
best course on artificial intelligence,-0.85978556,-0.16931146,-0.2551698,0.14974703,-0.04708421,-0.0136145605,-0.16266118,0.3143448,-0.12551397,-0.033753976
artificial intelligence for engineers,-0.70229524,-0.1592141,0.2508891,0.20197664,-0.111562885,-0.15659219,-0.5331855,-0.05016263,0.14585052,-0.18069167
course on machine learning and artificial intelligence,-0.8684224,-0.20608692,-0.28876844,0.06433304,0.04724341,-0.09541744,-0.15480998,0.25421363,-0.0975835,-0.07996958
ai learning course,-0.9284576,-0.12338971,-0.21699543,0.21056151,-0.056184717,0.106688954,0.0394658,-0.067668945,-0.004854815,0.10304732
best ai learning course,-0.90681326,-0.11861312,-0.27502805,0.18736835,-0.030312255,0.13912211,0.01793076,0.020724876,-0.11884602,0.13313213
artificial intelligence online program,-0.71138155,-0.12080967,-0.07350798,0.16755264,0.2895131,-0.5852683,0.058681145,-0.06629053,0.096470945,-0.048605677
top artificial intelligence certification,-0.78107893,-0.4709097,0.013554651,-0.20746155,0.25497702,0.060217783,-0.14090255,0.18475057,0.027224427,0.0396069
graduate certificate artificial intelligence,-0.81878024,-0.42059213,-0.013532097,-0.2548835,0.054373696,-0.10005972,-0.07712561,0.12730873,0.15457186,-0.16892484
ai for engineers,-0.8353515,-0.16264278,0.30412558,0.23974691,-0.08978405,-0.045111,-0.31561497,-0.10023321,0.023535898,-0.07385607
python and ai course,-0.9168682,-0.15324393,-0.16508907,0.24090193,-0.02150854,-0.019097993,-0.1491514,0.028950708,0.044597924,0.15709953
best introduction to artificial intelligence,-0.79678077,-0.040187974,0.021727238,0.25105634,0.02267791,-0.0891232,-0.30759495,0.41735896,-0.14964335,-0.019247122
artificial intelligence for engineering,-0.6723873,-0.13397309,0.3049668,0.17619291,-0.09288057,-0.1843371,-0.5608217,-0.08459448,0.114186965,-0.16904137
artificial intelligence master's degree online,-0.71813744,-0.23971282,-0.2441874,-0.11230902,0.18161404,-0.4013814,0.2050754,-0.009200345,-0.0901325,-0.3319946
