Budget,Share USA,Share A,Share B
Actual,0.846740219546355,0.10205299848636662,0.05120678196727846
300,0.01070057041838058,0.0010359448829963549,0.9882634846986231
350,0.009163259536296344,0.0005332654339575688,0.9903034750297461
400,0.008255194547448209,0.0003752905958116326,0.9913695148567402
450,0.007817782959389728,0.00013467361636215647,0.992047543424248
500,0.00745963046057436,0.0004230547297596585,0.9921173148096659
550,0.0075317545453546806,0.0029722730747004777,0.9894959723799448
