Keyword,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19,bert_20,bert_21,bert_22,bert_23,bert_24,bert_25,bert_26,bert_27,bert_28,bert_29,bert_30,bert_31,bert_32,bert_33,bert_34,bert_35,bert_36,bert_37,bert_38,bert_39,bert_40,bert_41,bert_42,bert_43,bert_44,bert_45,bert_46,bert_47,bert_48,bert_49
information architecture courses,0.59477407,-0.118331544,0.030523973,-0.08718258,0.1002006,0.42565563,-0.28338632,-0.15127744,0.03225507,-0.028038193,-0.025042767,-0.2835067,0.18801518,0.024236541,0.18376386,0.038731795,0.073864125,-0.0033303373,-0.022039998,0.10867329,0.012404691,0.0590994,-0.07084678,-0.038354542,0.105928,-0.049172953,0.011252172,0.09153261,-0.07191427,-0.07174509,-0.058635768,0.16800046,0.018462803,0.052177366,-0.023457423,-0.08601572,-0.025289148,0.0037169377,0.02410948,0.06956431,0.032583304,-0.10555285,0.068948336,0.10142442,-0.08441622,0.10254872,0.02533873,0.026493259,0.08598509,-0.11190664
mit xpro project management,0.62483996,-0.32451424,0.13663244,0.33844486,-0.19316588,0.14312556,0.098191075,0.08032358,-0.080313355,-0.04322939,0.10733824,0.0035994377,0.09541823,-0.021704176,-0.22713211,0.06374478,0.009875278,0.11446316,0.09066838,0.10688046,0.10466003,-0.0069598416,-0.09211369,-0.100180484,-0.13037668,-0.07851179,-0.071002856,0.22162084,0.1269554,0.052093454,0.013812402,-0.055427987,0.03787028,0.09139269,0.10846695,-0.09061159,0.0229305,0.0059335674,-0.037475385,0.022934645,-0.015901774,0.036664452,0.060391307,-0.0380395,0.024955282,-0.078812994,0.019732958,-0.0037969477,0.043320056,-0.04731749
best courses for project management,0.63647014,-0.4805779,-0.22944188,0.28347212,0.06050194,0.26077873,0.032734502,0.07919356,-0.001055899,-0.015453203,-0.0889009,0.086050615,-0.06736544,-0.07558801,0.038568135,-0.023978798,-0.0836978,0.07623178,-0.09470057,-0.13721873,0.100889534,-0.012236573,0.045505714,0.040084217,0.12587962,0.011983007,-0.08129353,0.12125645,0.007825811,0.089126006,-0.011324424,0.0016120572,-0.03712456,-0.04531524,-0.037052505,-0.01287492,-0.048683144,0.015924845,-0.031537786,-0.006478129,0.00036389887,-0.023952454,-0.030775344,0.0576333,-0.027028073,-0.0034124113,-0.031096611,0.0055801226,0.07234136,0.059801653
how to get into product management,0.5292937,-0.37364972,0.063363165,0.06744216,-0.06741032,-0.43833536,-0.3106485,0.2770903,0.07455336,0.062649816,0.012829453,-0.061135616,0.00071142317,-0.093609646,0.09567306,-0.046703923,0.011720468,-0.09105967,0.07999364,-0.026080534,0.09164846,-0.09985604,0.14006457,-0.11554813,-0.0987115,0.0058016223,0.04929541,-0.051501118,0.06396384,-0.042743653,-0.06484911,-0.09683934,-0.0003418284,0.046045,-0.057755414,-0.14971472,-0.04912089,-0.064533316,-0.0033404126,0.02190185,-0.07995976,-0.051419206,0.07626287,-0.09972547,-0.020769048,0.0024277817,0.019249668,0.04629807,0.041204657,0.051255185
best software architect certification,0.55670196,-0.3083542,0.023062281,-0.33780736,-0.32770997,0.23274495,-0.03929375,-0.2612147,0.17529446,0.031249352,0.056015417,-0.046687603,-0.035504606,0.10528928,-0.035577003,-0.024451107,-0.07665239,0.08408908,-0.095336996,-0.19965075,0.10419846,-0.18916057,-0.020611169,0.06669195,0.05692727,-0.06523147,0.0033971278,0.0143223265,-0.08570281,0.04499231,-0.05424899,-0.031264566,0.010533854,0.010357898,-0.009370287,-0.013152337,0.12826669,-0.078697264,-0.091797456,0.072527915,-0.025548462,0.11076262,-0.051076796,-0.018492393,-0.02702359,-0.03163184,-0.054354753,0.07535341,0.0010877508,-0.017983593
best online certificate programs for project management,0.5386343,-0.46581486,-0.09452893,-0.13059391,-0.14472571,0.23596814,0.24973564,0.12116608,0.1445715,-0.014866145,-0.25264457,-0.105300926,0.013432779,0.037441347,-0.3126034,-0.009700542,-0.0021385583,0.030176528,0.011643561,-0.09478152,0.06833506,-0.00871175,0.20451975,0.06428084,0.08130396,-0.10680247,-0.052984733,1.070595e-05,-0.013601849,0.019952001,-0.0647387,0.031521432,0.049090553,-0.08447249,-0.062343493,-0.0062838,0.06109638,0.024483904,-0.037711147,0.010981523,-0.006249306,-0.007012761,-0.005308313,0.053733665,-0.05471496,-0.015341495,-0.030299619,0.026242428,0.04998649,0.027737912
how to become a systems engineer without a degree,0.5106427,0.045840327,0.092036776,-0.16268668,0.02467266,0.10443516,0.009257538,0.025152264,-0.23300119,0.32163155,0.102115735,-0.07586729,-0.31604934,0.03211707,0.01819855,0.09529494,0.014718793,-0.25270763,-0.053553555,0.119114175,0.054130204,-0.13964313,0.1931756,-0.25278834,0.0083516715,-0.03968575,-0.13484664,-0.040579915,0.0050630104,-0.07142011,-0.05369811,-0.13132936,-0.07423522,-0.13891734,-0.15485756,-0.15340713,-0.06605645,0.043467823,-0.08026066,0.04527022,-0.10815211,-0.07223979,0.0023058024,-0.039720576,0.028105026,0.032527573,0.06839913,0.17529982,-0.088274635,-0.059917007
how to solve algorithm problems,0.29223153,0.0679721,0.0668049,0.16222979,0.029559977,-0.12623866,-0.12870589,-0.42344943,0.19245788,0.2447107,-0.11630964,0.04004143,0.08982498,-0.21356137,-0.20424029,-0.16906567,-0.07553561,-0.08968856,-0.06515172,-0.32043076,0.08382717,0.21325074,-0.0022186858,-0.0690045,0.033613596,0.031269804,0.10420557,-0.06195718,-0.16111106,-0.10136182,0.050494682,-0.16963072,0.0035159444,0.12666813,0.009719035,-0.19908431,0.08201616,0.10342493,-0.15264134,0.066611595,0.087200895,-0.17764981,-0.057191413,-0.019835822,0.10091527,-0.05045517,0.037635785,-0.061811354,-0.024096,-0.07657882
mit project management certificate,0.5139082,-0.532512,-0.0027065487,-0.08344295,-0.26254433,0.19015966,0.3800456,0.1955304,0.016092416,0.09697208,0.2332294,-0.04221054,0.06747539,-0.07832627,-0.019459931,0.042340677,-0.08288931,0.007013234,0.13295875,0.00021051349,-0.041207932,0.109107345,0.10027958,-0.013082256,0.0023665254,0.022906028,0.09560055,-0.022341685,0.020296294,-0.071152166,-0.0064263167,-0.00047669708,0.030142974,-0.032313436,0.06401284,0.038550407,-0.009128541,0.005194547,-0.0024786666,0.00636328,0.038462933,-0.04122764,0.0066615837,0.02714409,0.021903696,-0.012804475,0.019334741,0.04540017,-0.007549883,0.00078482763
waters center for systems thinking,0.665551,0.20975341,-0.048161246,-0.005103264,-0.07397506,-0.0013489255,0.07267981,0.06644124,-0.077529944,0.021570455,-0.07143505,0.033964355,0.05620901,0.05555641,-0.0066983523,0.034319162,-0.03250197,0.10407256,0.029799543,-0.069478355,0.15922402,-0.08801859,0.0066887755,0.0723728,-0.07765711,0.09937564,-0.16913861,-0.24732612,-0.046954326,0.14240277,0.19371812,0.09428207,0.17909716,0.010636288,0.16950999,-0.16746426,-0.10575364,-0.23047905,-0.0059113805,-0.078924395,-0.16935223,-0.060621556,-0.006755627,0.12865013,0.09402424,0.107367106,0.037123576,-0.08718996,-0.051403753,-0.06543367
