Drop %,avg clicks,se clicks,avg conv,se conv,avg purch,se purch,avg cost,se cost,clicks/$,avg kws,se kws,imp clicks,imp conv,imp purch,imp clicks/$
Actual,122.27798303225806,2.7533507291456325,3.4418262690573846,0.07766601559164982,0.036920154401201666,0.001346322268545055,331.8109677419355,10.232678848688424,0.3685170019074211,35.225806451612904,0.7865942340710879,0.0,0.0,0.0,0.0
0,252.9273154966293,3.578236302088643,7.247199330560568,0.10335402865883456,0.01689567878239519,0.0005430224685538004,356.98032004396043,0.044709286267622286,0.7085189331038823,107.2258064516129,8.513330429696884,1.0684616250981565,1.1056261310206583,-0.5423724776772527,0.9226221027432446
25,266.34325751027757,2.893727280595534,7.623685527232663,0.0834968621895188,0.01930761854387184,0.0005888690051836316,356.9803200439604,0.044709286267622494,0.7461006743382343,84.03225806451613,6.384201581250248,1.178178367891575,1.2150117208910043,-0.47704393827661185,1.0246031267932378
50,262.9651641107374,3.883665463458836,7.520021083465338,0.1119530322118367,0.020791736871115588,0.00043792247433833476,356.98032004396043,0.044709286267620614,0.7366377061860288,55.83870967741935,4.271711594256131,1.1505520257180293,1.1848926981212362,-0.4368458851721686,0.998924615074034
75,212.7351314667732,4.239758399573936,6.070297595852782,0.12232014150420885,0.01960022709618064,0.00048728321001903393,356.9803200439603,0.04470928626762396,0.5959295779682643,30.225806451612904,2.149623461610961,0.7397664419329824,0.763685067554342,-0.46911849600654165,0.6171019922656752
