Budget,Spend USA,Clicks USA,Conv USA,Purch USA,Spend A,Clicks A,Conv A,Purch A,Spend B,Clicks B,Conv B,Purch B
Actual,0.6565582424505209,0.2921124673209376,0.2848433935854998,0.87549617693943,0.24263815192093435,0.23142897641799876,0.22422262867969825,0.11180072516720094,0.10080360562854483,0.4764585842248455,0.49093397773480163,0.012703097893366766
357,0.335645896177245,0.040023328492306345,0.03833853154894283,0.5421914978947137,0.33427327846304183,0.16583449397321054,0.15783480948525866,0.3621071473894592,0.33008082535971306,0.7941421814116649,0.8038266589657982,0.09570135471582097
