Budget,Spend New,Clicks New,Conv New,Purch New,Spend Existing,Clicks Existing,Conv Existing,Purch Existing,Spend Existing searches,Clicks Existing searches,Conv Existing searches,Purch Existing searches
Actual,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,1.0,0.0,0.0,0.0,0.0
357,0.003596475500034426,0.00048672301294098427,0.0004661955763682573,0.006522103766454763,0.3161704982928418,0.4552273949611081,0.4560005890814644,0.3275530046960214,0.6802330262071237,0.5442858788217919,0.5435332189546785,0.6659248864750207
