Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,117.25,67,59.13162
generative ai course,USA,Broad match,15.66,9,7.119442
online ai and ml courses,USA,Phrase match,72.10000000000001,35,33.734352
mit xpro ai,USA,Broad match,65.34,54,49.19645
mit artificial intelligence course,USA,Phrase match,17.490000000000002,11,8.876496
generative ai certificate course,USA,Broad match,5.25,3,2.3034425
generative ai fundamentals course,USA,Broad match,12.78,6,3.5811026
generative ai online course,USA,Broad match,0.83,1,0.0
generative ai online program,USA,Broad match,15.96,12,8.139404
generative ai foundations course,USA,Broad match,32.599999999999994,20,17.585024
mit generative ai certificate,USA,Broad match,5.88,7,4.6451874
online course generative ai,USA,Broad match,4.44,2,1.7344077
professional certificate in ai,USA,Phrase match,6.4,2,1.8880894
prompt engineering course,USA,Phrase match,0.93,1,0.0
mit professional development,A,Broad match,7.0,5,-0.0241251
generative ai course,A,Broad match,0.64,2,0.0
online ai and ml courses,A,Phrase match,3.84,3,1.7800865
mit xpro ai,A,Broad match,8.2,10,5.606291
generative ai fundamentals course,A,Broad match,6.64,4,1.4314015
generative ai online program,A,Broad match,6.4,4,0.3665986
generative ai certificate program,A,Broad match,1.86,2,0.5655643
generative ai foundations course,A,Broad match,2.16,3,0.6178806
professional certificate in ai,A,Phrase match,1.64,1,0.14332819
mit professional development,B,Broad match,4.94,13,5.06505
generative ai course,B,Broad match,4.68,9,5.9450903
generative ai courses,B,Broad match,0.45,1,0.0
online ai and ml courses,B,Phrase match,2.94,6,2.6351268
generative ai online program,B,Broad match,3.08,7,1.8659649
mit generative ai certificate,B,Broad match,0.98,2,0.0
generative ai certification online,B,Broad match,1.4,4,0.23587656
online course generative ai,B,Broad match,4.0200000000000005,6,3.146501
ai certification mit,USA,Exact match,0.7,1,0.0
mit ai course,USA,Phrase match,11.69,7,5.1381483
stanford ai professional program,USA,Phrase match,4.4,5,2.6226077
