Region,Country/Territory (User location),Clicks,All conv.,ConversionRate,AvgConversionRate,BidAdjustment,BidAdjustmentPct,GoogleAdsFormat
B,Brazil,12657,7.0,0.0005530536462036818,0.0002366017680278308,1.3374873772651927,133.74873772651927,+134%
A,United Kingdom,7541,14.8,0.0019626044291208063,0.0008460045292785506,1.3198509714770221,131.98509714770222,+132%
B,Bangladesh,10376,0.0,0.0,0.0002366017680278308,-0.9,-90.0,-90%
A,South Africa,61756,5.0,8.096379299177408e-05,0.0008460045292785506,-0.9,-90.0,-90%
B,Philippines,20574,0.0,0.0,0.0002366017680278308,-0.9,-90.0,-90%
B,Ethiopia,5609,0.0,0.0,0.0002366017680278308,-0.9,-90.0,-90%
B,Nigeria,13956,0.0,0.0,0.0002366017680278308,-0.9,-90.0,-90%
B,Pakistan,14007,0.0,0.0,0.0002366017680278308,-0.9,-90.0,-90%
A,Mexico,10040,1.0,9.960159362549801e-05,0.0008460045292785506,-0.8822682501352144,-88.22682501352143,-88%
B,Peru,5546,2.45,0.0004417598269022719,0.0002366017680278308,0.8671028140850958,86.71028140850959,+87%
B,Kenya,5682,1.0,0.00017599436818021823,0.0002366017680278308,-0.25615784849284595,-25.615784849284594,-26%
B,South Africa,19188,3.41,0.00017771523869084845,0.0002366017680278308,-0.24888457016963506,-24.888457016963507,-25%
A,Australia,3787,11.0,0.002904673884341167,0.0008460045292785506,,,No adjustment (insufficient data)
A,Austria,577,0.0,0.0,0.0008460045292785506,,,No adjustment (insufficient data)
A,Belgium,1280,4.0,0.003125,0.0008460045292785506,,,No adjustment (insufficient data)
A,Canada,4818,8.0,0.0016604400166044002,0.0008460045292785506,,,No adjustment (insufficient data)
A,China,0,0.0,0.0,0.0008460045292785506,,,No adjustment (insufficient data)
A,Denmark,1041,3.0,0.002881844380403458,0.0008460045292785506,,,No adjustment (insufficient data)
A,Finland,747,0.0,0.0,0.0008460045292785506,,,No adjustment (insufficient data)
A,France,3484,4.0,0.001148105625717566,0.0008460045292785506,,,No adjustment (insufficient data)
A,Germany,4608,11.0,0.002387152777777778,0.0008460045292785506,,,No adjustment (insufficient data)
A,Hong Kong,2737,0.0,0.0,0.0008460045292785506,,,No adjustment (insufficient data)
A,Iceland,189,1.0,0.005291005291005291,0.0008460045292785506,,,No adjustment (insufficient data)
A,Ireland,1262,6.1,0.004833597464342313,0.0008460045292785506,,,No adjustment (insufficient data)
A,Isle of Man,1,0.0,0.0,0.0008460045292785506,,,No adjustment (insufficient data)
A,Italy,3838,5.0,0.0013027618551328818,0.0008460045292785506,,,No adjustment (insufficient data)
A,Japan,2920,2.0,0.0006849315068493151,0.0008460045292785506,,,No adjustment (insufficient data)
A,Netherlands,3607,6.0,0.0016634322151372332,0.0008460045292785506,,,No adjustment (insufficient data)
A,New Zealand,1431,0.6,0.0004192872117400419,0.0008460045292785506,,,No adjustment (insufficient data)
A,Norway,1082,1.0,0.0009242144177449168,0.0008460045292785506,,,No adjustment (insufficient data)
A,Spain,3914,7.1,0.0018140010219724067,0.0008460045292785506,,,No adjustment (insufficient data)
A,Sweden,1575,2.0,0.0012698412698412698,0.0008460045292785506,,,No adjustment (insufficient data)
A,Switzerland,1405,12.0,0.008540925266903915,0.0008460045292785506,,,No adjustment (insufficient data)
B,Anguilla,0,0.0,0.0,0.0002366017680278308,,,No adjustment (insufficient data)
B,Argentina,302,0.0,0.0,0.0002366017680278308,,,No adjustment (insufficient data)
B,Armenia,60,0.0,0.0,0.0002366017680278308,,,No adjustment (insufficient data)
B,Australia,59,0.0,0.0,0.0002366017680278308,,,No adjustment (insufficient data)
B,Austria,24,0.0,0.0,0.0002366017680278308,,,No adjustment (insufficient data)
B,Bahrain,23,0.0,0.0,0.0002366017680278308,,,No adjustment (insufficient data)
B,Belgium,48,0.0,0.0,0.0002366017680278308,,,No adjustment (insufficient data)
B,Bermuda,0,0.0,0.0,0.0002366017680278308,,,No adjustment (insufficient data)
B,Bolivia,158,0.0,0.0,0.0002366017680278308,,,No adjustment (insufficient data)
B,Brunei,0,0.0,0.0,0.0002366017680278308,,,No adjustment (insufficient data)
B,Bulgaria,45,0.0,0.0,0.0002366017680278308,,,No adjustment (insufficient data)
B,Canada,68,0.0,0.0,0.0002366017680278308,,,No adjustment (insufficient data)
B,Cayman Islands,0,0.0,0.0,0.0002366017680278308,,,No adjustment (insufficient data)
B,Chile,1766,1.0,0.0005662514156285391,0.0002366017680278308,,,No adjustment (insufficient data)
B,China,1206,0.0,0.0,0.0002366017680278308,,,No adjustment (insufficient data)
B,Colombia,222,0.0,0.0,0.0002366017680278308,,,No adjustment (insufficient data)
B,Cote d'Ivoire,154,0.0,0.0,0.0002366017680278308,,,No adjustment (insufficient data)
B,Croatia,30,1.0,0.03333333333333333,0.0002366017680278308,,,No adjustment (insufficient data)
