Budget,Spend USA,Conv USA,Clicks USA,Spend A,Conv A,Clicks A,Spend B,Conv B,Clicks B
Actual,0.846740219546355,0.8824109836198327,0.8480791730860819,0.10205299848636662,0.04889288755293894,0.07275432874138393,0.05120678196727846,0.06869612882722795,0.07916651270398134
300,0.3395497285369793,0.239269231128067,0.19723582879613316,0.3307627850475407,0.1766161602213805,0.22541201275074418,0.32968748641547946,0.5841146086505526,0.5773521807096417
350,0.3400093999194783,0.24364812579953293,0.20119157891538492,0.33102410851903286,0.17313631176939764,0.22135152683533485,0.32896649156148894,0.5832155624310691,0.5774569195778466
400,0.3356162053269015,0.25497865297649347,0.21065983893569418,0.3336588474239471,0.17774935135954947,0.22737025339363032,0.33072494724915164,0.5672719956639568,0.5619698968110783
450,0.3372721677408186,0.25983459134854253,0.21490757104466215,0.3345908480737282,0.17671431301010637,0.22629456627259648,0.32813698418545306,0.5634510956413511,0.5587978373361748
500,0.33514353536988306,0.25460840917737687,0.21031340501834422,0.3339714123775208,0.1782066530754973,0.2279112601884183,0.3308850522525959,0.5671849377471262,0.5617753346235265
550,0.33567531481583274,0.268154828333464,0.2220443512561375,0.3329278303722847,0.17747867977446977,0.2275348637105477,0.3313968548118825,0.5543664918920664,0.5504207664926664
