Region,Match type,Daily Budget
A,Broad match,45.509894931843554
A,Exact match,18.46000056680646
A,Phrase match,54.77000166578303
B,Broad match,68.43999995652081
B,Exact match,21.159999841317344
B,Phrase match,29.289999641293
USA,Broad match,93.60999812622265
USA,Exact match,12.950002783107253
USA,Phrase match,12.800000212409412
