Budget,Spend New,Clicks New,Purch New,Spend Existing,Clicks Existing,Purch Existing,Spend Existing searches,Clicks Existing searches,Purch Existing searches
Actual,0.0,0.0,0.0,1.0,1.0,0.9999999999999998,0.0,0.0,0.0
357,0.004668164715372185,0.0038082264087558907,0.0025619094045797545,0.3092470089889598,0.3106463898413623,0.36785363777319235,0.686084826295668,0.685545383286437,0.6295844530342813
