Region,Age,Clicks,Conversions,ConversionRate,AvgConversionRate,BidAdjustment,BidAdjustmentPct,GoogleAdsFormat
USA,45 - 54,5959,7.5,0.001258600436314818,0.0006137763082345022,1.0505849108694356,105.05849108694356,+105%
USA,18 - 24,9629,0.0,0.0,0.0006137763082345022,-0.9,-90.0,-90%
USA,35 - 44,7969,8.0,0.001003890074036893,0.0006137763082345022,0.6355959990123019,63.55959990123019,+64%
USA,25 - 34,10813,3.0,0.00027744381762693056,0.0006137763082345022,-0.5479724226811813,-54.797242268118126,-55%
USA,Unknown,11466,9.0,0.0007849293563579278,0.0006137763082345022,0.27885248392160844,27.885248392160843,+28%
A,18 - 24,2595,0.0,0.0,0.00032605151613955004,,,No adjustment (insufficient data)
A,25 - 34,2992,1.0,0.00033422459893048126,0.00032605151613955004,,,No adjustment (insufficient data)
A,35 - 44,2012,1.0,0.0004970178926441351,0.00032605151613955004,,,No adjustment (insufficient data)
A,45 - 54,1313,2.0,0.0015232292460015233,0.00032605151613955004,,,No adjustment (insufficient data)
A,55 - 64,531,0.0,0.0,0.00032605151613955004,,,No adjustment (insufficient data)
A,65+,362,0.0,0.0,0.00032605151613955004,,,No adjustment (insufficient data)
A,Unknown,2463,0.0,0.0,0.00032605151613955004,,,No adjustment (insufficient data)
B,18 - 24,4788,0.0,0.0,0.00025150905432595576,,,No adjustment (insufficient data)
B,25 - 34,3755,0.0,0.0,0.00025150905432595576,,,No adjustment (insufficient data)
B,35 - 44,2119,0.0,0.0,0.00025150905432595576,,,No adjustment (insufficient data)
B,45 - 54,1181,1.0,0.000846740050804403,0.00025150905432595576,,,No adjustment (insufficient data)
B,55 - 64,440,1.0,0.0022727272727272726,0.00025150905432595576,,,No adjustment (insufficient data)
B,65+,290,0.0,0.0,0.00025150905432595576,,,No adjustment (insufficient data)
B,Unknown,3331,2.0,0.0006004202942059442,0.00025150905432595576,,,No adjustment (insufficient data)
USA,55 - 64,2655,1.5,0.0005649717514124294,0.0006137763082345022,,,No adjustment (insufficient data)
USA,65+,2016,2.0,0.000992063492063492,0.0006137763082345022,,,No adjustment (insufficient data)
