Location report
All time
Location,Campaign,Ad group,Clicks,Conversions
The Bahamas,Lifetime Campaign - Leadership Principles  - B (Run 3), --,21,1.00
Morocco,Lifetime Campaign - Leadership Principles  - B (Run 3), --,89,1.00
Taiwan,Lifetime Campaign - Leadership Principles  - B (Run 3), --,21,0.00
Iraq,Lifetime Campaign - Leadership Principles  - B (Run 3), --,126,0.00
Bolivia,Lifetime Campaign - Leadership Principles  - B (Run 3), --,5,0.00
Niger,Lifetime Campaign - Leadership Principles  - B (Run 3), --,2,0.00
Thailand,Lifetime Campaign - Leadership Principles  - B (Run 3), --,106,1.00
Bhutan,Lifetime Campaign - Leadership Principles  - B (Run 3), --,20,0.00
Seychelles,Lifetime Campaign - Leadership Principles  - B (Run 3), --,9,0.00
Indonesia,Lifetime Campaign - Leadership Principles  - B (Run 3), --,205,2.00
Egypt,Lifetime Campaign - Leadership Principles  - B (Run 3), --,523,11.00
Mexico,Lifetime Campaign - Leadership Principles  - B (Run 3), --,60,1.00
Uganda,Lifetime Campaign - Leadership Principles  - B (Run 3), --,176,4.00
Malta,Lifetime Campaign - Leadership Principles  - B (Run 3), --,11,0.00
Kuwait,Lifetime Campaign - Leadership Principles  - B (Run 3), --,81,4.00
Brazil,Lifetime Campaign - Leadership Principles  - B (Run 3), --,86,6.00
Sao Tome and Principe,Lifetime Campaign - Leadership Principles  - B (Run 3), --,0,0.00
Algeria,Lifetime Campaign - Leadership Principles  - B (Run 3), --,41,1.00
Dominica,Lifetime Campaign - Leadership Principles  - B (Run 3), --,1,0.00
Brunei,Lifetime Campaign - Leadership Principles  - B (Run 3), --,12,0.00
Mozambique,Lifetime Campaign - Leadership Principles  - B (Run 3), --,20,0.00
Argentina,Lifetime Campaign - Leadership Principles  - B (Run 3), --,23,0.00
Myanmar (Burma),Lifetime Campaign - Leadership Principles  - B (Run 3), --,106,2.00
The Gambia,Lifetime Campaign - Leadership Principles  - B (Run 3), --,11,0.00
Suriname,Lifetime Campaign - Leadership Principles  - B (Run 3), --,10,0.00
South Africa,Lifetime Campaign - Leadership Principles  - B (Run 3), --,862,17.00
Mongolia,Lifetime Campaign - Leadership Principles  - B (Run 3), --,16,0.00
Kosovo,Lifetime Campaign - Leadership Principles  - B (Run 3), --,18,0.00
Chad,Lifetime Campaign - Leadership Principles  - B (Run 3), --,2,0.00
Ethiopia,Lifetime Campaign - Leadership Principles  - B (Run 3), --,713,23.00
Panama,Lifetime Campaign - Leadership Principles  - B (Run 3), --,7,0.00
Jordan,Lifetime Campaign - Leadership Principles  - B (Run 3), --,108,3.00
Afghanistan,Lifetime Campaign - Leadership Principles  - B (Run 3), --,104,3.00
Malawi,Lifetime Campaign - Leadership Principles  - B (Run 3), --,45,1.00
Canada,Course - System Thinking - Run 14 - YouTube - Webinar - US + CA #2, --,0,0.00
Nigeria,Lifetime Campaign - Leadership Principles  - B (Run 3), --,"1,172",25.00
Dominican Republic,Lifetime Campaign - Leadership Principles  - B (Run 3), --,8,1.00
Papua New Guinea,Lifetime Campaign - Leadership Principles  - B (Run 3), --,48,2.00
Malaysia,Lifetime Campaign - Leadership Principles  - B (Run 3), --,382,7.00
Antigua and Barbuda,Lifetime Campaign - Leadership Principles  - B (Run 3), --,0,0.00
Croatia,Lifetime Campaign - Leadership Principles  - B (Run 3), --,9,0.00
Vanuatu,Lifetime Campaign - Leadership Principles  - B (Run 3), --,6,0.00
Bahrain,Lifetime Campaign - Leadership Principles  - B (Run 3), --,54,0.00
Saudi Arabia,Lifetime Campaign - Leadership Principles  - B (Run 3), --,363,4.00
Senegal,Lifetime Campaign - Leadership Principles  - B (Run 3), --,10,0.00
South Korea,Lifetime Campaign - Leadership Principles  - B (Run 3), --,8,1.00
Sri Lanka,Lifetime Campaign - Leadership Principles  - B (Run 3), --,276,5.00
Bosnia and Herzegovina,Lifetime Campaign - Leadership Principles  - B (Run 3), --,11,0.00
Turkiye,Lifetime Campaign - Leadership Principles  - B (Run 3), --,138,3.00
Cote d'Ivoire,Lifetime Campaign - Leadership Principles  - B (Run 3), --,18,1.00
Albania,Lifetime Campaign - Leadership Principles  - B (Run 3), --,26,0.00
Colombia,Lifetime Campaign - Leadership Principles  - B (Run 3), --,34,1.00
Marshall Islands,Lifetime Campaign - Leadership Principles  - B (Run 3), --,1,0.00
Tuvalu,Lifetime Campaign - Leadership Principles  - B (Run 3), --,0,0.00
Venezuela,Lifetime Campaign - Leadership Principles  - B (Run 3), --,5,1.00
"Nebraska, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,25,4.00
Switzerland,Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - A, --,128,2.00
Spain,Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - A, --,243,5.00
"Ohio, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,193,8.00
"Maine, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,20,1.00
"North Carolina, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,222,8.00
"Maryland, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,292,10.00
France,Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad, --,18,0.00
Australia,Course - System Thinking - Run 17 - Search - Prospecting - A, --,95,2.00
"South Carolina, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,76,3.00
Spain,Course - System Thinking - Run 17 - Search - Prospecting - A, --,81,3.00
"Georgia, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,387,13.00
"North Dakota, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,6,1.00
"Montana, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,12,0.00
Spain,Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad, --,13,0.00
Belgium,Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - A, --,105,2.00
"Nevada, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,96,7.00
Italy,Course - System Thinking - Run 17 - Search - Prospecting - A, --,77,4.00
United Kingdom,Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad, --,22,0.00
Sweden,Course - System Thinking - Run 17 - Search - Prospecting - A, --,25,1.00
"New Hampshire, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,17,0.00
"Utah, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,146,5.00
Norway,Course - System Thinking - Run 17 - Search - Prospecting - A, --,20,1.00
"Tennessee, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,100,3.00
"West Virginia, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,10,0.00
Italy,Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad, --,10,0.00
"Minnesota, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,148,9.00
"New Mexico, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,65,5.00
"Alabama, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,84,1.11
"Virginia, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,337,14.00
"Missouri, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,106,3.00
Ireland,Course - System Thinking - Run 17 - Search - Prospecting - A, --,25,0.00
Italy,Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - A, --,230,1.00
United Kingdom,Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - A, --,623,9.00
Switzerland,Course - System Thinking - Run 17 - Search - Prospecting - A, --,31,2.00
Germany,Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - A, --,271,2.98
"Massachusetts, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,446,23.29
Germany,Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad, --,20,0.00
Netherlands,Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad, --,17,1.00
"Kansas, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,37,2.00
