Location report
All time
Location,Campaign,Ad group,Clicks,Conversions
Ukraine,Lifetime Campaign - Organizational Strategy  - B (Run 1), --,64,0.00
Thailand,Lifetime Campaign - Organizational Strategy  - B (Run 1), --,95,3.00
Argentina,Lifetime Campaign - Organizational Strategy  - B (Run 1), --,95,4.00
United Arab Emirates,Lifetime Campaign - Organizational Strategy  - B (Run 1), --,96,1.00
Ghana,Lifetime Campaign - Organizational Strategy  - B (Run 1), --,406,5.00
Mexico,Lifetime Campaign - Organizational Strategy  - B (Run 1), --,89,2.00
United States,Lifetime YouTube - Organizational Strategy  - US (Run 1), --,532,13.00
Brazil,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase, --,537,16.00
India,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase, --,"4,677",108.00
Chile,Course - System Thinking - Run 14 - Display - Webinar - B, --,155,12.00
Trinidad and Tobago,Course - System Thinking - Run 14 - Display - Webinar - B, --,2,1.00
Brazil,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,435,3.00
Indonesia,Course - System Thinking - Run 14 - Display - Webinar - B, --,14,2.00
Monaco,Course - System Thinking - Run 14 - Display - Webinar - B, --,0,0.00
Lithuania,Course - System Thinking - Run 14 - Display - Webinar - B, --,1,1.00
Jordan,Course - System Thinking - Run 14 - Display - Webinar - B, --,1,0.00
Philippines,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,"1,037",3.00
Bangladesh,Course - System Thinking - Run 14 - Display - Webinar - B, --,171,10.00
Egypt,Course - System Thinking - Run 14 - Display - Webinar - B, --,62,5.27
Hong Kong,Course - System Thinking - Run 14 - Display - Webinar - B, --,75,2.00
Ethiopia,Course - System Thinking - Run 14 - Display - Webinar - B, --,144,6.98
Austria,Course - System Thinking - Run 14 - Display - Webinar - B, --,12,0.00
Mexico,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,312,3.00
Hong Kong,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,91,1.00
Paraguay,Course - System Thinking - Run 14 - Display - Webinar - B, --,0,0.00
United Arab Emirates,Course - System Thinking - Run 14 - Display - Webinar - B, --,28,0.00
Luxembourg,Course - System Thinking - Run 14 - Display - Webinar - B, --,0,0.00
Tunisia,Course - System Thinking - Run 14 - Display - Webinar - B, --,14,2.00
China,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,22,0.00
Saudi Arabia,Course - System Thinking - Run 14 - Display - Webinar - B, --,427,13.50
Cote d'Ivoire,Course - System Thinking - Run 14 - Display - Webinar - B, --,12,1.00
Armenia,Course - System Thinking - Run 14 - Display - Webinar - B, --,1,0.00
Greece,Course - System Thinking - Run 14 - Display - Webinar - B, --,0,0.00
Netherlands,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,57,0.00
Thailand,Course - System Thinking - Run 14 - Display - Webinar - B, --,13,0.00
Morocco,Course - System Thinking - Run 14 - Display - Webinar - B, --,7,0.00
Ukraine,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,153,0.00
Liberia,Course - System Thinking - Run 14 - Display - Webinar - B, --,18,2.00
Pakistan,Course - System Thinking - Run 14 - Display - Webinar - B, --,141,10.36
Hungary,Course - System Thinking - Run 14 - Display - Webinar - B, --,0,0.00
Sweden,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,21,4.00
Taiwan,Course - System Thinking - Run 14 - Display - Webinar - B, --,0,0.00
Peru,Course - System Thinking - Run 14 - Display - Webinar - B, --,625,19.99
Georgia,Course - System Thinking - Run 14 - Display - Webinar - B, --,2,1.00
Germany,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,58,1.00
Spain,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,82,1.00
United Kingdom,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,117,0.00
Serbia,Course - System Thinking - Run 14 - Display - Webinar - B, --,6,2.00
South Africa,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,736,3.00
Moldova,Course - System Thinking - Run 14 - Display - Webinar - B, --,0,0.00
Malaysia,Course - System Thinking - Run 14 - Display - Webinar - B, --,401,14.00
Saudi Arabia,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,260,0.00
Slovakia,Course - System Thinking - Run 14 - Display - Webinar - B, --,0,0.00
Anguilla,Course - System Thinking - Run 14 - Display - Webinar - B, --,0,0.00
United States,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,260,12.00
Australia,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,42,0.00
Qatar,Course - System Thinking - Run 14 - Display - Webinar - B, --,115,6.00
Bahrain,Course - System Thinking - Run 14 - Display - Webinar - B, --,0,0.00
South Korea,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,133,0.00
Sri Lanka,Course - System Thinking - Run 14 - Display - Webinar - B, --,10,2.92
Norway,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,18,0.00
Croatia,Course - System Thinking - Run 14 - Display - Webinar - B, --,0,0.00
Finland,Course - System Thinking - Run 14 - Display - Webinar - B, --,23,1.00
Bolivia,Course - System Thinking - Run 14 - Display - Webinar - B, --,5,0.99
Kenya,Course - System Thinking - Run 14 - Display - Webinar - B, --,68,6.82
Turkiye,Course - System Thinking - Run 14 - Display - Webinar - B, --,"1,017",4.00
Uganda,Course - System Thinking - Run 14 - Display - Webinar - B, --,59,9.86
Poland,Course - System Thinking - Run 14 - Display - Webinar - B, --,120,12.00
Bulgaria,Course - System Thinking - Run 14 - Display - Webinar - B, --,0,0.00
Nigeria,Course - System Thinking - Run 14 - Display - Webinar - B, --,659,62.96
Poland,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,44,0.00
Austria,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,17,0.00
Estonia,Course - System Thinking - Run 14 - Display - Webinar - B, --,0,0.00
Czechia,Course - System Thinking - Run 14 - Display - Webinar - B, --,0,0.00
Philippines,Course - System Thinking - Run 14 - Display - Webinar - B, --,"2,431",58.72
Senegal,Course - System Thinking - Run 14 - Display - Webinar - B, --,8,0.00
Colombia,Course - System Thinking - Run 14 - Display - Webinar - B, --,7,2.00
Malaysia,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,213,0.00
Portugal,Course - System Thinking - Run 14 - Display - Webinar - B, --,0,0.00
Tanzania,Course - System Thinking - Run 14 - Display - Webinar - B, --,16,1.00
Singapore,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,84,0.00
Qatar,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,22,0.00
Denmark,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,17,0.00
Peru,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,182,1.00
South Korea,Course - System Thinking - Run 14 - Display - Webinar - B, --,6,0.00
Argentina,Course - System Thinking - Run 14 - Display - Webinar - B, --,131,3.20
Japan,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,163,0.00
Chile,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,76,0.00
Canada,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,70,2.00
Zimbabwe,Course - System Thinking - Run 14 - Display - Webinar - B, --,25,3.99
Singapore,Course - System Thinking - Run 14 - Display - Webinar - B, --,39,4.00
China,Course - System Thinking - Run 14 - Display - Webinar - B, --,742,0.00
Switzerland,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,18,0.00
Iceland,Course - System Thinking - Run 14 - Display - Webinar - B, --,10,0.00
Israel,Course - System Thinking - Run 14 - Display - Webinar - B, --,1,0.00
Ireland,System Thinking Course - xPRO - WW - Discovery Remarketing - Run 6 - 2T2022, --,41,0.00
Romania,Course - System Thinking - Run 14 - Display - Webinar - B, --,0,0.00
United States,Course - System Thinking - Run 16 - Demand Gen - Lead Gen - USA,Ad group 1,"1,311",33.00
Italy,Lifetime Campaign - Leadership Principles  - A (Run 3), --,125,5.00
Iceland,Lifetime Campaign - Leadership Principles  - A (Run 3), --,9,0.00
Bermuda,Lifetime Campaign - Leadership Principles  - A (Run 3), --,3,0.00
South Korea,Lifetime Campaign - Leadership Principles  - A (Run 3), --,49,5.00
United Kingdom,Lifetime Campaign - Leadership Principles  - A (Run 3), --,"1,088",24.00
Cyprus,Lifetime Campaign - Leadership Principles  - A (Run 3), --,32,0.00
Israel,Lifetime Campaign - Leadership Principles  - A (Run 3), --,122,5.00
Denmark,Lifetime Campaign - Leadership Principles  - A (Run 3), --,41,0.00
San Marino,Lifetime Campaign - Leadership Principles  - A (Run 3), --,0,0.00
Vatican City,Lifetime Campaign - Leadership Principles  - A (Run 3), --,0,0.00
Faroe Islands,Lifetime Campaign - Leadership Principles  - A (Run 3), --,0,0.00
Andorra,Lifetime Campaign - Leadership Principles  - A (Run 3), --,2,0.00
Portugal,Lifetime Campaign - Leadership Principles  - A (Run 3), --,38,1.00
Netherlands,Lifetime Campaign - Leadership Principles  - A (Run 3), --,129,5.00
Slovakia,Lifetime Campaign - Leadership Principles  - A (Run 3), --,8,0.00
Czechia,Lifetime Campaign - Leadership Principles  - A (Run 3), --,21,0.00
Belgium,Lifetime Campaign - Leadership Principles  - A (Run 3), --,50,1.00
Luxembourg,Lifetime Campaign - Leadership Principles  - A (Run 3), --,8,0.00
Finland,Lifetime Campaign - Leadership Principles  - A (Run 3), --,21,1.00
Switzerland,Lifetime Campaign - Leadership Principles  - A (Run 3), --,83,3.00
Slovenia,Lifetime Campaign - Leadership Principles  - A (Run 3), --,9,0.00
Ireland,Lifetime Campaign - Leadership Principles  - A (Run 3), --,181,4.00
Australia,Lifetime Campaign - Leadership Principles  - A (Run 3), --,524,9.00
Estonia,Lifetime Campaign - Leadership Principles  - A (Run 3), --,18,0.00
Spain,Lifetime Campaign - Leadership Principles  - A (Run 3), --,80,4.00
Germany,Lifetime Campaign - Leadership Principles  - A (Run 3), --,183,6.00
Sweden,Lifetime Campaign - Leadership Principles  - A (Run 3), --,55,1.00
Guernsey,Lifetime Campaign - Leadership Principles  - A (Run 3), --,2,0.00
Hong Kong,Lifetime Campaign - Leadership Principles  - A (Run 3), --,120,0.00
Japan,Lifetime Campaign - Leadership Principles  - A (Run 3), --,64,2.00
Austria,Lifetime Campaign - Leadership Principles  - A (Run 3), --,40,1.00
Monaco,Lifetime Campaign - Leadership Principles  - A (Run 3), --,0,0.00
France,Lifetime Campaign - Leadership Principles  - A (Run 3), --,99,2.00
Greece,Lifetime Campaign - Leadership Principles  - A (Run 3), --,38,2.00
Canada,Lifetime Campaign - Leadership Principles  - A (Run 3), --,822,16.00
Malta,Lifetime Campaign - Leadership Principles  - A (Run 3), --,43,0.00
New Zealand,Lifetime Campaign - Leadership Principles  - A (Run 3), --,107,1.00
Norway,Lifetime Campaign - Leadership Principles  - A (Run 3), --,35,0.00
Liechtenstein,Lifetime Campaign - Leadership Principles  - A (Run 3), --,0,0.00
Canada,Course - System Thinking - Run 14 - Display - Webinar - USA + CA, --,79,10.88
United States,Course - System Thinking - Run 14 - Display - Webinar - USA + CA, --,280,52.92
Mexico,Course - System Thinking - Run 14 - YouTube - Webinar - A #2, --,0,0.00
Japan,Course - System Thinking - Run 14 - YouTube - Webinar - A #2, --,0,0.00
Switzerland,Course - System Thinking - Run 15 - YouTube - Lead Gen - A, --,0,0.00
South Africa,Course - System Thinking - Run 14 - YouTube - Webinar - A #2, --,0,0.00
Germany,Course - System Thinking - Run 15 - YouTube - Lead Gen - A, --,4,0.00
France,Course - System Thinking - Run 14 - YouTube - Webinar - A #2, --,0,0.00
Spain,Course - System Thinking - Run 15 - YouTube - Lead Gen - A, --,5,1.00
Ireland,Course - System Thinking - Run 15 - YouTube - Lead Gen - A, --,4,0.00
Switzerland,Course - System Thinking - Run 14 - YouTube - Webinar - A #2, --,0,0.00
Sweden,Course - System Thinking - Run 15 - YouTube - Lead Gen - A, --,2,0.00
Spain,Course - System Thinking - Run 14 - YouTube - Webinar - A #2, --,0,0.00
Mexico,Course - System Thinking - Run 15 - YouTube - Lead Gen - A, --,508,15.01
New Zealand,Course - System Thinking - Run 14 - YouTube - Webinar - A #2, --,0,0.00
Italy,Course - System Thinking - Run 14 - YouTube - Webinar - A #2, --,0,0.00
Ireland,Course - System Thinking - Run 14 - YouTube - Webinar - A #2, --,0,0.00
Sweden,Course - System Thinking - Run 14 - YouTube - Webinar - A #2, --,0,0.00
Norway,Course - System Thinking - Run 15 - YouTube - Lead Gen - A, --,0,0.00
Norway,Course - System Thinking - Run 14 - YouTube - Webinar - A #2, --,0,0.00
Belgium,Course - System Thinking - Run 14 - YouTube - Webinar - A #2, --,0,0.00
United Kingdom,Course - System Thinking - Run 15 - YouTube - Lead Gen - A, --,4,0.00
Netherlands,Course - System Thinking - Run 14 - YouTube - Webinar - A #2, --,0,0.00
Australia,Course - System Thinking - Run 14 - YouTube - Webinar - A #2, --,0,0.00
Denmark,Course - System Thinking - Run 15 - YouTube - Lead Gen - A, --,1,0.00
Italy,Course - System Thinking - Run 15 - YouTube - Lead Gen - A, --,9,1.00
France,Course - System Thinking - Run 15 - YouTube - Lead Gen - A, --,3,0.00
United Kingdom,Course - System Thinking - Run 14 - YouTube - Webinar - A #2, --,0,0.00
Netherlands,Course - System Thinking - Run 15 - YouTube - Lead Gen - A, --,9,0.00
Australia,Course - System Thinking - Run 15 - YouTube - Lead Gen - A, --,10,1.00
New Zealand,Course - System Thinking - Run 15 - YouTube - Lead Gen - A, --,1,0.00
Germany,Course - System Thinking - Run 14 - YouTube - Webinar - A #2, --,0,0.00
Japan,Course - System Thinking - Run 15 - YouTube - Lead Gen - A, --,19,0.00
South Africa,Course - System Thinking - Run 15 - YouTube - Lead Gen - A, --,"5,544",193.46
Denmark,Course - System Thinking - Run 14 - YouTube - Webinar - A #2, --,0,0.00
Belgium,Course - System Thinking - Run 15 - YouTube - Lead Gen - A, --,4,0.00
Thailand,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,2,0.00
Singapore,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,0,0.00
Cote d'Ivoire,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,0,0.00
Pakistan,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,489,0.00
Morocco,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,53,0.00
Moldova,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,0,0.00
Romania,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,1,0.00
Turkiye,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,1,0.00
Jordan,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,7,0.00
Luxembourg,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,0,0.00
Monaco,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,0,0.00
Estonia,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,0,0.00
Armenia,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,0,0.00
China,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,0,0.00
Tanzania,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,49,0.00
Taiwan,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,1,0.00
Nigeria,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,433,3.00
Uganda,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,68,1.00
Slovakia,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,0,0.00
Czechia,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,0,0.00
Greece,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,0,0.00
Liberia,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,2,0.00
Croatia,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,0,0.00
Tunisia,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,47,0.00
Poland,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,0,0.00
Iceland,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,0,0.00
Bahrain,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,3,0.00
Lithuania,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,0,0.00
Philippines,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,48,0.00
Serbia,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,1,0.00
Argentina,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,3,0.00
Bolivia,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,7,0.00
Malaysia,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,8,0.00
Senegal,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,14,0.00
Portugal,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,0,0.00
Ethiopia,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,47,0.00
Israel,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,0,0.00
Chile,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,2,0.00
Qatar,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,2,0.00
Bulgaria,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,0,0.00
Colombia,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,15,0.00
Finland,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,0,0.00
Hungary,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,1,0.00
Trinidad and Tobago,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,0,0.00
Paraguay,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,3,0.00
Saudi Arabia,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,2,0.00
Peru,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,24,0.00
Georgia,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,0,0.00
United Arab Emirates,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,1,0.00
Kenya,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,193,0.00
Hong Kong,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,1,0.00
Indonesia,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,67,0.00
Bangladesh,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,476,1.00
South Korea,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,0,0.00
Austria,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,0,0.00
Zimbabwe,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,48,0.00
Egypt,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,120,0.00
Sri Lanka,Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Ad group 1,53,0.00
Canada,Course - System Thinking - Run 16 - Display - Remarketing - A, --,21,2.00
Belgium,Course - System Thinking - Run 16 - Display - Remarketing - A, --,4,0.00
New Zealand,Course - System Thinking - Run 16 - Display - Remarketing - A, --,18,0.00
Italy,Course - System Thinking - Run 16 - Display - Remarketing - A, --,10,0.00
Spain,Course - System Thinking - Run 16 - Display - Remarketing - A, --,22,0.00
South Africa,Course - System Thinking - Run 16 - Display - Remarketing - A, --,"10,080",10.00
Japan,Course - System Thinking - Run 16 - Display - Remarketing - A, --,45,0.00
Germany,Course - System Thinking - Run 16 - Display - Remarketing - A, --,8,0.00
Australia,Course - System Thinking - Run 16 - Display - Remarketing - A, --,79,0.00
Ireland,Course - System Thinking - Run 16 - Display - Remarketing - A, --,3,0.00
France,Course - System Thinking - Run 16 - Display - Remarketing - A, --,20,1.00
United Kingdom,Course - System Thinking - Run 16 - Display - Remarketing - A, --,38,0.00
Norway,Course - System Thinking - Run 16 - Display - Remarketing - A, --,5,0.00
Netherlands,Course - System Thinking - Run 16 - Display - Remarketing - A, --,9,0.00
Sweden,Course - System Thinking - Run 16 - Display - Remarketing - A, --,4,0.00
Denmark,Course - System Thinking - Run 16 - Display - Remarketing - A, --,0,0.00
Mexico,Course - System Thinking - Run 16 - Display - Remarketing - A, --,434,0.00
Switzerland,Course - System Thinking - Run 16 - Display - Remarketing - A, --,1,0.00
Sweden,Course - System Thinking - Run 12 - YouTube - Remarketing - A #2, --,0,0.00
Canada,Course - System Thinking - Run 12 - YouTube - Remarketing - A #2, --,0,0.00
France,Course - System Thinking - Run 12 - YouTube - Remarketing - A #2, --,0,0.00
United States,Course - System Thinking - Run 12 - Display - Remarketing - US, --,"1,597",14.98
Ireland,Course - System Thinking - Run 12 - YouTube - Remarketing - A #2, --,0,0.00
Germany,Course - System Thinking - Run 12 - YouTube - Remarketing - A #2, --,0,0.00
Denmark,Course - System Thinking - Run 12 - YouTube - Remarketing - A #2, --,0,0.00
Switzerland,Course - System Thinking - Run 12 - YouTube - Remarketing - A #2, --,0,0.00
Iceland,Course - System Thinking - Run 12 - YouTube - Remarketing - A #2, --,0,0.00
Italy,Course - System Thinking - Run 12 - YouTube - Remarketing - A #2, --,0,0.00
Japan,Course - System Thinking - Run 12 - YouTube - Remarketing - A #2, --,0,0.00
Norway,Course - System Thinking - Run 12 - YouTube - Remarketing - A #2, --,0,0.00
Austria,Course - System Thinking - Run 12 - YouTube - Remarketing - A #2, --,0,0.00
United Kingdom,Course - System Thinking - Run 12 - YouTube - Remarketing - A #2, --,0,0.00
Spain,Course - System Thinking - Run 12 - YouTube - Remarketing - A #2, --,0,0.00
Hong Kong,Course - System Thinking - Run 12 - YouTube - Remarketing - A #2, --,0,0.00
Australia,Course - System Thinking - Run 12 - YouTube - Remarketing - A #2, --,0,0.00
Finland,Course - System Thinking - Run 12 - YouTube - Remarketing - A #2, --,0,0.00
New Zealand,Course - System Thinking - Run 12 - YouTube - Remarketing - A #2, --,0,0.00
Belgium,Course - System Thinking - Run 12 - YouTube - Remarketing - A #2, --,0,0.00
Netherlands,Course - System Thinking - Run 12 - YouTube - Remarketing - A #2, --,0,0.00
Nigeria,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,236,11.00
Pakistan,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,351,13.99
Singapore,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,3,0.00
Qatar,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,1,0.00
Hungary,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,1,0.00
Czechia,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,0,0.00
Egypt,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,37,1.00
Bolivia,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,6,0.00
Jordan,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,3,0.00
Cote d'Ivoire,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,5,0.00
Greece,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,0,0.00
Saudi Arabia,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,2,1.00
Paraguay,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,1,0.00
Iceland,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,0,0.00
Uganda,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,109,5.00
Bangladesh,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,106,4.00
Zimbabwe,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,26,1.00
Kenya,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,157,6.00
Monaco,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,0,0.00
Sri Lanka,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,38,2.00
Malaysia,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,7,1.00
Thailand,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,9,0.00
Philippines,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,27,1.00
Argentina,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,21,1.00
Moldova,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,1,0.00
Israel,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,0,0.00
United Arab Emirates,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,2,0.00
Georgia,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,3,0.00
Croatia,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,2,1.00
Bahrain,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,1,0.00
Peru,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,7,0.00
Taiwan,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,1,0.00
Lithuania,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,0,0.00
Morocco,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,75,5.00
Austria,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,0,0.00
Hong Kong,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,1,0.00
Turkiye,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,30,0.00
Trinidad and Tobago,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,2,0.00
Senegal,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,7,0.00
Romania,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,1,0.00
Tanzania,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,44,6.00
Portugal,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,0,0.00
Liberia,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,20,1.00
Estonia,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,0,0.00
Luxembourg,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,0,0.00
Colombia,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,5,0.00
Serbia,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,1,0.00
China,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,2,0.00
Anguilla,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,0,0.00
Bulgaria,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,2,0.00
Tunisia,Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad, --,35,5.00
