N_Estimators,Spend USA,Clicks USA,Purch USA,Spend A,Clicks A,Purch A,Spend B,Clicks B,Purch B
Actual,0.6565582424505209,0.2921124673209376,0.48584680864757324,0.24263815192093435,0.23142897641799876,0.3375620628881376,0.10080360562854483,0.4764585842248455,0.17659112846428862
5,0.5529973045539127,0.08749132650480429,0.26251994049517824,0.19851693972785706,0.06487915406986369,0.17072184732619428,0.24848575571823042,0.8476295147852296,0.5667582121786265
10,0.411045148781144,0.0599431599154824,0.17634793302721904,0.2888205895474113,0.10775802176044004,0.2780142075213574,0.30013426167144486,0.8322988299986235,0.5456378594514226
20,0.3868359878757268,0.03972875308108043,0.10778643111505852,0.37723503268800124,0.1756086607612461,0.41782241520277585,0.23592897943627184,0.7846625933196468,0.47439115368216545
30,0.4545392406841114,0.058294866600745746,0.11946940494954213,0.4203107851096431,0.3360217913551341,0.6039214855862416,0.12514997420624543,0.6056833333851607,0.2766091094642158
