N_Estimators,Spend New,Clicks New,Purch New,Spend Existing,Clicks Existing,Purch Existing,Spend Existing searches,Clicks Existing searches,Purch Existing searches
Actual,0.0,0.0,0.0,1.0,1.0,0.9999999999999998,0.0,0.0,0.0
5,0.004237309942096195,0.003325855043107836,0.0027170341778915757,0.14847338337988697,0.1361616083766169,0.15095740710713346,0.8472893066780168,0.8605125344540222,0.8463255604735803
10,0.001132337962863358,0.00023058357400844527,0.0005152397192126684,0.17983144327805994,0.22888728595006133,0.2052939829580812,0.8190362187590767,0.7708821068851516,0.7941907782687037
20,0.0064241105126694835,0.0008877984604223564,0.0022182932515253354,0.2908074558104402,0.43251042236512843,0.4293943126279927,0.7027684336768902,0.5666018161699425,0.5683873991191197
30,0.004970233616595988,0.00039479663309843326,0.000789077734415704,0.24435049013136526,0.36567788116578137,0.41362924089348707,0.7506792762520388,0.6339273157798526,0.5855816874421516
