N_Estimators,Spend Exact match,Clicks Exact match,Purch Exact match,Spend Phrase match,Clicks Phrase match,Purch Phrase match,Spend Broad match,Clicks Broad match,Purch Broad match
Actual,0.11509759734944305,0.02349810177654449,0.03773869651210867,0.07901409080568611,0.03545637166553092,0.05121777216352769,0.8058883118448709,0.9410455347887736,0.9110435291531054
5,0.4415926486391218,0.16174723228816404,0.2507822138017534,0.24870741479722636,0.3959405712705352,0.32874218036173286,0.30969993656365186,0.44231220990726505,0.42047560869900824
10,0.16324754474514305,0.1341472518940875,0.14827302389475622,0.3609666937420842,0.4554485237489927,0.41367414532117436,0.4757857615127729,0.41040423592113,0.43805283306262666
20,0.11902750124912874,0.10948322638158071,0.09238849679146299,0.2938109704204776,0.3291701805227533,0.3384503300246629,0.5871615283303935,0.5613466010594022,0.569161174093614
30,0.11523484660296063,0.09660893512479844,0.0874814505372354,0.27311961790241385,0.3685564570607966,0.32928679604482525,0.6116455354946254,0.5348345962631702,0.5832317556942198
