Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,89.49000000000001,57,51.254074
generative ai course,USA,Broad match,2.0,2,0.8971137
generative ai online course,USA,Broad match,3.74,2,0.5025562
online ai and ml courses,USA,Phrase match,43.71,31,27.449488
mit xpro ai,USA,Broad match,69.66,54,52.708122
mit artificial intelligence course,USA,Phrase match,12.9,10,8.88587
generative ai certificate course,USA,Broad match,0.78,1,0.09100664
generative ai fundamentals course,USA,Broad match,9.31,7,4.064768
generative ai online course,USA,Broad match,9.0,10,8.336368
generative ai online program,USA,Broad match,5.25,5,2.2028046
generative ai certificate program,USA,Broad match,5.65,5,1.8984675
generative ai foundations course,USA,Broad match,13.44,12,8.345563
mit generative ai certificate,USA,Broad match,5.8,5,1.1259441
online course generative ai,USA,Broad match,6.0,4,2.384953
mit xpro ai course,USA,Phrase match,1.3,1,0.09100652
generative ai certification online,USA,Phrase match,1.24,1,0.09100664
mit professional development,A,Broad match,3.06,2,-1.5419993
generative ai course,A,Broad match,0.93,1,0.09100664
generative ai courses,A,Broad match,1.03,1,0.09100664
online ai and ml courses,A,Phrase match,4.86,6,2.5149992
mit xpro ai,A,Broad match,1.46,2,0.52367043
generative ai certificate course,A,Broad match,1.1,1,0.09100664
generative ai fundamentals course,A,Broad match,2.72,4,0.8971126
generative ai online program,A,Broad match,12.65,11,7.979451
generative ai foundations course,A,Broad match,4.15,5,1.3550234
online course generative ai,A,Broad match,1.71,1,-0.2781824
mit professional development,B,Broad match,1.92,8,2.0223513
generative ai course,B,Broad match,1.44,3,1.0391042
generative ai courses,B,Broad match,0.42,1,0.0
generative ai online course,B,Broad match,0.98,2,0.27397358
online ai and ml courses,B,Phrase match,1.9,5,1.8604336
mit xpro ai,B,Broad match,0.33,1,0.0
generative ai online program,B,Broad match,4.72,8,4.17596
mit generative ai certificate,B,Broad match,2.58,6,1.9326587
generative ai certification online,B,Broad match,0.29,1,0.0
online course generative ai,B,Broad match,0.5700000000000001,3,0.27397346
professional certificate in ai,B,Phrase match,0.32,1,0.0
ai certification mit,USA,Exact match,1.32,1,0.09100664
mit ai course,USA,Phrase match,2.86,2,0.84621084
