Keyword,Region,Match type,Optimal Cost,Gurobi Pred,Actual Model Pred,Diff
1 mit opencourseware,USA,Phrase match,0.0,0.16770369210000036,0.16770348,2.1257157323262277e-07
1 mit opencourseware,A,Phrase match,0.0,0.16770369210000036,0.16770348,2.1257157323262277e-07
1 mit opencourseware,A,Broad match,0.0,0.6280560643000002,0.62805617,-1.042562132180791e-07
1 mit opencourseware,B,Exact match,38.079999823887796,32.605592345,32.605595,-2.2900097675915276e-06
1 mit opencourseware,B,Phrase match,38.079999823887796,33.584143484,33.58415,-4.922982419941491e-06
1 mit opencourseware,B,Broad match,38.079999823887796,34.390217344,34.390217,5.166074217299865e-07
5 day generative ai course google,USA,Phrase match,0.0,0.20969199660000012,0.2096917,2.932804505639819e-07
5 day generative ai course google,USA,Broad match,2.3900000741802097,1.9309638409000005,1.9309645,-6.29009667463265e-07
5 day generative ai course google,A,Phrase match,0.0,0.20969199660000012,0.2096917,2.932804505639819e-07
5 day generative ai course google,A,Broad match,0.0,0.8317554696000001,0.8317556,-1.0891791368816683e-07
5 day generative ai course google,B,Phrase match,13.959999522083075,12.1893008853,12.189301,3.481906247770894e-07
5 day generative ai course google,B,Broad match,13.959999522083075,16.978921894300004,16.97892,1.9113898481748492e-06
academy lms course content ai generator addon,B,Exact match,11.130000259500065,12.6717758504,12.671776,3.252890579119594e-08
academy lms course content ai generator addon,B,Phrase match,13.959999522083073,16.3913277614,16.391327,8.571031244741789e-07
academy lms course content ai generator addon,B,Broad match,13.959999522083075,18.9798463974,18.979845,1.3504029290345443e-06
admissions mit edu,USA,Exact match,0.0,0.04581919560000136,0.045819044,1.5148684218146968e-07
admissions mit edu,USA,Phrase match,0.0,0.7119376648000003,0.7119377,-6.07439755162531e-08
admissions mit edu,USA,Broad match,0.08000542184568621,0.30418830980000056,0.30418855,-2.397185846492178e-07
admissions mit edu,A,Exact match,0.0,0.04581919560000049,0.045819044,1.5148684130716905e-07
