Budget,Spend New,Clicks New,Conv New,Purch New,Spend Existing,Clicks Existing,Conv Existing,Purch Existing,Spend Existing searches,Clicks Existing searches,Conv Existing searches,Purch Existing searches
Actual,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
362,0.043810697187060564,0.02431854754205058,0.024043766589604464,0.0237110443034391,0.9561893028129396,0.9756814485720552,0.9759562318479679,0.9762889541937815,0.0,0.0,0.0,0.0
