Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,98.4,80,71.424515
generative ai course,USA,Broad match,6.3,5,4.1355705
online ai and ml courses,USA,Phrase match,19.200000000000003,12,10.074868
mit xpro ai,USA,Broad match,87.10000000000001,67,65.45424
mit artificial intelligence course,USA,Phrase match,27.03,17,15.826201
generative ai certificate course,USA,Broad match,6.37,7,5.951735
generative ai fundamentals course,USA,Broad match,2.79,3,1.3607188
generative ai online course,USA,Broad match,2.16,3,1.4912478
generative ai online program,USA,Broad match,5.5200000000000005,6,0.504725
generative ai foundations course,USA,Broad match,17.71,11,9.581231
mit generative ai certificate,USA,Broad match,8.24,8,6.8435736
generative ai certification online,USA,Broad match,0.62,1,0.048119485
mit xpro ai course,USA,Phrase match,1.29,1,0.048119485
mit professional development,A,Broad match,4.050000000000001,5,-0.26359892
generative ai course,A,Broad match,2.92,1,1.2673119
online ai and ml courses,A,Phrase match,2.25,3,1.3634535
mit xpro ai,A,Broad match,5.32,4,3.050881
generative ai fundamentals course,A,Broad match,1.08,2,0.048119426
generative ai online program,A,Broad match,8.0,8,2.8260283
generative ai certificate program,A,Broad match,0.69,1,0.048119366
generative ai foundations course,A,Broad match,2.82,3,1.5060127
online course generative ai,A,Broad match,1.37,1,0.048119426
mit professional development,B,Broad match,2.0700000000000003,9,2.3542795
generative ai course,B,Broad match,3.0,6,4.4983234
online ai and ml courses,B,Phrase match,1.9,5,2.6132426
mit xpro ai,B,Broad match,0.14,1,0.0
mit artificial intelligence course,B,Phrase match,0.5,1,0.0
generative ai online program,B,Broad match,5.32,7,1.2638273
mit generative ai certificate,B,Broad match,0.48,1,0.0
generative ai certification online,B,Broad match,0.31,1,0.0
online course generative ai,B,Broad match,2.82,6,3.1187074
prompt engineering course,B,Phrase match,1.12,2,0.048119426
ai certification mit,USA,Exact match,2.04,3,1.4912485
mit ai course,USA,Phrase match,2.58,2,1.267312
stanford ai professional program,USA,Phrase match,1.52,2,0.57099795
