Feature,Importance
Feature_161,0.40257624
Feature_334,0.062386308
Feature_400,0.05432907
Feature_143,0.04773256
Feature_27,0.035099745
Feature_155,0.03443252
Feature_8,0.03406973
Feature_11,0.031494517
Feature_303,0.026206585
Feature_141,0.024613772
Feature_399,0.024454141
Feature_401,0.023196729
Feature_6,0.018303212
Feature_53,0.014266398
Feature_255,0.013558356
Feature_296,0.012650001
Feature_5,0.011856919
Feature_211,0.009244625
Feature_164,0.008729518
Feature_13,0.0076691965
Feature_19,0.0064490964
Feature_15,0.0062985886
Feature_51,0.00562247
Feature_396,0.0046258713
Feature_315,0.0042212564
Feature_384,0.0040522283
Feature_219,0.003989944
Feature_78,0.003914911
Feature_93,0.003422916
Feature_192,0.0031816529
Feature_397,0.003142056
Feature_68,0.0030203161
Feature_48,0.0028152454
Feature_235,0.0027976271
Feature_311,0.0025189887
Feature_411,0.0023019072
Feature_97,0.0022663637
Feature_61,0.002026862
Feature_52,0.0019496479
Feature_395,0.0018746834
Feature_2,0.0017657012
Feature_320,0.0017028262
Feature_280,0.0015797489
Feature_314,0.0015611962
Feature_34,0.0014107679
Feature_184,0.0014089514
Feature_308,0.0013686098
Feature_210,0.0013234852
Feature_336,0.0012803688
Feature_49,0.0012322536
Feature_416,0.0011888405
Feature_405,0.0011035515
Feature_7,0.0010142744
Feature_251,0.000996119
Feature_0,0.000955064
Feature_94,0.00083097635
Feature_74,0.00080373784
Feature_288,0.0008014716
Feature_207,0.00074021326
Feature_189,0.0007057855
Feature_415,0.00064615137
Feature_273,0.00057947345
Feature_162,0.0005307403
Feature_180,0.00048544555
Feature_101,0.00048328057
Feature_413,0.0004695311
Feature_225,0.0004637452
Feature_287,0.0004326582
Feature_148,0.00042356015
Feature_21,0.0004085047
Feature_417,0.00040489872
Feature_4,0.00038608327
Feature_65,0.00036993794
Feature_260,0.00035168577
Feature_249,0.0003083243
Feature_257,0.00029324665
Feature_86,0.00028514414
Feature_406,0.00027315956
Feature_209,0.0002674955
Feature_73,0.00025903422
Feature_90,0.0002135617
Feature_390,0.00020568073
Feature_32,0.00018196458
Feature_188,8.52888e-05
Feature_135,4.019794e-05
Feature_398,1.4537857e-05
Feature_387,0.0
Feature_372,0.0
Feature_373,0.0
Feature_374,0.0
Feature_375,0.0
Feature_376,0.0
Feature_377,0.0
Feature_378,0.0
Feature_333,0.0
Feature_17,0.0
Feature_38,0.0
Feature_59,0.0
Feature_370,0.0
Feature_419,0.0
Feature_1,0.0
Feature_44,0.0
Feature_45,0.0
Feature_46,0.0
Feature_47,0.0
Feature_50,0.0
Feature_36,0.0
Feature_37,0.0
Feature_385,0.0
Feature_39,0.0
Feature_40,0.0
Feature_329,0.0
Feature_330,0.0
Feature_331,0.0
Feature_412,0.0
Feature_414,0.0
Feature_418,0.0
Feature_3,0.0
Feature_404,0.0
Feature_407,0.0
Feature_408,0.0
Feature_409,0.0
Feature_410,0.0
Feature_402,0.0
Feature_403,0.0
Feature_388,0.0
Feature_389,0.0
Feature_391,0.0
Feature_392,0.0
Feature_9,0.0
Feature_10,0.0
Feature_381,0.0
Feature_18,0.0
Feature_75,0.0
Feature_124,0.0
Feature_125,0.0
Feature_126,0.0
Feature_127,0.0
Feature_128,0.0
Feature_129,0.0
Feature_130,0.0
Feature_131,0.0
Feature_116,0.0
Feature_117,0.0
Feature_118,0.0
Feature_119,0.0
Feature_120,0.0
Feature_121,0.0
Feature_122,0.0
Feature_123,0.0
Feature_108,0.0
Feature_109,0.0
Feature_110,0.0
Feature_111,0.0
Feature_112,0.0
Feature_113,0.0
Feature_114,0.0
Feature_115,0.0
Feature_100,0.0
Feature_102,0.0
Feature_103,0.0
Feature_104,0.0
Feature_105,0.0
Feature_106,0.0
Feature_107,0.0
Feature_156,0.0
Feature_157,0.0
Feature_158,0.0
Feature_159,0.0
Feature_160,0.0
Feature_163,0.0
Feature_149,0.0
Feature_150,0.0
Feature_151,0.0
Feature_152,0.0
Feature_153,0.0
Feature_154,0.0
Feature_140,0.0
Feature_142,0.0
Feature_144,0.0
Feature_145,0.0
Feature_146,0.0
Feature_147,0.0
Feature_132,0.0
Feature_133,0.0
Feature_134,0.0
Feature_136,0.0
Feature_137,0.0
Feature_138,0.0
Feature_139,0.0
Feature_190,0.0
Feature_191,0.0
Feature_193,0.0
Feature_194,0.0
Feature_195,0.0
Feature_181,0.0
Feature_182,0.0
Feature_183,0.0
Feature_185,0.0
Feature_186,0.0
Feature_187,0.0
Feature_172,0.0
Feature_173,0.0
Feature_174,0.0
Feature_175,0.0
Feature_176,0.0
Feature_177,0.0
Feature_178,0.0
Feature_179,0.0
Feature_165,0.0
Feature_166,0.0
Feature_167,0.0
Feature_168,0.0
Feature_169,0.0
Feature_170,0.0
Feature_171,0.0
Feature_220,0.0
Feature_221,0.0
Feature_222,0.0
Feature_223,0.0
Feature_224,0.0
Feature_226,0.0
Feature_227,0.0
Feature_212,0.0
Feature_213,0.0
Feature_214,0.0
Feature_215,0.0
Feature_216,0.0
Feature_217,0.0
Feature_218,0.0
Feature_204,0.0
Feature_205,0.0
Feature_206,0.0
Feature_208,0.0
Feature_196,0.0
Feature_197,0.0
Feature_198,0.0
Feature_199,0.0
Feature_200,0.0
Feature_201,0.0
Feature_202,0.0
Feature_203,0.0
Feature_252,0.0
Feature_253,0.0
Feature_254,0.0
Feature_256,0.0
Feature_258,0.0
Feature_259,0.0
Feature_244,0.0
Feature_245,0.0
Feature_246,0.0
Feature_247,0.0
Feature_248,0.0
Feature_250,0.0
Feature_236,0.0
Feature_237,0.0
Feature_238,0.0
Feature_239,0.0
Feature_240,0.0
Feature_241,0.0
Feature_242,0.0
Feature_243,0.0
Feature_228,0.0
Feature_229,0.0
Feature_230,0.0
Feature_231,0.0
Feature_232,0.0
Feature_41,0.0
Feature_42,0.0
Feature_43,0.0
Feature_92,0.0
Feature_95,0.0
Feature_96,0.0
Feature_98,0.0
Feature_99,0.0
Feature_84,0.0
Feature_85,0.0
Feature_87,0.0
Feature_88,0.0
Feature_89,0.0
Feature_91,0.0
Feature_76,0.0
Feature_77,0.0
Feature_79,0.0
Feature_80,0.0
Feature_81,0.0
Feature_82,0.0
Feature_83,0.0
Feature_69,0.0
Feature_70,0.0
Feature_71,0.0
Feature_72,0.0
Feature_233,0.0
Feature_234,0.0
Feature_284,0.0
Feature_285,0.0
Feature_286,0.0
Feature_289,0.0
Feature_290,0.0
Feature_291,0.0
Feature_276,0.0
Feature_277,0.0
Feature_278,0.0
Feature_279,0.0
Feature_281,0.0
Feature_282,0.0
Feature_283,0.0
Feature_268,0.0
Feature_269,0.0
Feature_270,0.0
Feature_271,0.0
Feature_272,0.0
Feature_274,0.0
Feature_275,0.0
Feature_261,0.0
Feature_262,0.0
Feature_263,0.0
Feature_264,0.0
Feature_265,0.0
