Day,k_policy,Budget,t_Clicks_OptCost,t_Clicks_ActCost,tm1_Clicks_OptCost,Actual_Clicks,Opt_Cost,Act_Cost,Opt_Purch,Act_Purch,N_Opt,N_Obs,Avg_Cost_Change,Pct_New_Keywords,Oracle_k,Hist_MSE,Hist_R2,Hist_Bias,Opt_Cost_Region_B,Act_Cost_Region_B,Opt_Clicks_Region_B,Act_Clicks_Region_B,Opt_Purch_Region_B,Act_Purch_Region_B,Opt_Cost_Region_USA,Act_Cost_Region_USA,Opt_Clicks_Region_USA,Act_Clicks_Region_USA,Opt_Purch_Region_USA,Act_Purch_Region_USA,Opt_Cost_Region_A,Act_Cost_Region_A,Opt_Clicks_Region_A,Act_Clicks_Region_A,Opt_Purch_Region_A,Act_Purch_Region_A,Opt_Cost_Origin_new,Act_Cost_Origin_new,Opt_Clicks_Origin_new,Act_Clicks_Origin_new,Opt_Purch_Origin_new,Act_Purch_Origin_new,Opt_Cost_Origin_existing,Act_Cost_Origin_existing,Opt_Clicks_Origin_existing,Act_Clicks_Origin_existing,Opt_Purch_Origin_existing,Act_Purch_Origin_existing,Opt_Cost_Origin_existing searches,Act_Cost_Origin_existing searches,Opt_Clicks_Origin_existing searches,Act_Clicks_Origin_existing searches,Opt_Purch_Origin_existing searches,Act_Purch_Origin_existing searches,Opt_Cost_Match_Exact match,Act_Cost_Match_Exact match,Opt_Clicks_Match_Exact match,Act_Clicks_Match_Exact match,Opt_Purch_Match_Exact match,Act_Purch_Match_Exact match,Opt_Cost_Match_Phrase match,Act_Cost_Match_Phrase match,Opt_Clicks_Match_Phrase match,Act_Clicks_Match_Phrase match,Opt_Purch_Match_Phrase match,Act_Purch_Match_Phrase match,Opt_Cost_Match_Broad match,Act_Cost_Match_Broad match,Opt_Clicks_Match_Broad match,Act_Clicks_Match_Broad match,Opt_Purch_Match_Broad match,Act_Purch_Match_Broad match,No_Observations,No_Optimized_Bids
2025-10-01,full,43396,76.27263641357422,41.05731964111328,163.03810800561737,84.0,325.9864913929562,264.14,0.2137891854981982,0.10662177438745093,145,49,0.0,0.0,384,1.3376678228378296,0.8565125465393066,-9.745728954071294e-05,0.0,19.380000000000003,0.0,8.412397384643555,0.0,0.006588670893274124,163.7500014082947,159.98999999999998,6.662403106689453,15.618191719055176,0.02273740184318677,0.05330165721130583,162.23648998466146,84.76999999999998,69.61023712158203,17.026729583740234,0.19105178365501144,0.04673144628287098,3.210000058046823,0.0,0.03557276725769043,0.0,0.0001214024952782231,0.0,128.12649195038472,85.00999999999999,54.928348541259766,15.440101623535156,0.15143116219274136,0.029771214946915404,194.64999938452465,0.0,21.308717727661133,0.0,0.06223661900640386,0.0,89.89000064497466,0.0,16.21079444885254,0.0,0.045947188417674964,0.0,122.92000026798902,0.0,30.87921714782715,0.0,0.08624921235269098,0.0,113.17649047999251,0.0,29.182636260986328,0.0,0.08159279077640162,0.0,,
2025-10-02,full,43396,110.37065124511719,42.385948181152344,170.16405284086636,90.0,325.95999701613493,281.07,0.31580108115263295,0.11315267804076098,53,47,0.1682250698154738,0.5660377358490566,384,1.3245539665222168,0.8577819466590881,-0.0001574198931038,7.0,20.04,1.5845187902450562,7.248574256896973,0.0012410102818812868,0.005677152360331501,160.6199942438721,182.89999999999998,23.92458724975586,16.518566131591797,0.08164966020283726,0.056374448809855954,158.34000277226284,78.13000000000001,84.8615493774414,18.618816375732422,0.23291041066791443,0.05110107687057353,0.0,0.0,0.0,0.0,0.0,0.0,54.50000090030798,113.05000000000001,27.509254455566406,14.088032722473145,0.07473552692112019,0.03247804262925853,271.4599961158269,0.0,82.86139678955078,0.0,0.2410655687696714,0.0,47.18999983482061,0.0,16.475419998168945,0.0,0.0446971133911413,0.0,153.1699987991146,0.0,53.304908752441406,0.0,0.1524421431444897,0.0,125.59999838219971,0.0,40.5903205871582,0.0,0.11866184177260863,0.0,,
2025-10-03,full,43396,98.07299041748047,43.60719299316406,184.54232067541443,96.0,325.9399960379777,257.50000000000006,0.27550147555685545,0.09057427045542692,101,50,0.26197453140633814,0.8514851485148515,384,1.334174871444702,0.856618344783783,-9.529199764319872e-05,0.0,38.68,0.0,20.112003326416016,0.0,0.01575191349636997,163.01000178496906,171.24,9.474810600280762,15.470863342285156,0.032335568409116916,0.052798855941008145,162.92999425300863,47.58,88.5981674194336,8.024323463439941,0.2431659071477385,0.022023501018048803,22.319999918896247,0.0,1.051621913909912,0.0,0.0035889680303216594,0.0,74.79999841209735,182.01,32.05398941040039,29.72593879699707,0.08884019027894033,0.05443522813176921,228.81999770698403,0.0,64.96736907958984,0.0,0.18307232690371233,0.0,51.45000054154015,0.0,2.5582263469696045,0.0,0.008730698084391253,0.0,137.00999770030242,0.0,49.11126708984375,0.0,0.13700310045262154,0.0,137.4799977961351,0.0,46.40349197387695,0.0,0.1297676971457537,0.0,,
2025-10-04,full,43396,95.8295669555664,34.30194854736328,163.9037277700925,87.0,325.8400009937353,241.12,0.272357823166653,0.06655027474954361,83,38,0.3383317935912356,0.8554216867469879,384,1.3071129322052002,0.8593959808349609,-0.0002386661089577,7.0,38.51,1.23916494846344,18.569923400878906,0.0009705258476311224,0.0145441417395085,159.75000412938084,185.32999999999998,17.6221923828125,13.211780548095703,0.060140896884647736,0.04508907372845316,159.0899968643545,17.28,76.96820068359375,2.520249366760254,0.21124640043437418,0.006917059281581953,0.0,0.0,0.0,0.0,0.0,0.0,53.11999949680791,115.55000000000001,20.931089401245117,22.542346954345703,0.057921701959469975,0.03379667214532958,272.7200014969274,0.0,74.89846801757812,0.0,0.21443611678596025,0.0,85.7200002343182,0.0,26.098697662353516,0.0,0.07203395753630498,0.0,104.19999899776809,0.0,36.06666946411133,0.0,0.0999553559610642,0.0,135.92000176164902,0.0,33.664188385009766,0.0,0.10036850443438776,0.0,,
2025-10-05,full,43396,63.46305847167969,68.54193878173828,159.53954668925576,119.0,325.7799942548979,324.75,0.17835746640860173,0.1713098232041212,155,56,0.30331691599987104,0.8,384,1.3188073635101318,0.8580708503723145,-7.063060596703734e-05,0.0,32.35,0.0,14.187302589416504,0.0,0.011111631174095393,163.89999999999995,152.66,6.25140380859375,16.48732566833496,0.021334747894570818,0.056267831571856074,161.87999425489787,139.73999999999998,57.21165084838867,37.867313385009766,0.1570227185140309,0.10393036045816972,0.0,0.0,0.0,0.0,0.0,0.0,34.1699990182427,155.48999999999998,17.56867218017578,38.014747619628906,0.04871965138231587,0.08258543558247598,291.6099952366552,0.0,45.89438247680664,0.0,0.1296378101982264,0.0,106.5999981819271,0.0,15.232076644897461,0.0,0.0432126384978316,0.0,80.36999901824268,0.0,8.95568561553955,0.0,0.02590016104584352,0.0,138.80999705472803,0.0,39.275299072265625,0.0,0.10924466113497978,0.0,,
2025-10-06,full,43396,83.18132781982422,47.92593765258789,179.53576839328713,103.0,325.94999853383496,345.89,0.2349960794648482,0.11630032096069606,134,52,0.4563636103622504,0.7388059701492538,384,1.3219027519226074,0.8575899600982666,-9.155279410696818e-05,0.0,31.950000000000003,0.0,13.94581413269043,0.0,0.010922495103511873,165.52999884886987,232.16,10.022710800170898,18.132619857788086,0.03420544169523754,0.06188288025838154,160.41999968496515,81.78,73.15861511230469,15.847501754760742,0.20079063776961067,0.04349494559880265,0.0,0.0,0.0,0.0,0.0,0.0,68.82999887914421,152.5,34.597476959228516,22.54674530029297,0.09584611174777855,0.04474642188375631,257.1199996546909,0.0,48.583858489990234,0.0,0.13914997737318857,0.0,56.719999606726546,0.0,3.5058116912841797,0.0,0.011964610012324918,0.0,163.50999877151472,0.0,50.49018478393555,0.0,0.14089002641921902,0.0,105.72000015559372,0.0,29.185333251953125,0.0,0.08214145350309647,0.0,,
2025-10-07,full,43396,73.75350952148438,33.9316520690918,165.55808092760424,90.0,325.9550665802685,292.75000000000006,0.2102292574071698,0.09020685638181536,118,58,0.29583918525912084,0.7372881355932204,384,1.3116000890731812,0.8585616946220398,-0.0002393674774802,0.0,19.279999999999998,0.0,5.513268947601318,0.0,0.004318044633558481,162.96000013525358,192.42,11.68198299407959,11.810686111450195,0.03986819116447642,0.040307425022985365,162.9950664450147,81.04999999999998,62.07151794433594,16.607704162597656,0.17036106624269337,0.04558138672527152,6.6,0.0,0.3001594543457031,0.0,0.0010243821200342604,0.0,178.2850661961875,137.99,56.55754852294922,18.00188636779785,0.15696833490387338,0.04390194765204517,141.0700003840807,0.0,16.895797729492188,0.0,0.052236539569588875,0.0,80.01999953246394,0.0,9.639013290405273,0.0,0.02910184608254368,0.0,127.97506838868762,0.0,31.784725189208984,0.0,0.0898748865602903,0.0,117.95999865911665,0.0,32.32976531982422,0.0,0.09125251822071569,0.0,,
2025-10-08,full,43396,78.41487884521484,40.07036590576172,176.74055310174845,107.0,328.5000066845796,315.26000000000005,0.2161452894342449,0.09759737713569991,136,52,0.09066071766801298,0.7794117647058824,384,1.3417595624923706,0.8551455736160278,-6.137000821353905e-05,4.899999979202781,25.860000000000003,2.5850563049316406,10.980546951293945,0.0020246408394854454,0.008600069466597176,162.20000428939193,212.07000000000002,8.977288246154785,13.704846382141113,0.030637624288309923,0.04677180866819985,161.40000241598491,77.33000000000001,66.8525390625,15.384976387023926,0.18348302430644953,0.04222549900090289,0.0,0.0,0.0,0.0,0.0,0.0,101.93000242320046,127.63,34.71488952636719,24.470067977905273,0.09651490052118433,0.04882707328968756,226.57000426137918,0.0,43.699989318847656,0.0,0.11963038647204069,0.0,104.96000257796807,0.0,23.97796630859375,0.0,0.06781458252252896,0.0,124.08000203253086,0.0,31.111995697021484,0.0,0.08231638127521451,0.0,99.46000207408065,0.0,23.32491683959961,0.0,0.06601431958793204,0.0,,
2025-10-09,full,43396,84.03813171386719,31.0720157623291,161.79880695132923,82.0,325.95999625684595,239.05,0.2401465669354746,0.07691849326038597,84,44,0.8955350683351312,0.5476190476190477,384,1.3122059106826782,0.8582349419593811,-5.366083096908185e-05,0.0,19.590000000000003,0.0,6.824280738830566,0.0,0.00534484198955026,165.87999892236041,144.22,14.21143627166748,7.517928123474121,0.04850068539264415,0.02565713173257704,160.0799973344855,75.24,69.82670593261719,16.729808807373047,0.19164588154283044,0.04591651953825867,1.0,0.0,0.01185762882232666,0.0,4.0467634038288686e-05,0.0,65.32999902047233,88.39,30.09395408630371,15.864803314208984,0.08352718639219485,0.03377513339491272,259.6299972363737,0.0,53.932315826416016,0.0,0.1565789177373009,0.0,87.40999911617891,0.0,24.605371475219727,0.0,0.06983461893123667,0.0,120.47999857657899,0.0,27.11318588256836,0.0,0.07828082984255003,0.0,118.06999856408815,0.0,32.319580078125,0.0,0.09203112339658398,0.0,,
2025-10-10,full,43396,84.51004028320312,27.941869735717773,163.27960566231673,81.0,325.8100001613979,177.26,0.23724370642239667,0.05921506645676382,143,45,0.2912948069725603,0.7692307692307693,384,1.3385248184204102,0.8552771210670471,-2.997362887273069e-05,0.0,29.439999999999998,0.0,11.687199592590332,0.0,0.009153526578602618,164.2200034243001,96.17999999999999,7.92877721786499,8.154876708984375,0.027059277949062585,0.027830907108946815,161.58999673709783,51.64,76.58126831054688,8.099791526794434,0.2101844284733341,0.02223063276921438,0.0,0.0,0.0,0.0,0.0,0.0,97.6999990549751,59.12,44.97075271606445,15.439911842346191,0.12479309646889014,0.022308981546332148,228.1100011064228,0.0,39.539283752441406,0.0,0.11245060029738764,0.0,92.7800001254883,0.0,18.47418975830078,0.0,0.05251989661312053,0.0,123.43999981978764,0.0,36.789344787597656,0.0,0.10275411521910957,0.0,109.59000021612194,0.0,29.246511459350586,0.0,0.08196969540383986,0.0,,
