Budget,Spend Exact match,Clicks Exact match,Purch Exact match,Spend Phrase match,Clicks Phrase match,Purch Phrase match,Spend Broad match,Clicks Broad match,Purch Broad match
Actual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43396,0.321874535508253,0.3169206187416848,0.30753140058551465,0.33921221914037714,0.34726177624941895,0.3387944278674099,0.33891324535136985,0.33581758935309614,0.3536741705033319
