Budget,Spend USA,Clicks USA,Conv USA,Purch USA,Spend A,Clicks A,Conv A,Purch A,Spend B,Clicks B,Conv B,Purch B
Actual,0.6565582424505209,0.2921124673209376,0.2848433935854998,0.87549617693943,0.24263815192093435,0.23142897641799876,0.22422262867969825,0.11180072516720094,0.10080360562854483,0.4764585842248455,0.49093397773480163,0.012703097893366766
357,0.3369620628961842,0.038459211113667874,0.03683527973368215,0.5331121891439213,0.3339836407975698,0.1650034406129646,0.15702262503750566,0.36866673400873995,0.32905429630624594,0.7965373270518314,0.8061420952288121,0.09822107684733328
