Budget,Spend New,Clicks New,Conv New,Purch New,Spend Existing,Clicks Existing,Conv Existing,Purch Existing,Spend Existing searches,Clicks Existing searches,Conv Existing searches,Purch Existing searches
Actual,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,1.0,0.0,0.0,0.0,0.0
357,0.003449951925007787,0.0004608117064302012,0.00044132523951931156,0.006333187902279718,0.3178124101269512,0.4632484308868019,0.46417027163812075,0.33684323480944695,0.678737637948041,0.5362907309490622,0.5353883991934945,0.6568235723781854
