Day,Budget,t_Clicks_OptCost,t_Clicks_ActCost,tm1_Clicks_OptCost,Actual_Clicks,Opt_Cost,Act_Cost,Opt_Conv,Act_Conv,Opt_Purch,Act_Purch,N_Opt,N_Obs,Avg_Cost_Change,Pct_New_Keywords,Eval_CV_MSE,Eval_Train_MSE,Eval_Train_R2,Eval_Best_Params,Hist_MSE,Hist_R2,Hist_Bias,Opt_Cost_Region_USA,Act_Cost_Region_USA,Opt_Clicks_Region_USA,Act_Clicks_Region_USA,Opt_Conv_Region_USA,Act_Conv_Region_USA,Opt_Purch_Region_USA,Act_Purch_Region_USA,Opt_Cost_Region_B,Act_Cost_Region_B,Opt_Clicks_Region_B,Act_Clicks_Region_B,Opt_Conv_Region_B,Act_Conv_Region_B,Opt_Purch_Region_B,Act_Purch_Region_B,Opt_Cost_Region_A,Act_Cost_Region_A,Opt_Clicks_Region_A,Act_Clicks_Region_A,Opt_Conv_Region_A,Act_Conv_Region_A,Opt_Purch_Region_A,Act_Purch_Region_A,Opt_Cost_Origin_new,Act_Cost_Origin_new,Opt_Clicks_Origin_new,Act_Clicks_Origin_new,Opt_Conv_Origin_new,Act_Conv_Origin_new,Opt_Purch_Origin_new,Act_Purch_Origin_new,Opt_Cost_Origin_existing,Act_Cost_Origin_existing,Opt_Clicks_Origin_existing,Act_Clicks_Origin_existing,Opt_Conv_Origin_existing,Act_Conv_Origin_existing,Opt_Purch_Origin_existing,Act_Purch_Origin_existing,Opt_Cost_Origin_existing searches,Act_Cost_Origin_existing searches,Opt_Clicks_Origin_existing searches,Act_Clicks_Origin_existing searches,Opt_Conv_Origin_existing searches,Act_Conv_Origin_existing searches,Opt_Purch_Origin_existing searches,Act_Purch_Origin_existing searches,Opt_Cost_Match_Exact match,Act_Cost_Match_Exact match,Opt_Clicks_Match_Exact match,Act_Clicks_Match_Exact match,Opt_Conv_Match_Exact match,Act_Conv_Match_Exact match,Opt_Purch_Match_Exact match,Act_Purch_Match_Exact match,Opt_Cost_Match_Phrase match,Act_Cost_Match_Phrase match,Opt_Clicks_Match_Phrase match,Act_Clicks_Match_Phrase match,Opt_Conv_Match_Phrase match,Act_Conv_Match_Phrase match,Opt_Purch_Match_Phrase match,Act_Purch_Match_Phrase match,Opt_Cost_Match_Broad match,Act_Cost_Match_Broad match,Opt_Clicks_Match_Broad match,Act_Clicks_Match_Broad match,Opt_Conv_Match_Broad match,Act_Conv_Match_Broad match,Opt_Purch_Match_Broad match,Act_Purch_Match_Broad match
2025-12-01,357,240.62906,120.95368,394.76011689666956,177,356.9000031132394,339.51,6.88417331814427,3.402796113938539,0.020140258607265604,0.03801505410336778,74,30,,,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.488994836807251,0.8997662663459778,-9.917821041557907e-06,134.60999956780802,225.70999999999998,13.794934,37.08498,0.3786311521952066,1.0178756896852603,0.012483575995024311,0.03355964888785132,100.88000003993731,34.620000000000005,184.52538,56.438164,5.351736404841175,1.636859725052826,0.0014854424549997861,0.00045433121972772206,121.41000350549413,79.17999999999999,42.30876,27.430548,1.153805761107888,0.7480606992004526,0.006171240157241506,0.0040010739957887275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.89000105421812,339.51,172.21014,120.95368,4.968151155165601,3.402796113938539,0.007722649199684232,0.03801505410336777,214.0100020590213,0.0,68.41892,0.0,1.916022013414443,0.0,0.012417609530171759,0.0,52.39000110037346,37.26,54.146984,2.4892075,1.559668628363449,0.06830994875665856,0.0013856214425511024,0.002202468261557391,82.41000156578004,32.980000000000004,71.03356,4.7021823,2.0374481320560123,0.12990605507434239,0.0027361065030382867,0.0018394410861205385,222.10000044708593,269.27,115.44854,113.7623,3.2870564155224726,3.2045801770300963,0.01601853102699021,0.0339731460578929
2025-12-02,357,265.80902,122.33064,464.3440054492737,170,357.14000000000095,333.08,7.629297555272387,3.444020978887643,0.012282955788766408,0.03435457142682368,154,36,0.5295038218756037,0.9415584415584416,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.5090065002441406,0.8988060355186462,-4.908635916489144e-05,119.1150017914591,214.60999999999999,4.8966293,32.468475,0.13439837250927256,0.8911660494706591,0.004431152289239265,0.029381996273293985,118.90999641708395,32.49,219.17842,59.028996,6.356768281555438,1.712000984179424,0.0017644018254480368,0.00047518763117725056,119.115001791458,85.97999999999999,41.733986,30.833172,1.1381309012076763,0.8408539452375605,0.006087401674079107,0.004497387522352446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.66999703953364,333.08,165.73157,122.33064,4.779032816464648,3.4440209788876435,0.0037024857829049186,0.03435457142682368,241.47000296046735,0.0,100.07745,0.0,2.850264716071959,0.0,0.008580469974633817,0.0,24.759999730998523,60.849999999999994,48.034145,4.160643,1.3929526028527117,0.11402710130360504,0.00044105003642754974,0.003029645083288827,71.36999771786881,14.99,87.13823,1.4913356,2.5138124250442413,0.04116855194569805,0.0018115064357469516,0.00048824435992071913,261.01000255113365,257.24,130.63664,116.678665,3.7225326526413514,3.2888253621882573,0.010030399425546963,0.030836682204046655
2025-12-03,357,268.44864,138.57133,442.5971744464158,204,356.9700017935402,349.52000000000004,7.694330272729938,3.903014210811337,0.01961045918052483,0.0392770188626342,87,37,1.389037683412558,0.6666666666666666,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.5165082216262815,0.8986787796020508,7.364833965912591e-08,119.10000150899495,221.39,13.161126,37.428104,0.36123497215160544,1.0272935697399812,0.011910019027145823,0.0338701590524099,119.01999907455098,42.29,214.32329,67.81774,6.21595669606489,1.9668984538972176,0.001725317780304431,0.0005459376634188088,118.85000120999418,85.84,40.96422,33.32549,1.1171386045134413,0.9088221871741378,0.005975122373074579,0.004860922146805488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.2200008110366,349.52000000000004,127.38805,138.57133,3.6494154831236143,3.903014210811337,0.0068739433471694325,0.03927701886263419,227.7500009825035,0.0,141.0606,0.0,4.044914802694128,0.0,0.01273651626486404,0.0,25.670000402068336,54.01,7.8136234,4.775774,0.21325678918856822,0.13071236264734404,0.0011261169664992003,0.002731194210395257,80.19000035906333,31.819999999999997,101.08974,5.590218,2.9135207535675187,0.15394165697065118,0.0022746231639899223,0.0018177984938230205,251.11000103240846,263.68999999999994,159.54526,128.20534,4.567552709229495,3.618360205484197,0.01620971904427785,0.034728024927835076
2025-12-04,357,231.67001,125.45102,425.4274024489339,174,357.0533321285718,321.47999999999996,6.6395653749296955,3.5382496483127084,0.012104558151088633,0.040836847732616685,149,38,7.7158377282845185,0.912751677852349,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.516337752342224,0.8991885185241699,-0.000131321720685,118.95999879526744,227.20999999999998,5.0617247,41.20481,0.1389297371931296,1.1309531765102219,0.004580552662304539,0.0372878455560906,119.04666666666861,35.419999999999995,185.24907,63.41482,5.372725046873515,1.8392018378078328,0.001491268119342938,0.0005104938447121564,119.04666666663574,58.85000000000001,41.359215,20.831392,1.1279105908630502,0.5680946339946543,0.006032737369441155,0.003038508331813926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.01000145470366,321.47999999999996,104.80462,125.45102,3.011736997412975,3.538249648312709,0.0033557010165713454,0.04083684773261668,266.0433306738682,0.0,126.86539,0.0,3.6278286198896605,0.0,0.008748857173223552,0.0,60.60999898188177,24.28,34.025475,1.8198006,0.9843889479419157,0.04981641260954846,0.0016394737641146375,0.0010781860045460145,144.2733318811997,22.91,94.446556,2.7490325,2.701114874332984,0.07517191469941029,0.004915114673714137,0.00052541455012628,152.17000126549033,274.28999999999996,103.197975,120.88219,2.954061764154047,3.41326134114487,0.005549969632023662,0.039233247554087476
2025-12-05,357,259.57272,113.72007,421.54993102730253,170,357.140000000007,295.81000000000006,7.448238980261284,3.209291184323023,0.015095813773684883,0.03361594792690573,76,35,1.16591837089401,0.5526315789473685,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.4711387157440186,0.9026018381118774,5.7465995026512695e-05,119.04666666666662,202.65000000000003,8.580582,33.146885,0.23551225716569849,0.9097864366546381,0.007764905616038547,0.02999591569624769,119.04666666667772,37.559999999999995,212.45844,59.01183,6.161870903457675,1.7115031196236563,0.0017103055811837128,0.00047504944254237927,119.0466666666627,55.59999999999999,38.533707,21.561361,1.0508558196379112,0.5880016280447282,0.005620602576462624,0.003144982788115671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.68999955039232,295.81000000000006,151.4891,113.72007,4.375375016343952,3.2092911843230225,0.004795854636550788,0.03361594792690574,234.45000044961472,0.0,108.08362,0.0,3.07286395737343,0.0,0.010299958921379778,0.0,75.2133319968812,28.76,59.242172,2.1163793,1.7044331359058318,0.05796709963101139,0.003132974768989309,0.0013916473497870702,103.66999905466663,19.919999999999998,68.61964,3.291933,1.9588422170056268,0.09027580362455927,0.004484783860330229,0.0004402782903831041,178.25666894845918,247.12999999999997,131.7109,108.31175,3.7849634841616235,3.0610481347408856,0.0074780547587976086,0.03178402196661663
2025-12-06,357,277.25122,122.18811,420.4443713093555,194,357.1199981932367,374.28999999999996,7.9402858109040375,3.426741688325255,0.020109212507961383,0.03714005720660378,85,40,0.5620828838289957,0.8941176470588236,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.5220571756362915,0.899526059627533,-1.687325713528725e-05,119.15999796840225,228.70999999999998,12.752718,34.719772,0.3500253453636637,0.9529575573999804,0.011540434466890237,0.03141927973666084,118.7800008322261,34.74000000000001,217.77145,51.066185,6.315962860018468,1.4810578803343928,0.0017530757620996347,0.00041108643762248053,119.17999939260842,110.83999999999999,46.727066,36.40215,1.274297605521907,0.9927262505908816,0.006815702278971507,0.005309691032320465,2.2000000834694413,0.0,0.16187096,0.0,0.004442891119434559,0.0,0.00014648337466560446,0.0,84.96999981765038,374.28999999999996,109.906364,122.18811,3.1810920697204574,3.426741688325255,0.0044571908200572215,0.03714005720660378,269.9499982921169,0.0,167.18295,0.0,4.754751019237879,0.0,0.015505537734489837,0.0,41.08999988505418,23.740000000000002,35.906128,1.6589175,1.024176058381947,0.045490346014721655,0.0021850326931019616,0.0013194421076531415,138.31000025480043,28.730000000000004,134.31216,3.3113766,3.8559378756321516,0.0914483393199669,0.004776226195638822,0.000806776241731416,177.71999805338208,321.82,107.03294,117.21782,3.060172086711245,3.289802975837189,0.01314795330306771,0.035013840375815716
2025-12-07,357,268.6145,137.44832,377.7547881616841,188,357.13999999999487,394.08000000000004,7.707842440348783,3.8647563581403968,0.013315102957467838,0.03816924129460106,104,41,5.009328170424035,0.9038461538461539,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.500883936882019,0.9013800024986268,-5.520980637918149e-05,119.31999968760641,241.95,5.9119835,35.42137,0.1622669039998964,0.9722144307355857,0.005349985641212291,0.0320541842877466,118.50000062478088,35.36000000000001,220.25087,63.614227,6.387873088814702,1.8449850324876271,0.0017730353600174335,0.0005120990438948227,119.31999968760755,116.77000000000001,42.45165,38.412735,1.1577024475341846,1.0475568949171838,0.006192081956238114,0.005602957962959636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.06000331562734,394.08000000000004,157.01056,137.44832,4.512524327062968,3.8647563581403968,0.004735353940751025,0.03816924129460106,224.07999668436753,0.0,111.60394,0.0,3.1953178871047516,0.0,0.008579748793483903,0.0,73.28989324963607,50.349999999999994,56.76055,3.3403337,1.632385693681351,0.09161359514586453,0.0016040937507777746,0.0027255624390665994,75.47000075182386,26.36,71.8442,4.32102,2.0698085367831167,0.11783889973344644,0.0018970410773120811,0.0006302725940819782,208.38010599853493,317.37000000000006,140.00975,129.78697,4.005648050442496,3.6553039626032104,0.00981396866980196,0.034813406593258926
2025-12-08,357,255.15408,116.85583,393.4718647909732,173,357.14000000000465,340.53,7.3274656073288975,3.2881309401373056,0.013767229366798868,0.035928727091534406,154,32,2.0726809677194438,0.8961038961038961,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.5065865516662598,0.9014207124710084,-0.0001047275567334,122.19000013668897,235.17,7.6677322,34.85963,0.21045714576029398,0.9567963677739292,0.00693883151864914,0.031545846398584536,117.22999932628736,31.610000000000003,212.39421,54.982536,6.160007783653425,1.5946425809088338,0.0017097884486034385,0.0004426133148279957,117.72000053702841,73.75000000000001,35.09214,27.01367,0.9570006779151792,0.7366919914545428,0.0051186093995462915,0.003940267378121873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.83999812692812,340.53,149.64018,116.85583,4.324803548320796,3.2881309401373056,0.0035704946883642124,0.03592872709153441,247.3000018730766,0.0,105.513885,0.0,3.002662049192248,0.0,0.010196734354803177,0.0,90.41999979582722,31.619999999999997,66.41776,2.0491564,1.9111756497438563,0.05620857053183079,0.003043627069486531,0.0017040222869823662,102.84000238721241,21.75,79.347244,3.8459184,2.282360613270079,0.10493331064810336,0.003792851083597724,0.0007806716913398165,163.87999781696513,287.15999999999997,109.38909,110.960754,3.133929559044196,3.126989057184994,0.0069307510593774645,0.03344403247109479
2025-12-09,357,207.48515,128.43353,406.3739428726236,192,357.1397847995087,329.9,5.931653848751463,3.618675515095476,0.0161408755994025,0.036709947195974736,132,32,6.6466446051510015,0.803030303030303,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.4779270887374878,0.903725564479828,2.601532509960216e-06,121.68956996189013,206.23999999999998,9.866933,35.210155,0.2708188371265932,0.966417161163385,0.008928973526222015,0.031863046673082256,113.7608600762382,34.12,156.83032,63.498474,4.548504300425835,1.8416280977429396,0.0012624951760497167,0.0005111672839927631,121.68935476138047,89.53999999999999,40.787918,29.7249,1.1123307111990348,0.810630256189152,0.005949406897130771,0.004335733238899724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.54978442249968,329.9,80.25591,128.43353,2.279337002273585,3.618675515095476,0.00825017258165453,0.036709947195974736,229.59000037700906,0.0,127.22925,0.0,3.6523168854055363,0.0,0.007890702864449001,0.0,57.8592474258787,43.660000000000004,43.3243,4.054016,1.2417669831008338,0.11097618063072973,0.0020892910041341323,0.0020220662245961176,147.1693548830732,28.439999999999998,92.3044,5.3219366,2.6525292142717807,0.14520756458919218,0.004109070002976056,0.001089304077012739,152.1111824905568,257.8,71.85647,119.05757,2.03735803366804,3.3624918347758195,0.009942514908689156,0.03359857854183167
2025-12-10,357,225.3691,92.15973,411.110655616582,147,357.1399999997309,252.56,6.452539737271753,2.602379914636275,0.015531211510233109,0.029042349943529944,90,33,0.16609675138812302,0.6444444444444445,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.503741979598999,0.9025506973266602,4.218823529648837e-05,119.82999934806166,170.95,9.1188135,29.34925,0.2502851174973402,0.805552275227867,0.008251970992314962,0.02655928596331469,118.53999936302506,27.93,176.06215,48.46169,5.106279442829844,1.4055204316579721,0.0014173127556526596,0.0003901200587281799,118.77000128864415,53.67999999999999,40.18818,14.348797,1.0959751769445698,0.3913072077504354,0.0058619277622654915,0.002092943921487083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.22000087605806,252.56,16.358871,92.15973,0.4462294803838302,2.6023799146362747,0.0028403786327052725,0.029042349943529944,306.9199991236728,0.0,209.01021,0.0,6.006310172320825,0.0,0.012690832244459018,0.0,46.919998650825725,38.12,34.63827,4.8538065,1.0038852084975547,0.13264297165302263,0.0006931422364572973,0.0018913010841329241,120.41000114074343,16.889999999999997,83.34902,1.7156669,2.3880065410417783,0.04685053124394684,0.003828445535021094,0.0005194838499929609,189.81000020816168,197.55000000000004,107.38184,85.59026,3.0606477062639423,2.4228864346849344,0.011009623129434981,0.02663156594552229
2025-12-11,357,220.77629,106.05346,417.51237670538495,205,357.0300013335775,424.93,6.324177925996833,2.947207228623211,0.014013511106929496,0.04259600766859551,84,46,1.346348527150643,0.7976190476190477,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.494765281677246,0.9034402966499328,-2.2434189717335048e-05,119.0699982489363,283.78000000000003,7.7019367,40.752426,0.21139597330418736,1.1185366184850145,0.006969784927850854,0.0368784681321633,118.8700051139651,22.14,174.40964,27.627506,5.058352566687174,0.8012726201604071,0.001404010042071057,0.00022240339919180112,119.08999797067597,119.01,38.664738,37.673527,1.0544293860054719,1.0273979899777894,0.005639716137007581,0.005495136137240416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.83000007259224,424.93,79.84497,106.05346,2.2680522512341024,2.947207228623211,0.007853804135088648,0.04259600766859551,232.2000012609852,0.0,140.93134,0.0,4.056125420937961,0.0,0.0061597065555645215,0.0,94.270000743346,38.89,60.70514,2.964491,1.7453248148248048,0.08115859024339206,0.0018248660622745608,0.0017851533292092276,124.62000163748438,43.74,91.83099,7.02806,2.6396993153144477,0.19183906705745785,0.003177245205396502,0.001785186629565911,138.13999895274705,342.29999999999995,68.24018,96.0609,1.9391536372954883,2.6742094929843927,0.009011399665186626,0.03902566593517004
2025-12-12,357,218.36852,144.86601,427.7120717677965,184,357.13999999999464,328.5400000000001,6.256935590699243,4.098420784155243,0.010341916005222006,0.03866483291335333,172,35,0.3977505013897668,0.872093023255814,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.5260478258132937,0.9017971754074096,-3.3396144695690065e-05,119.88999922084162,217.01,3.244438,37.89291,0.08905046834009903,1.0400512483248197,0.002936019084723917,0.03429078331750422,117.5099964872423,46.629999999999995,173.95107,81.48249,5.045052281034699,2.3632132443150757,0.0014003183787533457,0.0006559398703097328,119.74000429191074,64.9,41.17302,25.4906,1.122832841324445,0.6951562915153473,0.006005578541744744,0.0037181097255393697,1.52000001225767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.88999872802205,328.5400000000001,68.04905,144.86601,1.9456598251307933,4.098420784155243,0.003093263006513813,0.03866483291335332,276.7300012597149,0.0,150.31946,0.0,4.311275960833854,0.0,0.007248652921020531,0.0,71.9799992987841,21.919999999999998,32.14047,1.6165316,0.9064371498223314,0.044310187448440196,0.002469982283974728,0.001208684865175634,85.57000369138682,28.659999999999997,82.24603,2.9016302,2.379080556043049,0.08014064900084242,0.001419917009646723,0.0012321382566912078,199.58999700982375,277.96,103.98201,140.34784,2.9714181549233487,3.9739700048752358,0.006452016753595811,0.0362240078163466
