Day,Keyword,Match type,Region,Avg. CPC,Cost,Conv. value,Clicks,day_of_week,is_weekend,month,is_public_holiday,days_to_next_course_start,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),last_month_searches,three_month_avg,six_month_avg,mom_change,search_trend,EPC,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19,bert_20,bert_21,bert_22,bert_23,bert_24,bert_25,bert_26,bert_27,bert_28,bert_29,bert_30,bert_31,bert_32,bert_33,bert_34,bert_35,bert_36,bert_37,bert_38,bert_39,bert_40,bert_41,bert_42,bert_43,bert_44,bert_45,bert_46,bert_47,bert_48,bert_49
2025-01-02,bootcamp ai,Exact match,USA,16.5,16.5,0.0,1,Thursday,0,Jan,0,39,High,75.0,4.09,15.71,4.709530201312334,4.51085950651685,4.610194853914592,0.0,-0.051086750090267,0.0,-0.63991594,-0.097476915,0.0685852,0.19689968,0.05435709,-0.12675591,-0.114144556,-0.25327688,-0.022259112,0.31637567,0.03520809,0.23835965,-0.057916153,0.11524772,0.27008513,-0.057881914,-0.20623447,-0.077374294,0.20521516,0.022851693,-0.0567375,0.20852439,-0.033996012,0.012772214,-0.007093988,-0.11064519,0.034595687,0.056306664,-0.017106017,0.06020136,-0.020661436,-0.0004989972,-0.022160333,0.052577518,-0.011574623,-0.11153019,0.014297128,-0.046725567,0.0043319897,-0.04878666,0.017317003,-0.0012482554,-0.0414045,-0.045919098,0.042968143,-0.0032857868,0.02126481,-0.0500462,0.00012952041,-0.0048393193
2025-01-02,certification for artificial intelligence,Exact match,USA,25.1,25.1,0.0,1,Thursday,0,Jan,0,39,High,85.0,4.18,13.54,8.999742789830492,8.728097421323477,8.762225147680432,0.20063703109587827,-0.005850467375477662,0.0,-0.7054561,-0.49252114,0.010815423,-0.23784932,0.27537796,0.07426235,-0.18323167,0.101239905,0.058045577,0.0055833333,0.036495235,0.039206095,-0.1263582,-0.011695988,-0.054986924,-0.0064889207,0.051043883,0.121577755,-0.05218241,0.01609048,0.111548156,0.025267202,-0.011286782,0.033257138,0.022905177,-0.022812746,-0.013324963,-0.028471,-0.071316734,0.0072228075,-0.011060108,-0.020023435,0.034999758,0.009897887,-0.029813085,0.01720793,-0.016608095,-0.015054869,-0.0060587865,-0.036412854,-0.0048789196,0.010177569,-0.007343542,-0.049637824,0.0458962,0.018633984,-0.017146602,0.011405385,0.0079235425,-0.01090771
2025-01-02,ai courses near me,Exact match,USA,6.6,6.6,0.0,1,Thursday,0,Jan,0,39,High,88.0,3.88,12.66,6.175867270105761,5.422745558091609,5.422745558091609,0.21266227384662706,0.02430425986818586,0.0,-0.85135037,-0.17818913,-0.20798557,0.15567933,-0.07038731,0.11572138,0.11995748,-0.09985765,-0.13425572,0.073316485,-0.041284222,-0.007973369,0.055424593,-0.048570495,0.006534631,-0.05341645,0.032737896,0.0035315058,-0.047563978,-0.032711316,-0.073297426,0.0865797,0.08012904,0.080138005,-0.020696325,0.049057864,0.07200349,-0.001316138,0.013769109,0.08857299,-0.04210666,0.08387292,0.00361544,-0.0078049875,0.052992906,0.020591443,0.028467322,-0.07584522,0.046413362,0.041648492,-0.09345249,-0.0026588282,0.030281818,0.104023814,0.07493887,0.025726559,0.05590262,-0.032525618,-0.0023527578,0.0077970703
2025-01-02,generative ai course,Exact match,USA,6.22,43.54,0.0,7,Thursday,0,Jan,0,39,High,80.0,4.81,13.33,6.78105762593618,8.457837844738357,8.760994940767642,0.0,-0.09830000101961196,0.0,-0.89385045,0.40056634,-0.026819097,-0.026851378,-0.04426773,0.10295371,-0.041688267,0.009813045,0.06826508,0.03852418,-0.017735109,-0.012833766,0.015896095,-0.049043328,-0.038505048,-0.026087103,-0.01729571,0.055957507,-0.0061886115,0.0037903362,-0.023484021,0.011406742,-0.003650042,0.0188584,-0.020133492,-0.01879789,0.053549856,-0.004924215,0.027243251,-0.012926648,-0.002487386,0.0031853227,0.008778582,0.040482983,-0.010877721,-0.026392281,-0.012270954,0.01644185,0.009358913,-0.013790691,-0.002812547,0.0058890097,7.382296e-05,0.018267328,-0.007876239,-0.006670033,0.020064127,0.004962507,-0.0015957888,0.006929718
2025-01-02,generative ai courses,Exact match,USA,6.69,20.07,0.0,3,Thursday,0,Jan,0,39,High,80.0,4.81,13.33,6.78105762593618,8.457837844738357,8.760994940767642,0.0,-0.09830000101961196,0.0,-0.8830245,0.3832556,-0.099619284,-0.045816954,-0.010327749,0.16890034,-0.013655283,-0.015939461,-0.0022390024,-0.002257577,-0.004370145,0.049989767,0.01047354,-0.027436133,0.041323297,-0.016538063,-0.006127705,0.04093107,-0.053647187,-0.03400562,-0.014255004,-0.0030721077,0.056925006,0.03460699,-0.053520307,0.024338199,-0.034350578,-0.017409965,0.021481859,0.052652616,-0.022913331,0.009501436,-0.023938477,-0.034488883,-0.04081403,-0.010333475,0.02302992,-0.024674123,0.0048184125,-0.031381775,0.011474042,0.03246579,-0.0064433226,0.004068131,0.0015992873,-0.023300488,-0.013799715,-0.0035382854,0.0036601725,0.0062019033
2025-01-02,course on generative ai,Exact match,USA,6.79,6.79,0.0,1,Thursday,0,Jan,0,39,High,94.0,6.51,16.04,3.4339872044851463,4.640323322910606,4.492864871555216,0.686080013336853,0.1036877360422786,0.0,-0.8570132,0.44188625,0.03641429,-0.05949594,0.006545614,0.06923048,-0.03887665,0.13878189,0.0027362683,-0.004171596,-0.010835059,-0.01169712,0.025600296,-0.056527022,-0.011281009,0.018396802,0.03665226,0.005107062,0.046885576,0.037863363,0.020607246,0.005499092,-0.074308455,0.018961737,0.004545082,0.052012503,0.03445227,0.0552231,-0.0053128037,0.032270502,0.0068107964,-0.029446462,0.038316067,0.04698957,-0.011214268,-0.048342172,-0.0067731435,-0.039032485,-0.009242424,-0.008802616,0.008768743,0.037727643,0.04415139,0.0005504312,-0.0159191,-0.0006268655,0.032739658,-0.01887997,0.042849228,-0.008579883
2025-01-02,courses on generative ai,Exact match,USA,6.74,26.96,0.0,4,Thursday,0,Jan,0,39,High,94.0,6.51,16.04,3.4339872044851463,4.640323322910606,4.492864871555216,0.686080013336853,0.1036877360422786,0.0,-0.84113365,0.4378683,-0.049619637,-0.062561505,0.012522773,0.13490878,-0.033951584,0.14659198,-0.06650631,-0.07071627,0.0015062896,0.0024641901,0.0025574842,-0.015566372,0.06056093,0.057477623,0.02601237,-0.019124756,-0.0024128554,0.0061501297,0.03635646,0.022688227,-0.001370512,-0.01082369,-0.0121107185,0.07029044,-0.02826526,0.04777332,-0.011440788,0.062149502,0.02293062,-0.03291368,0.0024852299,-0.009010274,-0.05778189,-0.051483415,0.030686714,-0.059017986,-0.021169927,-0.0026866859,0.007680881,0.05349395,0.044629104,0.0070519024,-0.017612472,-0.014440695,0.036842454,-0.0054706386,0.0392203,0.023706112
2025-01-02,course generative ai,Exact match,USA,19.99,19.99,10769.09,1,Thursday,0,Jan,0,39,Medium,50.0,0.0,0.0,2.3978952727983707,2.958801638335647,2.678348455567009,0.6466271649250523,0.12197793589462955,10769.09,-0.8510384,0.37292427,-0.0805467,-0.04091203,-0.084249675,0.10038738,-0.017496107,-0.05944438,0.17251007,0.058896396,-0.046608742,0.061210603,-0.022973001,-0.0842555,-0.07228815,-0.10727472,-0.07577762,0.07370382,0.003232613,0.0030251008,-0.028964188,-0.04040116,-0.0020295137,0.0796234,-0.018748505,-0.0066328133,-0.0056587057,-0.0036203826,0.03114667,-0.0017975215,0.009095001,0.038262926,0.008559683,0.068202876,-0.0015376003,-0.024256509,-0.06641102,0.039122418,0.03273372,-0.027819304,-0.026089497,0.0058615906,-0.01154439,-0.0109790545,-0.0065823942,-0.0348922,-0.019179765,-0.042952765,0.04248447,-0.040706698
2025-01-02,best courses on generative ai,Exact match,USA,10.16,10.16,0.0,1,Thursday,0,Jan,0,39,High,86.0,3.86,11.39,2.3978952727983707,2.613437661106721,2.940488320911886,0.6466271649250523,-0.1694787658458468,0.0,-0.83236474,0.40273955,-0.082111806,-0.060054794,0.038693186,0.17010085,-0.05081667,0.15062796,-0.12992173,-0.072530665,0.038283166,0.03202604,-0.012263986,0.07278314,0.040347368,0.10993417,-0.007011903,-0.08056154,0.013591375,-0.034469936,0.0021225885,-0.02190766,0.025959834,-0.016720075,-0.000449221,0.048181653,-0.05725338,0.02850394,0.008661622,0.021427082,0.013505004,0.009745901,0.010431683,0.0019773487,-0.026184551,-0.046336513,0.02262801,-0.03825562,-0.008370291,0.013647731,0.036307044,0.05990813,0.0412175,-0.01688835,-0.003178562,-0.03107779,0.041254297,-0.0033525096,0.008699612,0.060978074
2025-01-02,best course on generative ai,Exact match,USA,9.38,9.38,0.0,1,Thursday,0,Jan,0,39,Medium,57.0,5.72,9.94,2.3978952727983707,2.3978952727983707,2.6134376611067216,0.0,-0.14780049484001193,0.0,-0.8479168,0.42417207,-0.0037301013,-0.033945445,0.009073572,0.1181239,-0.06662005,0.17245978,-0.06479441,-0.03686905,0.029315142,-0.013019196,-0.008096572,0.026287382,-0.013957091,0.082017966,-0.013038714,-0.079858795,0.082479775,0.02817801,-0.0030348492,0.013368093,-0.049160276,0.0048065623,0.017850444,0.03785432,-0.014760821,0.042647455,0.0039128857,-0.015374452,0.02030794,0.014381433,0.030985266,0.06509451,0.0073745498,-0.04683644,-0.030011564,0.0017789018,-0.009827746,0.02050662,0.0075432598,0.045121524,0.03214238,-0.004644233,-0.0001534962,-0.001236764,0.04060944,-0.0015258156,0.020308347,0.044242658
