Match type,Region,day_of_week,is_weekend,month,is_public_holiday,days_to_next_course_start,last_month_searches,three_month_avg,six_month_avg,mom_change,search_trend,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Avg. CPC,Cost,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19,bert_20,bert_21,bert_22,bert_23,bert_24,bert_25,bert_26,bert_27,bert_28,bert_29,bert_30,bert_31,bert_32,bert_33,bert_34,bert_35,bert_36,bert_37,bert_38,bert_39,bert_40,bert_41,bert_42,bert_43,bert_44,bert_45,bert_46,bert_47,bert_48,bert_49,Conv. value,Clicks,EPC
Broad match,USA,Thursday,0,Nov,0,81,2.3978952727983707,1.598596848532247,1.798421454598778,0.0,0.2397895272798366,33.0,0.0,0.0,5.69,62.59,-0.8787392,0.32876837,-0.08062013,-0.055568054,-0.013342848,0.107672095,-0.026202237,0.024216937,0.05877853,-0.040150117,-0.060904074,-0.10664589,-0.031364877,0.048310887,0.08636239,-0.007604827,-0.028753197,0.048818056,0.034048893,-0.037590515,0.015897997,0.035817754,0.05830953,-0.054629836,-0.037217196,-0.0037983689,0.04042013,0.027146716,-0.036571443,-0.0042616776,-0.021804003,0.023992857,-0.0019588917,-0.007008903,-0.021221438,-0.08661809,-0.04298192,-0.0036821268,-0.09737127,0.031740442,-0.06739174,-0.033260416,-0.030629538,0.062082916,-0.012402217,-0.058070216,0.014120839,0.07361071,-0.005593163,0.07913912,0.0,11,0.0
Exact match,USA,Sunday,1,Feb,0,1,2.3978952727983707,2.613437661106721,2.786119649721184,0.0,-0.08880787985886626,94.0,6.24,20.12,11.66,46.64,-0.8494011,0.3499896,0.06572585,-0.20046572,-0.26859534,0.014975506,0.019577898,0.0058072736,0.00037276163,0.024169438,0.004547981,0.022062397,-0.036884457,-0.07997086,0.0022135666,-0.011355983,-0.002587163,0.089652225,-0.024190826,-0.010984151,-0.013654408,-0.019222097,0.0064144377,0.023405459,0.0015464677,-0.054936294,-0.046974607,-0.011193651,-0.012377671,-0.04002763,-0.02146906,0.026888493,0.01807351,0.045850895,0.05045836,-0.03224492,-0.015920488,0.003702919,0.032575928,-0.048744492,-0.0049494295,-0.02640733,-0.005850588,0.014415574,0.0028978707,0.024031065,-0.014566384,-0.008509463,0.0017156797,-0.003055732,0.0,4,0.0
Exact match,USA,Thursday,0,Dec,0,46,3.4339872044851463,4.494356528290166,4.401685867790626,-0.44685032427101845,0.0446850324271021,94.0,6.51,16.04,7.87,7.87,-0.8570132,0.44188625,0.03641429,-0.05949594,0.006545614,0.06923048,-0.03887665,0.13878189,0.0027362683,-0.004171596,-0.010835059,-0.01169712,0.025600296,-0.056527022,-0.011281009,0.018396802,0.03665226,0.005107062,0.046885576,0.037863363,0.020607246,0.005499092,-0.074308455,0.018961737,0.004545082,0.052012503,0.03445227,0.0552231,-0.0053128037,0.032270502,0.0068107964,-0.029446462,0.038316067,0.04698957,-0.011214268,-0.048342172,-0.0067731435,-0.039032485,-0.009242424,-0.008802616,0.008768743,0.037727643,0.04415139,0.0005504312,-0.0159191,-0.0006268655,0.032739658,-0.01887997,0.042849228,-0.008579883,0.0,1,0.0
Broad match,B,Sunday,1,Aug,0,57,7.783640596221253,8.188966863648876,8.08088882388514,0.0,0.0555829918784925,85.0,4.18,13.29,0.86,22.36,-0.87250865,-0.13087064,-0.23760891,0.13420779,-0.026294878,0.16677904,0.040567428,0.0662943,-0.17948164,0.12550122,0.023798237,0.08716806,0.01242301,0.09397306,-0.05457357,0.057389177,-0.022886239,-0.11618065,0.00027565844,-0.05331431,-0.027232347,-0.07352888,0.0496727,-0.0073578847,-0.01219298,-0.013445632,-0.038357772,0.010923526,0.01845918,0.03422522,-0.012187902,0.048925962,-0.02630538,-0.020775132,0.0047021224,0.0067660133,-0.0050376644,-0.011381091,-0.0194094,-0.00041289636,0.0572683,0.022605887,-0.020468902,-0.008448512,-0.016260637,-0.008014889,-0.03904413,-0.021032214,-0.036574338,-0.007258081,0.0,26,0.0
Exact match,USA,Friday,0,Dec,0,45,2.3978952727983707,2.613437661106721,2.527220705783381,0.6466271649250523,0.1293254329850106,90.0,3.6,6.53,6.56,13.12,-0.8405069,0.4310243,-0.0019488126,-0.050856136,-0.07853855,-0.020669559,-0.065227345,0.06854124,0.15445091,0.03920243,-0.11569561,-0.090944424,-0.05970996,0.0699686,0.043449383,-0.04540408,0.00958593,-0.036335915,-0.0043817647,-0.06253002,0.0873646,-0.035499543,0.024661534,0.031666394,-0.015399089,-0.02806604,0.008294107,-0.04078478,0.04363446,-0.028089581,0.014658082,0.0448756,-0.05200956,0.012118618,0.010334751,-0.02634058,0.0049226973,0.016084548,0.022622366,-0.018448737,-0.016658267,0.016337713,-0.0047562355,0.023177046,0.0010380894,-0.0027270312,0.017681718,-0.0035756696,0.01947926,-0.006365517,0.0,2,0.0
Phrase match,USA,Tuesday,0,Jan,0,34,3.4339872044851463,4.640323322910606,4.492864871555216,0.686080013336853,0.1036877360422786,94.0,6.51,16.04,6.5,6.5,-0.84113365,0.4378683,-0.049619637,-0.062561505,0.012522773,0.13490878,-0.033951584,0.14659198,-0.06650631,-0.07071627,0.0015062896,0.0024641901,0.0025574842,-0.015566372,0.06056093,0.057477623,0.02601237,-0.019124756,-0.0024128554,0.0061501297,0.03635646,0.022688227,-0.001370512,-0.01082369,-0.0121107185,0.07029044,-0.02826526,0.04777332,-0.011440788,0.062149502,0.02293062,-0.03291368,0.0024852299,-0.009010274,-0.05778189,-0.051483415,0.030686714,-0.059017986,-0.021169927,-0.0026866859,0.007680881,0.05349395,0.044629104,0.0070519024,-0.017612472,-0.014440695,0.036842454,-0.0054706386,0.0392203,0.023706112,0.0,1,0.0
Phrase match,USA,Thursday,0,Jan,0,32,8.999742789830492,9.133508290691841,9.166949665907177,-0.2006482512920229,-0.028664035898860955,85.0,4.18,13.54,3.23,71.06,-0.7054561,-0.49252114,0.010815423,-0.23784932,0.27537796,0.07426235,-0.18323167,0.101239905,0.058045577,0.0055833333,0.036495235,0.039206095,-0.1263582,-0.011695988,-0.054986924,-0.0064889207,0.051043883,0.121577755,-0.05218241,0.01609048,0.111548156,0.025267202,-0.011286782,0.033257138,0.022905177,-0.022812746,-0.013324963,-0.028471,-0.071316734,0.0072228075,-0.011060108,-0.020023435,0.034999758,0.009897887,-0.029813085,0.01720793,-0.016608095,-0.015054869,-0.0060587865,-0.036412854,-0.0048789196,0.010177569,-0.007343542,-0.049637824,0.0458962,0.018633984,-0.017146602,0.011405385,0.0079235425,-0.01090771,400.0,22,18.181818181818183
Broad match,A,Friday,0,Dec,0,52,4.2626798770413155,4.345406420199827,4.290264046146995,-0.2481796294755343,0.06144658515817208,80.0,5.35,22.88,0.44,0.44,-0.67598206,-0.17021516,0.19376601,-0.16019255,-0.31448793,-0.17645407,0.004187461,-0.08360307,-0.18391351,0.027110364,0.03898,-0.03159897,0.063380815,-0.06511065,-0.13507672,0.12053776,-0.011933105,0.12937059,0.34614703,0.09520848,0.12685513,-0.04367578,0.21497446,0.03076679,0.06498158,0.0696489,0.027416952,-0.025756957,0.019255372,0.00917262,-0.026918365,0.042867992,0.03275829,-0.04562319,-0.046137538,0.051974334,0.0051244595,-0.00975636,-0.02447994,-0.004123648,-0.010209127,-0.0024704742,-0.015221768,-0.019717598,0.000745681,-0.025768487,-0.007835014,-0.024053551,-0.0039831805,-0.022635998,0.0,1,0.0
Exact match,B,Sunday,1,Jun,0,106,6.78105762593618,7.783640596221253,7.952186052557497,0.0,-0.12130603300663012,80.0,4.81,13.33,1.98,1.98,-0.89385045,0.40056634,-0.026819097,-0.026851378,-0.04426773,0.10295371,-0.041688267,0.009813045,0.06826508,0.03852418,-0.017735109,-0.012833766,0.015896095,-0.049043328,-0.038505048,-0.026087103,-0.01729571,0.055957507,-0.0061886115,0.0037903362,-0.023484021,0.011406742,-0.003650042,0.0188584,-0.020133492,-0.01879789,0.053549856,-0.004924215,0.027243251,-0.012926648,-0.002487386,0.0031853227,0.008778582,0.040482983,-0.010877721,-0.026392281,-0.012270954,0.01644185,0.009358913,-0.013790691,-0.002812547,0.0058890097,7.382296e-05,0.018267328,-0.007876239,-0.006670033,0.020064127,0.004962507,-0.0015957888,0.006929718,0.0,1,0.0
Phrase match,B,Monday,0,Dec,0,63,3.044522437723423,3.1743440266439973,3.278201297780457,0.38946476676172326,-0.03894647667617225,87.0,3.9,10.31,1.05,1.05,-0.7990784,-0.13355674,-0.14387853,0.20995544,-0.018741155,-0.016642157,-0.13003191,0.025231477,0.038704667,0.13662092,-0.019642496,-0.09048847,0.072722234,-0.07326565,-0.069801785,0.027823325,0.042571057,0.00051933475,-0.047782212,0.06084068,-0.07970456,-0.13190682,-0.10537896,-0.004359649,0.038665447,-0.10508618,0.13817948,0.03750481,-0.090257645,0.1401909,0.041993495,-0.025055885,-0.046483237,0.14113754,-0.029132243,0.011284718,0.079554915,0.057933006,-0.023709027,-0.14142178,0.014659429,0.05801179,0.025088621,-0.012651091,0.024619116,-0.1072873,-0.11610204,0.08675605,-0.13373767,-0.03248778,0.0,1,0.0
