Campaign,Conversion action,All conv.
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,49.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,15.56
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,90.48
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,15.16
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,8.67
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,37.35
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,idimension - Purchase,24.50
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,idimension - Purchase,6.50
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,45.92
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,27.68
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,146.63
