Day,Search keyword,Search keyword match type,Campaign,Clicks,Conv. value,Currency code,Cost
2022-07-01,Learn quantum computing,Broad,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,7.14
2022-07-01,Learn quantum computing,Exact,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,3.92
2022-07-01,basics of quantum computing,Exact,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,5.81
2022-07-01,Quantum computation,Exact,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,5.49
2022-07-01,Quantum computation,Phrase,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,6,0.00,USD,23.19
2022-07-01,online course quantum computing,Exact,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,4.68
2022-07-01,mit quantum computing,Broad,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,1.62
2022-07-01,mit xpro quantum computing,Exact,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,2,0.00,USD,13.50
2022-07-01,mit qubit,Phrase,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,9.68
2022-07-01,quantum computing programming,Phrase,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,1.15
2022-07-01,Introduction to Quantum Mechanics,Phrase,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,2,0.00,USD,2.56
2022-07-01,quantum coding,Broad,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,0.68
2022-07-01,quantum computer science,Broad,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,2,0.00,USD,9.55
2022-07-01,quantum technology,Broad,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,3,0.00,USD,4.17
2022-07-01,quantum information,Broad,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,2.82
2022-07-01,quantum algorithms,Phrase,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,1.97
2022-07-01,ibm quantum computer,Broad,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,4,0.00,USD,6.94
2022-07-01,quantum machine learning,Phrase,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,2,0.00,USD,8.76
2022-07-01,Quantum computing,Phrase,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,5,0.00,USD,15.58
2022-07-01,Quantum computing,Exact,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,6,60.17,USD,18.33
2022-07-01,quantum computing applications,Exact,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,1.51
2022-07-01,qubit quantum computer,Broad,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,4,0.00,USD,12.65
2022-07-01,Quantum computer,Phrase,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,4,0.00,USD,5.17
2022-07-01,Quantum startups,Exact,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,1.78
2022-07-01,qubit quantum computer,Phrase,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,5.54
2022-07-01,quantum mechanics course,Broad,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,3.00
2022-07-01,Quantum computing course,Phrase,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,5,0.00,USD,31.95
2022-07-01,Quantum computing course,Broad,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,2.25
2022-07-01,edx Quantum computing,Phrase,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,3,0.00,USD,3.93
2022-07-01,masters in quantum computing,Exact,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,1.74
2022-07-01,mit quantum computing,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,3,0.00,USD,1.87
2022-07-01,Quantum computing course,Phrase,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,7,0.00,USD,22.63
2022-07-01,Quantum computing course,Broad,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,8,0.00,USD,15.41
2022-07-01,mit quantum computing,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,0.12
2022-07-01,mit quantum computing,Broad,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,5,0.00,USD,12.36
2022-07-01,mit quantum,Phrase,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,1.34
2022-07-01,quantum computing programming,Phrase,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,0.81
2022-07-01,institute for quantum computing,Exact,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,3,0.00,USD,2.05
2022-07-01,Learn quantum computing,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,10,0.00,USD,3.90
2022-07-01,Quantum computation,Exact,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,4,0.00,USD,0.67
2022-07-01,quantum computing bootcamp,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,1.06
2022-07-01,Quantum research,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,4,0.00,USD,1.37
2022-07-01,Quantum computing course,Phrase,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,17,0.00,USD,10.65
2022-07-01,Quantum Physics Lectures,Phrase,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,0.29
2022-07-01,quantum research,Phrase,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,2,0.00,USD,2.99
2022-07-01,study quantum mechanics,Exact,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,3,0.00,USD,4.26
2022-07-01,quantum computing applications,Exact,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,0.19
2022-07-01,quantum computing university,Exact,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,2.86
2022-07-01,Learn quantum computing,Phrase,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,2.19
2022-07-01,Learn quantum computing,Exact,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,3,0.00,USD,4.55
2022-07-01,system architecture,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,0.10
2022-07-01,quantum physics,Exact,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,3,0.00,USD,0.18
2022-07-01,quantum coding,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,6,0.00,USD,1.73
2022-07-01,Quantum computing,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,12,0.00,USD,4.36
2022-07-01,quantum machine learning,Exact,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,0.60
2022-07-01,ibm computing,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,0.75
2022-07-01,quantum information,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,0.34
2022-07-01,quantum computing,Exact,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,0.13
2022-07-01,quantum technology,Exact,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,3,0.00,USD,0.39
2022-07-01,quantum computing,Phrase,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,11,60.17,USD,7.29
2022-07-01,quantum algorithms,Phrase,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,2,0.00,USD,0.41
2022-07-01,quantum encryption,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,3,0.00,USD,1.52
2022-07-01,ibm quantum computing,Phrase,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,0.68
2022-07-01,ibm quantum computer,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,4,0.00,USD,1.39
2022-07-01,introduction to quantum computing,Phrase,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,2,0.00,USD,0.63
2022-07-01,cloud quantum computing,Phrase,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,1.25
2022-07-01,quantum computer ai,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,0.08
2022-07-01,quantum technology,Phrase,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,3.12
2022-07-01,Quantum computing,Phrase,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,2,0.00,USD,0.59
2022-07-01,Quantum computing,Exact,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,16,0.00,USD,4.61
2022-07-01,cloud quantum computing,Exact,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,0.47
2022-07-01,quantum computing applications,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,5,0.00,USD,1.27
2022-07-01,Quantum computer,Exact,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,6,0.00,USD,0.76
2022-07-01,quantum programming,Phrase,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,0.97
2022-07-01,Quantum computer,Phrase,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,0.12
2022-07-01,quantum computing,Exact,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,5,0.00,USD,6.39
2022-07-01,quantum computing,Phrase,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,4,0.00,USD,5.42
2022-07-01,ibm quantum computing,Phrase,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,8,0.00,USD,13.71
2022-07-01,cloud quantum computing,Phrase,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,1.49
2022-07-01,quantum machine learning,Phrase,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,12,60.17,USD,17.67
2022-07-01,Quantum computing,Phrase,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,16,0.00,USD,39.20
2022-07-01,Quantum computing,Exact,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,9,0.00,USD,9.34
2022-07-01,cloud quantum computing,Exact,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,2.70
2022-07-01,quantum computing ai,Phrase,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,0.60
2022-07-01,quantum information,Phrase,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,4,0.00,USD,5.01
2022-07-01,quantum programming,Phrase,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,0.39
2022-07-01,theory of quantum computing,Exact,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,2,0.00,USD,3.67
2022-07-01,Quantum computer,Phrase,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,7,60.17,USD,9.78
2022-07-01,azure quantum,Phrase,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,2.50
2022-07-02,basics of quantum computing,Exact,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,1.54
2022-07-02,Quantum computation,Phrase,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,6,0.00,USD,19.75
2022-07-02,online course quantum computing,Exact,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,4.99
2022-07-02,quantum computing bootcamp,Phrase,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,4.90
2022-07-02,mit quantum computing,Exact,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,11.27
2022-07-02,mit quantum,Phrase,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,3,120.34,USD,22.30
2022-07-02,quantum computing programming,Phrase,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,3.42
2022-07-02,quantum coding,Broad,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,2,0.00,USD,4.91
2022-07-02,quantum chemistry,Broad,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,2.64
2022-07-02,honeywell quantum,Phrase,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,3,60.17,USD,10.08
2022-07-02,quantum technology,Broad,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,1.16
2022-07-02,quantum computing,Phrase,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,7.59
2022-07-02,quantum algorithms,Phrase,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,4.08
2022-07-02,ibm quantum computer,Broad,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,60.17,USD,1.23
2022-07-02,Quantum computing,Phrase,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,5,0.00,USD,22.36
2022-07-02,Quantum computing,Exact,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,4,0.00,USD,12.61
2022-07-02,qubit quantum computer,Broad,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,3,0.00,USD,7.27
2022-07-02,quantum computing applications,Broad,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,2.14
2022-07-02,Quantum Computing applications,Phrase,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,2.35
2022-07-02,Quantum computer,Phrase,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,3.43
2022-07-02,Quantum universities,Phrase,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,1.98
2022-07-02,quantum mechanics course,Broad,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,2.56
2022-07-02,Quantum computing course,Phrase,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,8.66
2022-07-02,Quantum computing course,Broad,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,2,0.00,USD,13.67
2022-07-02,Quantum Physics Lectures,Phrase,*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,2,2641.71,USD,5.98
2022-07-02,mit quantum computing,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,7,332.54,USD,9.00
2022-07-02,Quantum computing course,Phrase,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,8,60.17,USD,20.54
2022-07-02,Quantum computing course,Broad,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,6,60.17,USD,15.01
2022-07-02,mit quantum computing,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,3,0.00,USD,5.05
2022-07-02,quantum computing training,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,5,0.00,USD,3.12
2022-07-02,mit xpro quantum computing,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,1.17
2022-07-02,mit quantum computing,Broad,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,3.25
2022-07-02,Learn quantum computing,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,5,0.00,USD,2.25
2022-07-02,Quantum computation,Exact,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,2,0.00,USD,0.23
2022-07-02,Quantum research,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,5,0.00,USD,2.15
2022-07-02,Quantum computing course,Phrase,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,20,120.34,USD,12.60
2022-07-02,quantum mechanics course,Phrase,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,2,0.00,USD,1.66
2022-07-02,Quantum Physics Lectures,Phrase,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,1.10
2022-07-02,quantum research,Phrase,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,4,0.00,USD,6.00
2022-07-02,quantum computing applications,Exact,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,0.32
2022-07-02,Learn quantum computing,Exact,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,2,0.00,USD,8.27
2022-07-02,program quantum computer,Exact,*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,1.34
2022-07-02,system architecture,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,7,0.00,USD,5.03
2022-07-02,quantum physics,Exact,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,15,0.00,USD,2.37
2022-07-02,Introduction to Quantum Mechanics,Phrase,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,0.21
2022-07-02,quantum coding,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,10,0.00,USD,3.85
2022-07-02,Quantum computing,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,15,0.00,USD,6.55
2022-07-02,quantum machine learning,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,0.28
2022-07-02,quantum machine learning,Exact,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,3,0.00,USD,1.16
2022-07-02,ibm computing,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,0.18
2022-07-02,quantum algorithms,Exact,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,2,0.00,USD,0.41
2022-07-02,quantum information,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,1,60.17,USD,0.23
2022-07-02,quantum computing,Exact,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,2,0.00,USD,0.32
2022-07-02,quantum technology,Exact,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,3,0.00,USD,0.82
2022-07-02,quantum computing,Phrase,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,4,0.00,USD,3.88
2022-07-02,quantum algorithms,Phrase,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,2,0.00,USD,0.16
2022-07-02,quantum encryption,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,3,0.00,USD,2.93
2022-07-02,ibm quantum computing,Exact,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,0.15
2022-07-02,quantum programming,Exact,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,4,2641.71,USD,1.83
2022-07-02,ibm quantum computer,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,5,0.00,USD,3.85
2022-07-02,quantum computer ai,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,0.40
2022-07-02,quantum technology,Phrase,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,5,0.00,USD,3.45
2022-07-02,Quantum computing,Phrase,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,17,2641.71,USD,11.47
2022-07-02,Quantum computing,Exact,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,19,0.00,USD,9.36
2022-07-02,quantum computing applications,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,2,0.00,USD,0.95
2022-07-02,Quantum computer,Exact,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,1,0.00,USD,0.50
2022-07-02,quantum computing ai,Broad,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,2,0.00,USD,0.34
2022-07-02,quantum programming,Phrase,*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,3,0.00,USD,3.27
