Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,89.32000000000001,58,53.675644
generative ai course,USA,Broad match,6.16,4,-1.373209
generative ai online course,USA,Broad match,5.4,2,1.186857
online ai and ml courses,USA,Phrase match,37.75,25,22.9334
mit xpro ai,USA,Broad match,64.96,56,54.723713
mit artificial intelligence course,USA,Phrase match,16.5,10,8.124868
generative ai certificate course,USA,Broad match,1.42,1,0.0
generative ai fundamentals course,USA,Broad match,5.15,5,2.6845737
generative ai online course,USA,Broad match,0.8,1,0.0
generative ai online program,USA,Broad match,5.76,3,0.4855268
generative ai certificate program,USA,Broad match,3.51,3,1.2729468
generative ai foundations course,USA,Broad match,14.1,10,7.5575857
mit generative ai certificate,USA,Broad match,15.6,15,11.112203
online course generative ai,USA,Broad match,3.12,2,0.0
mit professional development,A,Broad match,5.04,4,1.427577
generative ai online course,A,Broad match,0.94,1,0.0
online ai and ml courses,A,Phrase match,7.26,6,4.251571
mit xpro ai,A,Broad match,6.32,8,6.7508497
generative ai fundamentals course,A,Broad match,2.0,2,0.0
generative ai online course,A,Broad match,1.37,1,0.0
generative ai online program,A,Broad match,10.66,13,10.212614
generative ai foundations course,A,Broad match,5.15,5,2.3302193
professional certificate in ai,A,Phrase match,1.96,2,0.0
prompt engineering course,A,Phrase match,2.7,1,0.0
mit professional development,B,Broad match,3.63,11,5.1835938
generative ai course,B,Broad match,2.59,7,0.035120964
generative ai courses,B,Broad match,0.14,1,0.0
generative ai online course,B,Broad match,0.74,2,0.0
online ai and ml courses,B,Phrase match,1.12,2,0.0
mit xpro ai,B,Broad match,0.4,1,0.0
generative ai online program,B,Broad match,1.36,4,0.0
mit generative ai certificate,B,Broad match,3.15,7,2.7067008
online course generative ai,B,Broad match,4.23,9,5.0568857
professional certificate in ai,B,Phrase match,1.22,2,0.0
ai certification mit,USA,Exact match,5.88,4,2.4089198
mit ai course,USA,Phrase match,11.62,7,5.515977
stanford ai professional program,USA,Phrase match,2.66,2,0.035120845
