Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,104.52,67,65.50682
generative ai course,USA,Broad match,6.0600000000000005,3,1.7393879
generative ai courses,USA,Broad match,1.36,1,0.17872572
generative ai online course,USA,Broad match,2.82,2,0.43778288
online ai and ml courses,USA,Phrase match,52.36,28,26.548618
mit xpro ai,USA,Broad match,115.02,71,68.27543
mit artificial intelligence course,USA,Phrase match,11.44,8,6.2375317
generative ai certificate course,USA,Broad match,9.05,5,2.8721247
generative ai fundamentals course,USA,Broad match,5.4,6,2.7686744
generative ai online course,USA,Broad match,1.9,2,0.17872596
generative ai online program,USA,Broad match,12.67,7,6.828432
generative ai certificate program,USA,Broad match,4.22,2,1.8488469
generative ai foundations course,USA,Broad match,19.88,14,11.447797
mit generative ai certificate,USA,Broad match,5.15,5,2.4458447
generative ai certification online,USA,Broad match,1.61,1,0.17872596
mit xpro ai course,USA,Phrase match,1.3,1,0.17872584
prompt engineering course,USA,Phrase match,1.08,1,0.17872584
online generative ai course,USA,Phrase match,0.55,1,0.0
mit professional development,A,Broad match,0.6,1,0.0
generative ai course,A,Broad match,3.24,4,2.1957731
online ai and ml courses,A,Phrase match,2.48,1,0.17872596
mit xpro ai,A,Broad match,7.3,5,3.81857
generative ai fundamentals course,A,Broad match,1.83,3,0.08786917
generative ai online program,A,Broad match,15.82,14,13.044721
generative ai foundations course,A,Broad match,10.22,7,4.728407
online course generative ai,A,Broad match,1.24,2,0.17872596
mit professional development,B,Broad match,5.2,13,8.768631
generative ai course,B,Broad match,3.64,7,4.0715446
generative ai courses,B,Broad match,0.76,2,0.08786893
generative ai online course,B,Broad match,0.74,2,0.0
online ai and ml courses,B,Phrase match,0.99,3,0.17872596
generative ai online program,B,Broad match,11.5,25,20.41222
mit generative ai certificate,B,Broad match,1.18,2,0.0
generative ai certification online,B,Broad match,3.12,8,4.162401
online course generative ai,B,Broad match,5.88,12,8.166701
professional certificate in ai,B,Phrase match,0.74,2,0.0
ai certification mit,USA,Exact match,6.04,2,1.9399003
mit ai course,USA,Phrase match,16.4,10,8.515738
stanford ai professional program,USA,Phrase match,0.86,1,0.08786905
