Location,Region,Opt_Conversions,Act_Conversions,Opt_Clicks,Act_Clicks,Opt_Spend,Act_Spend
"Alberta, Canada",USA,0.0,0.0,0.009751085090589107,0.01438653442575913,0.011537350797447166,0.026114078727160185
Australia,A,0.10797264811642375,0.014946642239714892,3.701919363991671,0.5124563053616534,4.353661427009083,1.1201747678864007
Austria,B,0.0,0.0,0.16281596747592073,0.03321704642430314,0.16117574228336443,0.03274579560155239
Belgium,A,0.21594529623284747,0.029893284479429783,4.673673197039485,0.6469760855190875,5.496497551598968,1.414220644456581
Brazil,C,0.0,0.0,0.0,0.0,0.0,0.0
"British Columbia, Canada",USA,0.0,0.0,0.0455050637560825,0.06713716065354261,0.05384097038808677,0.12186570072674752
Canada,A,0.23136996024947945,0.03202851908510334,5.537454381970875,0.7665492234368066,6.512351884567754,1.6755947569634078
Chile,B,0.09768958048555243,0.019930227854581883,2.257714748999434,0.46060971041700355,2.2349702929959867,0.4540750323415265
China,B,0.1302527739807366,0.026573637139442517,5.524888496349577,1.1271651086646868,5.469230188148833,1.111173997412678
Colombia,B,0.21708795663456096,0.04428939523240419,5.3295093353784715,1.0873046529555228,5.275819297408795,1.071879042690815
Denmark,A,0.01542466401663196,0.0021352346056735558,3.3780014196423997,0.46761637864250877,3.9727160521457883,1.0221594756963406
Egypt,B,5.030470675114364,1.026296011022886,108.20749198449691,22.076049053591866,107.11739832152398,21.76285575679172
France,A,0.4627399204989589,0.06405703817020669,15.48636267269849,2.1437755440962505,18.212816969654664,4.6860644456581095
Germany,A,0.5398632405821188,0.07473321119857447,16.026225913280612,2.218508755294825,18.847725927760155,4.849423265974877
Hong Kong,B,0.04341759132691219,0.008857879046480837,1.7149948574130316,0.3498862223359931,1.6977178187181052,0.34492238033635186
Hungary,B,0.0,0.0,1.3242365354708219,0.27016531091766555,1.3108960372380307,0.2663324708926261
India,C,0.0,0.0,0.0,0.0,0.0,0.0
Ireland,A,0.0,0.0,0.7249592087817023,0.10035602646665714,0.8525920294559456,0.21936755871108685
Israel,A,0.8483565209147579,0.11743790331204558,17.260199034611166,2.389327523748709,20.29894640342985,5.222814855270343
Italy,A,0.10797264811642375,0.014946642239714893,2.4370969146278503,0.3373670676964219,2.8661604394476465,0.7374483888585471
Japan,A,0.18509596819958352,0.02562281526808267,4.735371853106012,0.6555170239417817,5.569058575382452,1.4328902239213543
"Manitoba, Canada",USA,0.0,0.0,0.006500723393726072,0.009591022950506086,0.00769156719829811,0.01740938581810679
Mexico,A,1.0026031610810777,0.13879024936878118,45.333087544881344,6.275454506074582,53.3142122249154,13.717473511742217
Netherlands,A,0.09254798409979179,0.012811407634041337,1.3882197614968768,0.19217111451062005,1.6326230351284061,0.4200655379574003
Norway,A,0.0,0.0,0.4627399204989589,0.06405703817020668,0.5442076783761354,0.1400218459858001
"Ontario, Canada",USA,0.013001446787452142,0.019182045901012176,0.19502170181178213,0.28773068851518263,0.2307470159489433,0.5222815745432037
Poland,B,0.01085439783172805,0.0022144697616202098,0.7272446547257793,0.14836947402855405,0.7199183155323611,0.14626455368693403
Portugal,B,0.010854397831728048,0.0022144697616202093,0.5752830850815865,0.1173668973658711,0.5694876227345542,0.11570181112548512
"Quebec, Canada",USA,0.0,0.0,0.07150795733098679,0.10550125245556696,0.08460723918127921,0.19150324399917468
Romania,B,0.0868351826538244,0.017715758092961675,2.387967522980171,0.4871833475564461,2.363910886822678,0.48027166882276845
Saudi Arabia,B,0.054271989158640246,0.011072348808101047,3.592805682301984,0.7329894910962893,3.5566113797195746,0.7225905562742562
Singapore,B,0.14110717181246463,0.028788106901062725,1.6824316639178474,0.34324281305113247,1.6654826702614323,0.3383732212160414
South Africa,B,0.43417591326912186,0.08857879046480836,11.722749658266292,2.391627342549826,11.604653444402238,2.357697283311772
Spain,A,0.5244385765654868,0.07259797659290092,17.090527730428217,2.3658399430863004,20.099403588025268,5.171473511742217
Sweden,A,0.0,0.0,0.4781645845155909,0.06619227277588025,0.5623479343220066,0.14468924085199344
Switzerland,A,0.030849328033263925,0.004270469211347112,1.0334524891143415,0.14306071858012825,1.215397148373369,0.31271545603495354
Taiwan,B,0.010854397831728048,0.0022144697616202093,1.4761981051150146,0.30116788758034846,1.4613267300358372,0.296895213454075
Turkiye,B,0.3541790012492862,0.07225814832166744,18.550165894423234,3.7845288226089377,18.363289570817987,3.730837645536869
United Arab Emirates,B,0.07598078482209634,0.015501288331341467,2.5724922861195476,0.5248293335039896,2.546576728077158,0.5173835705045278
United Kingdom,A,0.0,0.0,1.4653430815800366,0.20284728753898784,1.7233243148577622,0.44340251228836697
United States,USA,6.7725186388177585,9.992023620066746,141.4492403240856,208.69106838006195,167.3608106677686,378.8108260161856
