Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,85.14,66,63.023777
generative ai courses,USA,Broad match,1.53,1,0.1898703
generative ai online course,USA,Broad match,2.83,1,0.37073225
online ai and ml courses,USA,Phrase match,28.73,17,15.648201
mit xpro ai,USA,Broad match,83.52,58,57.251137
mit artificial intelligence course,USA,Phrase match,15.84,8,7.138922
generative ai certificate course,USA,Broad match,5.550000000000001,5,3.2820604
generative ai fundamentals course,USA,Broad match,5.58,3,2.359127
generative ai online course,USA,Broad match,5.68,4,3.1378682
generative ai online program,USA,Broad match,5.0,5,2.683848
generative ai certificate program,USA,Broad match,3.82,2,1.7903876
generative ai foundations course,USA,Broad match,27.55,19,17.903389
mit generative ai certificate,USA,Broad match,10.56,8,7.0958786
online course generative ai,USA,Broad match,1.01,1,0.32306677
professional certificate in ai,USA,Phrase match,1.18,1,0.32306677
mit professional development,A,Broad match,3.1500000000000004,3,2.0463624
generative ai course,A,Broad match,0.35,1,0.10183436
online ai and ml courses,A,Phrase match,4.5,3,1.7667966
mit xpro ai,A,Broad match,0.83,1,0.333349
mit artificial intelligence course,A,Phrase match,0.86,1,0.19746399
generative ai fundamentals course,A,Broad match,0.55,1,0.33066052
generative ai online course,A,Broad match,1.4,2,0.57312393
generative ai online program,A,Broad match,13.2,11,8.654512
generative ai foundations course,A,Broad match,0.88,1,0.38424343
mit professional development,B,Broad match,7.56,14,12.315847
generative ai course,B,Broad match,0.82,2,0.44015622
generative ai online course,B,Broad match,0.19,1,0.0
online ai and ml courses,B,Phrase match,3.0,5,3.03371
mit xpro ai,B,Broad match,0.28,1,0.0
generative ai online course,B,Broad match,0.56,2,0.5733528
generative ai online program,B,Broad match,3.5700000000000003,7,4.079522
mit generative ai certificate,B,Broad match,0.4,2,0.52568734
generative ai certification online,B,Broad match,1.32,2,0.60709286
online course generative ai,B,Broad match,1.1,2,0.60709274
prompt engineering course,B,Phrase match,0.66,2,0.33890808
ai certification mit,USA,Exact match,1.62,1,0.27217215
mit ai course,USA,Phrase match,9.96,6,5.0958276
