Location,Region,Opt_Conversions,Act_Conversions,Opt_Purchases,Act_Purchases,Opt_Clicks,Act_Clicks,Opt_Spend,Act_Spend
"Alabama, United States",USA,0.012288449772932359,0.0033472875941121492,0.0002336192840751275,6.363625565305394e-05,0.2949227945503766,0.08033490225869158,1.1603389820813297,0.6741996233521657
"Alaska, United States",USA,0.0,0.0,2.068504077748525e-05,5.634460135947486e-06,0.026112955767481266,0.0071129861374883184,0.1027383473717844,0.05969475831763968
Argentina,B,0.0,0.040234347878442905,0.0,0.0,0.0,1.9239985675429816,0.0,1.44117529081428
Aruba,B,0.0,0.0,0.0,0.0,0.0,0.0009692687997697639,0.0,0.000726032892097874
Australia,A,0.025370277687857563,0.02160269926452976,0.00044103713408002646,0.00037554151709505684,0.8964164783043005,0.7632953740133848,1.7336177226646416,1.4899503813967268
Austria,B,0.0,0.0,0.0,0.0,0.0,0.00048463439988488194,0.0,0.000363016446048937
Bahrain,B,0.0,0.0024231719994244096,0.0,0.0,0.0,0.06203320318526489,0.0,0.04646610509426394
Belgium,A,0.0005285474518303659,0.0004500562346777033,3.3285821440001994e-05,2.8342756007174103e-05,0.06765407383428683,0.057607198038746026,0.1308390734086522,0.11244908538843222
Bolivia,B,0.0,0.020354644795165043,0.0,0.0,0.0,0.5539371190684201,0.0,0.414927797833935
Bosnia and Herzegovina,B,0.0,0.0,0.0,0.0,0.0,0.007754150398158111,0.0,0.005808263136782992
Brazil,B,0.0,0.039740020790560326,0.0,0.0,0.0,1.470380769250732,0.0,1.101391897312475
Brazil,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"California, United States",USA,0.16896618437781996,0.04602520441904206,0.005912271361047107,0.001610461282386402,7.463697180834792,2.033058802473867,29.365037051735317,17.06216650973007
Cambodia,B,0.0,0.010661956797467403,0.0,0.0,0.0,1.1640918285234865,0.0,0.8719655034095467
Canada,A,0.04968874594657269,0.042309786622050885,0.0008430674461600505,0.0007178688669942065,1.713550838834046,1.459082312825114,3.3139084061785185,2.8481244908538845
Chile,B,0.0,0.01405439759666158,0.0,0.0,0.0,0.591738602259441,0.0,0.44324308062575213
China,A,0.01004240158477695,0.008551068458876362,0.00019633433740001176,0.000167177974886066,0.3990533261319262,0.33979245718166595,0.7717460970588469,0.6632739020958306
China,B,0.0,0.032955139192171974,0.0,0.0,0.0,4.479960392535849,0.0,3.355724027276374
Colombia,B,0.0,0.010671649485465102,0.0,0.0,0.0,0.24958671594071424,0.0,0.18695346971520257
"Colorado, United States",USA,0.013824505994548904,0.003765698543376168,0.0005317272246918266,0.000144838769377003,0.6712565688464301,0.18284558482837615,2.640979870674693,1.5345064344005022
"Connecticut, United States",USA,0.033793236875563994,0.009205040883808413,0.0005171260194371313,0.00014086150339868715,0.6528238941870317,0.17782465343720796,2.56845868429461,1.4923689579409918
Costa Rica,B,0.0,0.00484634399884882,0.0,0.0,0.0,0.1778608247577517,0.0,0.1332270356999599
Croatia,B,0.0,0.0029078063993092924,0.0,0.0,0.0,0.17931472795740636,0.0,0.13431608503810671
Denmark,A,0.008456759229285854,0.007200899754843252,0.00017058983488001025,0.00014525662453676727,0.34672712840072,0.29523688994857333,0.6705502512193424,0.5763015626157151
Ecuador,B,0.0,0.024231719994244096,0.0,0.0,0.0,0.7012659766334242,0.0,0.5252847974328119
El Salvador,B,0.0,0.002907806399309292,0.0,0.0,0.0,0.14442105116569484,0.0,0.10817890092258324
Finland,A,0.005285474518303659,0.004500562346777033,0.00011650037504000698,9.919964602510935e-05,0.2367892584200039,0.20162519313561106,0.45793675693028263,0.3935717988595127
"Florida, United States",USA,0.043009574205263267,0.011715506579392524,0.0014832391004561483,0.0004040239356305873,1.8724525341505684,0.5100429471528388,7.366943849776775,4.280465317011927
France,A,0.05231562678216961,0.04454656610839907,0.0010947914708000657,0.0009322109592984607,2.22518477220584,1.8947367479931307,4.3033788988314505,3.698520699103903
Germany,A,0.045983628309241825,0.039154892416960185,0.0009959741884000596,0.0008480684024021625,2.024336740510301,1.7237153788156034,3.9149503996495145,3.3646874768569948
Ghana,B,0.0,0.20453510212741555,0.0,0.0,0.0,6.413651648076528,0.0,4.804159647011633
Greece,B,0.0,0.000484634399884882,0.0,0.0,0.0,0.03828611759090568,0.0,0.028678299237866026
Hong Kong,B,0.0,0.003392440799194174,0.0,0.0,0.0,0.1754376527583273,0.0,0.1314119534697152
Iceland,A,0.0015856423554910975,0.0013501687040331097,4.888855024000293e-05,4.162842288553696e-05,0.09936692094410877,0.08461057211940821,0.1921698890689579,0.16515959416425982
Iceland,B,0.0,0.000484634399884882,0.0,0.0,0.0,0.003392440799194174,0.0,0.0025411151223425593
"Illinois, United States",USA,0.03225718065394745,0.008786629934544394,0.0013189755413408242,0.0003592796933745338,1.6650849442323348,0.4535574690021963,6.551080503000841,3.8064187068424356
India,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,B,0.0,0.1376555549433019,0.0,0.0,0.0,3.6575358159312046,0.0,2.739685118331328
Ireland,A,0.0010570949036607317,0.0009001124693554065,7.021227960000421e-06,5.978550095263287e-06,0.014270781199419878,0.01215151833629799,0.02759886704713757,0.02371972894912242
Israel,A,0.028541562398839752,0.02430303667259598,0.00040983167648002454,0.00034897018333833116,0.8329907840846565,0.7092886258520604,1.6109560913440302,1.3845293638450715
Italy,A,0.06184005186415279,0.05265657945729128,0.0015181455122400909,0.0012926953872647064,3.0856600237856755,2.627428298048432,5.967488363747746,5.128732503888025
Japan,A,0.032769942013482684,0.027903486550017603,0.0007309878442800438,0.0006224334932513,1.4857468870951582,1.2651080756790238,2.8733487136853224,2.4694873361475227
