Day,k_policy,Budget,t_Clicks_OptCost,t_Clicks_ActCost,tm1_Clicks_OptCost,Actual_Clicks,Opt_Cost,Act_Cost,Opt_Purch,Act_Purch,N_Opt,N_Obs,Avg_Cost_Change,Pct_New_Keywords,Oracle_k,Hist_MSE,Hist_R2,Hist_Bias,Opt_Cost_Region_B,Act_Cost_Region_B,Opt_Clicks_Region_B,Act_Clicks_Region_B,Opt_Purch_Region_B,Act_Purch_Region_B,Opt_Cost_Region_USA,Act_Cost_Region_USA,Opt_Clicks_Region_USA,Act_Clicks_Region_USA,Opt_Purch_Region_USA,Act_Purch_Region_USA,Opt_Cost_Region_A,Act_Cost_Region_A,Opt_Clicks_Region_A,Act_Clicks_Region_A,Opt_Purch_Region_A,Act_Purch_Region_A,Opt_Cost_Origin_new,Act_Cost_Origin_new,Opt_Clicks_Origin_new,Act_Clicks_Origin_new,Opt_Purch_Origin_new,Act_Purch_Origin_new,Opt_Cost_Origin_existing,Act_Cost_Origin_existing,Opt_Clicks_Origin_existing,Act_Clicks_Origin_existing,Opt_Purch_Origin_existing,Act_Purch_Origin_existing,Opt_Cost_Origin_existing searches,Act_Cost_Origin_existing searches,Opt_Clicks_Origin_existing searches,Act_Clicks_Origin_existing searches,Opt_Purch_Origin_existing searches,Act_Purch_Origin_existing searches,Opt_Cost_Match_Exact match,Act_Cost_Match_Exact match,Opt_Clicks_Match_Exact match,Act_Clicks_Match_Exact match,Opt_Purch_Match_Exact match,Act_Purch_Match_Exact match,Opt_Cost_Match_Phrase match,Act_Cost_Match_Phrase match,Opt_Clicks_Match_Phrase match,Act_Clicks_Match_Phrase match,Opt_Purch_Match_Phrase match,Act_Purch_Match_Phrase match,Opt_Cost_Match_Broad match,Act_Cost_Match_Broad match,Opt_Clicks_Match_Broad match,Act_Clicks_Match_Broad match,Opt_Purch_Match_Broad match,Act_Purch_Match_Broad match
2025-12-01,20,353,107.62305,132.05516,314.89478848399915,190,353.7799980372365,339.01,0.12425761982523773,0.10487356328673753,337,44,,,384,1.992550253868103,0.9038686156272888,8.528917577803289e-05,0.0,31.95,0.0,47.316658,0.0,0.006530674039867488,278.48999873655,256.5,78.603264,62.83869,0.10207022534276028,0.08159915375053577,75.28999930068647,50.56000000000001,29.01979,21.899807,0.022187394482477453,0.016743735496334275,21.209999848990627,0.0,5.784255,0.0,0.007511141206729556,0.0,32.18999988137309,339.01,10.1519375,132.05516,0.012525636609217823,0.10487356328673753,300.3799983068727,0.0,91.68686,0.0,0.10422083672875156,0.0,43.38999988087636,7.5,13.704068,1.9388525,0.01396548990408785,0.0017056235823476348,52.039999678389655,35.900000000000006,16.01747,5.832954,0.01700757097007385,0.00646246377955793,258.3499984779704,295.61,77.90152,124.283356,0.09328455436207399,0.09670547503273234
2025-12-02,20,353,103.0526,142.21645,276.94757377418796,213,353.9100006308699,344.9,0.13047812233388073,0.11544884085365881,319,43,0.2296533884571031,0.9184952978056427,384,2.0475962162017822,0.901311218738556,-0.0001275850203413,0.0,35.45,0.0,47.484615,0.0,0.006553856138189262,330.03000059562385,259.25,96.796326,68.29123,0.12569482574970237,0.08867952852961031,23.880000035246006,50.2,6.2562675,26.44061,0.004783296584178365,0.02021545618585924,28.290000030996897,0.0,8.193405,0.0,0.010449486884232126,0.0,53.89999997892037,344.9,16.395088,142.21645,0.02056550561632441,0.11544884085365881,271.72000062095265,0.0,78.46411,0.0,0.0994631281580198,0.0,15.440000031881505,3.38,3.381719,0.7436171,0.0032777375535830173,0.000694729335299049,277.4000001246202,14.04,83.007416,2.3625898,0.10667563750205215,0.002162527798067136,61.070000474368186,327.47999999999996,16.663465,139.11024,0.02052473922868935,0.11259158508010901
2025-12-03,20,353,105.52254,142.13225,371.30948585538647,214,353.9599970763418,350.34000000000003,0.12452879306667004,0.12055045554302007,394,44,0.10555563866431694,0.8959390862944162,384,2.137057065963745,0.8971660733222961,2.967729547858967e-05,0.0,31.589999999999996,0.0,41.91455,0.0,0.005785072365683608,289.52999669082317,265.53,82.11859,71.430084,0.10663505188744281,0.09275549685708084,64.43000038551864,53.22,23.403946,28.78762,0.01789374117922724,0.02200988632025562,30.509999433595347,0.0,9.7879925,0.0,0.012710192284972046,0.0,34.149999483753746,350.34000000000003,11.419474,142.13225,0.014133579684523643,0.12055045554302007,289.2999981589927,0.0,84.31507,0.0,0.09768501734438932,0.0,46.570000271978365,5.37,11.865828,1.116467,0.011641794912606803,0.001004607140259847,74.86999961732651,32.769999999999996,21.895744,6.680336,0.024750743468158573,0.006956792976589948,232.5199971870369,312.2,71.76097,134.33545,0.08813624936776063,0.11258905259689628
2025-12-04,20,353,95.779945,133.10881,307.2676819216277,202,353.98999588087145,342.20000000000005,0.12413193595723428,0.10474333930092197,336,42,0.18722392776045532,0.7648809523809523,384,2.1103403568267822,0.8986387252807617,0.0001580412321698,0.0,31.779999999999998,0.0,46.81669,0.0,0.006461668993984036,352.189995902128,258.35,95.32477,60.499607,0.12378392550257877,0.07856173173454989,1.79999997874346,52.07,0.45517695,25.792505,0.00034801045465550774,0.019719938572388043,47.46999884973815,0.0,14.544525,0.0,0.01888678518418849,0.0,35.46999943184212,342.20000000000005,9.770365,133.10881,0.012687301823905487,0.10474333930092197,271.04999759929115,0.0,71.46506,0.0,0.09255785142592683,0.0,12.449999997782939,25.61,3.2661307,2.570107,0.004160211978742146,0.003274059607538452,27.41000023016091,22.759999999999998,8.495853,4.043748,0.010951265893440148,0.004469716492515583,314.12999565292756,293.83,84.01796,126.49496,0.10902045560826545,0.09699956707156446
2025-12-05,20,353,106.3967,107.810425,296.1620967379048,158,353.9500115867744,242.95999999999998,0.13609516354224915,0.07966717031370311,299,36,0.35740239997490464,0.725752508361204,384,2.003727436065674,0.9038325548171996,-4.685235759284429e-05,0.0,31.500000000000004,0.0,44.794933,0.0,0.006182624028373038,344.92001138744735,179.33,102.52731,47.389324,0.13313677668645518,0.061537381038758464,9.030000199327107,32.129999999999995,3.8693938,15.626181,0.0029583868557939577,0.01194716524657161,8.580000219557292,0.0,2.5462236,0.0,0.0033063973174505806,0.0,57.58000191031578,242.95999999999998,16.235456,107.810425,0.02084110228484994,0.07966717031370311,287.7900094569013,0.0,87.61502,0.0,0.1119476702230577,0.0,92.85000241676882,7.61,28.751038,0.5932232,0.03671216777762745,0.000744992393495111,80.73000242100208,14.469999999999999,25.095379,2.8531194,0.032290464661427924,0.002593001243811698,180.37000674900358,220.88000000000002,52.550293,104.36409,0.0670925337622658,0.07632917531912571
2025-12-06,20,353,93.41877,104.40683,288.13643249695986,151,353.99000000000035,226.74999999999997,0.12130889254216715,0.07936973373160539,303,29,0.03894659637827027,0.5610561056105611,384,2.0141398906707764,0.9034156799316406,0.0001652154269589,0.0,26.46,0.0,38.47917,0.0,0.005310919215716527,353.99000000000035,163.56999999999996,93.41877,44.295155,0.12130889254216715,0.057519448773148095,0.0,36.72,0.0,21.632504,0.0,0.016539365742740765,30.03999878802215,0.0,8.824457,0.0,0.01145899279760737,0.0,59.36001103596527,226.74999999999997,15.276123,104.40683,0.019836801238113835,0.07936973373160539,264.58999017601286,0.0,69.31819,0.0,0.0900130898376931,0.0,43.90999888370825,5.23,10.126633,0.64242506,0.013149932110208117,0.0008342207110992213,68.34999750501913,3.0100000000000002,16.891718,0.83586013,0.021934728589333725,0.0007636807613013268,241.730003611273,218.51,66.40042,102.928535,0.08622423060423205,0.07777183336016638
2025-12-07,20,353,99.674355,213.16707,315.5831636066939,289,353.94000831565495,571.83,0.12879880319408818,0.19141386895725898,295,45,0.013291494110220955,0.5389830508474577,384,2.056535482406616,0.9014272093772888,-1.511530075686258e-05,0.0,39.92,0.0,52.682144,0.0,0.0072712223009309416,351.25000837893276,444.0400000000001,98.48843,115.06269,0.12789209205487784,0.14941458429494536,2.689999936722134,87.86999999999999,1.1859242,45.42223,0.0009067111392103501,0.034728062361382685,30.530000554848932,0.0,7.922246,0.0,0.010287428808193116,0.0,59.11000153822623,571.83,16.83989,213.16707,0.021867431822655572,0.19141386895725898,264.3000062225797,0.0,74.91222,0.0,0.09664394194404288,0.0,44.11000131138999,11.66,14.6005125,1.613128,0.018959487537458047,0.0016718324835494768,77.8700024796652,24.87,23.97801,5.1702185,0.03080048985334605,0.005423956081582926,231.96000452459973,535.3,61.095825,206.38371,0.07903882704167736,0.1843180813019825
2025-12-09,20,353,94.466286,142.50809,306.877900033325,220,353.99000000000154,359.0799999999999,0.12149506331287192,0.1201845612093705,355,38,,,384,2.083579063415528,0.9010294675827026,0.0002270272995007,0.0,32.0,0.0,43.824795,0.0,0.006048725428902175,349.4809336721906,275.52,92.2676,72.44811,0.11981403298841257,0.09407744698993316,4.50906632781102,51.56,2.1986876,26.235178,0.0016810303244593472,0.02005838879053517,5.369999799663994,0.0,1.8906642,0.0,0.002455121144740024,0.0,54.3599982602498,359.0799999999999,14.530678,142.50809,0.01886880495240828,0.1201845612093705,294.2600019400878,0.0,78.04494,0.0,0.10017114000210846,0.0,108.36999860503921,0.99,25.96167,0.3075028,0.0334153864261949,0.00023510459285378568,115.19999643700676,21.86,32.462124,3.0788283,0.04185655230441107,0.003998010852390981,130.4200049579556,336.22999999999996,36.04249,139.12175,0.046223129535839,0.115951447667287
2025-12-10,20,353,111.455734,133.40765,227.06348560020018,198,353.9299965449519,343.87000000000006,0.12575781057480867,0.11902671094184802,267,41,0.3574367844345863,0.38202247191011235,384,2.0218276977539062,0.904217004776001,-0.0002866906113819,0.0,27.91,0.0,33.25933,0.0,0.004590474040688096,273.1499949354595,263.42,75.92508,70.91303,0.09859247031116553,0.09208407965866414,80.78000160949233,52.540000000000006,35.530647,29.23529,0.027165340263643156,0.02235215724249579,4.140000015949947,0.0,0.86165345,0.0,0.0011188996131299312,0.0,61.20000001344998,343.87000000000006,22.008757,133.40765,0.02265144446665246,0.11902671094184802,288.589996515552,0.0,88.58531,0.0,0.10198746067774987,0.0,111.65999872180683,8.77,33.703392,1.2671384,0.039575386952252475,0.0016201045405282496,144.55999872452173,16.33,42.637123,3.3265557,0.04896962534432776,0.0022955002010110444,97.70999909862331,318.77000000000004,35.11521,128.81398,0.03721279653058392,0.1151111070700094
2025-12-11,20,353,138.9914,145.1985,216.54947791563956,218,353.98999999999967,332.15,0.1433307497651807,0.11274467565675547,204,42,0.07499690130166203,0.25,384,2.067967176437378,0.9020931720733644,-0.0001674956044868,0.0,36.96,0.0,53.43685,0.0,0.007375388003367345,234.84999349899897,245.10999999999999,69.40854,65.94135,0.09013042016896827,0.0856281077161836,119.14000650100073,50.08,69.582855,25.820288,0.05320032959621243,0.019741179937204537,0.0,0.0,0.0,0.0,0.0,0.0,92.87999730755891,332.15,41.788128,145.1985,0.03834388762127328,0.11274467565675547,261.11000269244073,0.0,97.20328,0.0,0.10498686418091245,0.0,68.199997060642,9.92,20.384924,1.7424116,0.026470831840682676,0.0015284165592838567,146.5299956311341,19.209999999999997,44.69993,3.2795372,0.05456602282674865,0.0031190163697810604,139.26000730822352,303.02000000000004,73.906555,140.17654,0.06229389822846742,0.10809724175020145
