Budget,Spend USA,Clicks USA,Purch USA,Spend A,Clicks A,Purch A,Spend B,Clicks B,Purch B
Actual,0.7538445405571839,0.4799510512143631,0.7634413988957819,0.15003664654546348,0.19366453960632177,0.1813770829077994,0.09611881289735287,0.32638439768345473,0.055181518196417624
353,0.8921169571360423,0.8505110644324319,0.9062188280703569,0.10788304286395753,0.1494889236771056,0.09378117192964261,0.0,0.0,0.0
