Campaign,Age,Clicks
Lifetime Campaign - System Engineering - C (Run 12 SU21),18 - 24,0
Lifetime Campaign - System Engineering - C (Run 12 SU21),25 - 34,0
Lifetime Campaign - System Engineering - C (Run 12 SU21),35 - 44,0
Lifetime Campaign - System Engineering - C (Run 12 SU21),45 - 54,0
Lifetime Campaign - System Engineering - C (Run 12 SU21),55 - 64,0
Lifetime Campaign - System Engineering - C (Run 12 SU21),65+,0
Lifetime Campaign - System Engineering - C (Run 12 SU21),Unknown,0
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,18 - 24,0
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,25 - 34,32875
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,35 - 44,20405
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,45 - 54,11515
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,55 - 64,483
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,65+,271
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Unknown,33021
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,18 - 24,0
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,25 - 34,18278
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,35 - 44,10434
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,45 - 54,4529
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,55 - 64,271
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,65+,184
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Unknown,17322
Program - SysEng - Run 21 - Search - Lead Gen - US,18 - 24,0
Program - SysEng - Run 21 - Search - Lead Gen - US,25 - 34,19666
Program - SysEng - Run 21 - Search - Lead Gen - US,35 - 44,14263
Program - SysEng - Run 21 - Search - Lead Gen - US,45 - 54,10312
Program - SysEng - Run 21 - Search - Lead Gen - US,55 - 64,1161
Program - SysEng - Run 21 - Search - Lead Gen - US,65+,559
Program - SysEng - Run 21 - Search - Lead Gen - US,Unknown,24848
Program - SysEng - Run 22 - Search - Lead Gen - A,18 - 24,1089
Program - SysEng - Run 22 - Search - Lead Gen - A,25 - 34,2318
Program - SysEng - Run 22 - Search - Lead Gen - A,35 - 44,1195
Program - SysEng - Run 22 - Search - Lead Gen - A,45 - 54,585
Program - SysEng - Run 22 - Search - Lead Gen - A,55 - 64,202
Program - SysEng - Run 22 - Search - Lead Gen - A,65+,98
Program - SysEng - Run 22 - Search - Lead Gen - A,Unknown,2119
Program - SysEng - Run 22 - Search - Lead Gen - B,18 - 24,2578
Program - SysEng - Run 22 - Search - Lead Gen - B,25 - 34,2171
Program - SysEng - Run 22 - Search - Lead Gen - B,35 - 44,975
Program - SysEng - Run 22 - Search - Lead Gen - B,45 - 54,496
Program - SysEng - Run 22 - Search - Lead Gen - B,55 - 64,126
Program - SysEng - Run 22 - Search - Lead Gen - B,65+,76
Program - SysEng - Run 22 - Search - Lead Gen - B,Unknown,2347
Program - SysEng - Run 22 - Search - Lead Gen - C,18 - 24,4659
Program - SysEng - Run 22 - Search - Lead Gen - C,25 - 34,2702
Program - SysEng - Run 22 - Search - Lead Gen - C,35 - 44,1067
Program - SysEng - Run 22 - Search - Lead Gen - C,45 - 54,509
Program - SysEng - Run 22 - Search - Lead Gen - C,55 - 64,123
Program - SysEng - Run 22 - Search - Lead Gen - C,65+,77
Program - SysEng - Run 22 - Search - Lead Gen - C,Unknown,4477
Program - SysEng - Run 22 - Search - Lead Gen - US + CA,18 - 24,3312
Program - SysEng - Run 22 - Search - Lead Gen - US + CA,25 - 34,6002
Program - SysEng - Run 22 - Search - Lead Gen - US + CA,35 - 44,3752
Program - SysEng - Run 22 - Search - Lead Gen - US + CA,45 - 54,2647
Program - SysEng - Run 22 - Search - Lead Gen - US + CA,55 - 64,1037
Program - SysEng - Run 22 - Search - Lead Gen - US + CA,65+,541
Program - SysEng - Run 22 - Search - Lead Gen - US + CA,Unknown,7071
Program - SysEng - Run 24 - Search - Remarketing - A,18 - 24,13
Program - SysEng - Run 24 - Search - Remarketing - A,25 - 34,62
Program - SysEng - Run 24 - Search - Remarketing - A,35 - 44,36
Program - SysEng - Run 24 - Search - Remarketing - A,45 - 54,14
Program - SysEng - Run 24 - Search - Remarketing - A,55 - 64,3
