Campaign,Hour of the day,Clicks
Sysengx3 - Run 2 - Text - US,0,0
Sysengx3 - Run 2 - Other - Text,0,0
Systems Engineering Program - Run 3 - US - Text,0,0
Systems Engineering Program - Run 3 - Other - Text,0,0
Sysengx - Run 4 - Other (SEM),0,0
Sysengx - Run 4 - US (SEM),0,0
Sysengx - Run 4 - US - Remarketing,0,0
Sysengx - Run 4 - Other B - Remarketing,0,0
Sysengx - Run 4 - Other A - Remarketing,0,0
Syseng - FL18 - US,0,0
Syseng - FL18 - Other A,0,0
Syseng - FL18 - Other B,0,0
System Engineering - FL18 - US - Revamped,0,0
System Engineering - FL18 - Other A - Revamped,0,0
System Engineering - FL18 - Other B - Revamped,0,0
System Engineering - SP19 - US - Broad,0,0
System Engineering - SP19 - Other A - Broad,0,0
System Engineering - SP19 - Other B - Broad,0,0
System Engineering - SP19 - Other A - BMM,0,0
System Engineering - SP19 - Other B - Phrase,0,0
System Engineering - SP19 - Other B - Exact,0,0
System Engineering - SP19 - US - Exact,0,0
System Engineering - SP19 - Other A - Exact,0,0
System Engineering - SP19 - Other A - Phrase,0,0
System Engineering - SP19 - US - BMM,0,0
System Engineering - SP19 - US - Phrase,0,0
System Engineering - SP19 - Other B - BMM,0,0
Program - SysEng - Run 21 - Search - Lead Gen - US,0,"2,698"
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,0,"1,481"
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,0,"2,497"
Lifetime Campaign - System Engineering - C (Run 12 SU21),0,0
Systems Engineering Program - xPRO - WW - Remarketing Search - Run 15 - 2T2022,0,0
Program - SysEng - Run 22 - Search - Lead Gen - US + CA,0,869
Program - SysEng - Run 22 - Search - Lead Gen - A,0,217
Program - SysEng - Run 22 - Search - Lead Gen - B,0,215
Program - SysEng - Run 22 - Search - Lead Gen - C,0,656
Program - SysEng - Run 25 - Search - Lead Gen - USA (exact),0,683
Program - SysEng - Run 25 - Search - Lead Gen - USA (broad),0,303
Program - SysEng - Run 25 - Search - Lead Gen - C (exact + phrase),0,"1,157"
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),0,279
Program - SysEng - Run 25 - Search - Lead Gen - C (broad),0,464
Program - SysEng - Run 25 - Search - Lead Gen - A (broad),0,166
Program - SysEng - Run 25 - Search - Lead Gen - A (exact + phrase),0,262
Program - SysEng - Run 25 - Search - Lead Gen - B (broad),0,168
Program - SysEng - Run 24 - Search - Remarketing - B,0,5
Program - SysEng - Run 24 - Search - Remarketing - C,0,24
Program - SysEng - Run 24 - Search - Remarketing - A,0,5
Program - SysEng - Run 24 - Search - Remarketing - US + CA,0,13
Program - SysEng - Run 25 - Search - Lead Gen - USA (phrase),0,63
Program - SysEng - Run 25 - Search - Lead Gen - USA (v2 test),0,44
Program - SysEng - Run 26 - Search - Prospecting - USA,0,407
Program - SysEng - Run 26 - Search - Prospecting - A,0,179
Program - SysEng - Run 26 - Search - Prospecting - USA - TEST: Brand Excluded + Targeting,0,89
Program - SysEng - Run 26 - Search - Prospecting - B,0,160
Program - SysEng - Run 26 - Search - Prospecting - C,0,492
Sysengx3 - Run 2 - Text - US,1,0
Sysengx3 - Run 2 - Other - Text,1,0
Systems Engineering Program - Run 3 - US - Text,1,0
Systems Engineering Program - Run 3 - Other - Text,1,0
Sysengx - Run 4 - Other (SEM),1,0
Sysengx - Run 4 - US (SEM),1,0
Sysengx - Run 4 - US - Remarketing,1,0
Sysengx - Run 4 - Other B - Remarketing,1,0
Sysengx - Run 4 - Other A - Remarketing,1,0
Syseng - FL18 - US,1,0
Syseng - FL18 - Other A,1,0
Syseng - FL18 - Other B,1,0
System Engineering - FL18 - US - Revamped,1,0
System Engineering - FL18 - Other A - Revamped,1,0
