Device report
1 June 2022 - 2 February 2026
Campaign,Targeted location,Clicks
Program - SysEng - Run 22 - Search - Lead Gen - B,Austria,20
System Engineering - SP19 - Other A - Exact,Italy,0
Syseng - FL18 - Other B,Liberia,0
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),Poland,350
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Japan,"4,139"
System Engineering - FL18 - Other A - Revamped,Denmark,0
System Engineering - SP19 - Other A - Exact,Australia,0
Syseng - FL18 - Other B,Gabon,0
Syseng - FL18 - Other B,Bolivia,0
Program - SysEng - Run 21 - Search - Lead Gen - US,"Tennessee, United States",687
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Canada,"14,163"
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),South Africa,"2,611"
Syseng - FL18 - Other B,China,0
System Engineering - FL18 - Other A - Revamped,Spain,0
System Engineering - SP19 - Other A - Broad,Germany,0
System Engineering - SP19 - US - BMM,"Virginia, United States",0
Systems Engineering Program - Run 3 - Other - Text,Germany,0
Syseng - FL18 - Other B,United Arab Emirates,0
Syseng - FL18 - Other B,Japan,0
System Engineering - SP19 - Other A - Phrase,Denmark,0
Syseng - FL18 - Other B,Afghanistan,0
Program - SysEng - Run 25 - Search - Lead Gen - B (broad),Taiwan,89
Syseng - FL18 - Other B,The Gambia,0
Syseng - FL18 - Other B,Puerto Rico,0
System Engineering - SP19 - US - Broad,"Florida, United States",0
System Engineering - FL18 - US - Revamped,"New York, United States",0
Program - SysEng - Run 21 - Search - Lead Gen - US,"Arizona, United States","1,369"
Program - SysEng - Run 25 - Search - Lead Gen - A (exact + phrase),Switzerland,286
Sysengx - Run 4 - Other A - Remarketing,Australia,0
System Engineering - SP19 - Other A - Exact,Spain,0
Program - SysEng - Run 25 - Search - Lead Gen - B (broad),Poland,78
System Engineering - SP19 - Other B - BMM,Turkiye,0
Syseng - FL18 - Other B,India,0
Syseng - FL18 - Other B,Monaco,0
Program - SysEng - Run 24 - Search - Remarketing - A,Japan,14
Systems Engineering Program - Run 3 - Other - Text,Australia,0
Syseng - FL18 - Other B,Guyana,0
Program - SysEng - Run 25 - Search - Lead Gen - A (exact + phrase),Spain,574
System Engineering - FL18 - Other B - Revamped,Saudi Arabia,0
Syseng - FL18 - Other B,Angola,0
System Engineering - SP19 - Other A - Exact,France,0
Syseng - FL18 - Other B,Netherlands,0
Program - SysEng - Run 26 - Search - Prospecting - A,Japan,288
Program - SysEng - Run 22 - Search - Lead Gen - A,Israel,519
Syseng - FL18 - Other B,Myanmar (Burma),0
Program - SysEng - Run 21 - Search - Lead Gen - US,"Georgia, United States","1,822"
Program - SysEng - Run 24 - Search - Remarketing - B,Austria,0
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Thailand,"4,956"
Program - SysEng - Run 21 - Search - Lead Gen - US,"South Carolina, United States",527
Syseng - FL18 - Other B,Slovenia,0
