Device report
1 June 2022 - 2 February 2026
Campaign,Targeted location,Clicks
Syseng - FL18 - Other B,Serbia,0
Sysengx3 - Run 2 - Other - Text,Germany,0
System Engineering - FL18 - Other A - Revamped,Switzerland,0
Program - SysEng - Run 24 - Search - Remarketing - B,South Africa,23
Sysengx - Run 4 - Other (SEM),Sweden,0
System Engineering - SP19 - US - Exact,"Michigan, United States",0
Syseng - FL18 - Other B,Saint Kitts and Nevis,0
System Engineering - SP19 - Other B - BMM,India,0
System Engineering - SP19 - US - Phrase,"Michigan, United States",0
System Engineering - SP19 - Other A - Broad,Netherlands,0
Sysengx - Run 4 - Other (SEM),Belgium,0
Program - SysEng - Run 21 - Search - Lead Gen - US,"Massachusetts, United States","6,559"
Syseng - FL18 - Other B,Jamaica,0
Program - SysEng - Run 26 - Search - Prospecting - B,South Africa,"1,051"
Program - SysEng - Run 26 - Search - Prospecting - B,Egypt,"2,924"
Syseng - FL18 - Other A,Switzerland,0
System Engineering - SP19 - Other A - Exact,United Kingdom,0
Sysengx - Run 4 - Other A - Remarketing,Norway,0
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),Portugal,186
System Engineering - SP19 - Other A - BMM,Switzerland,0
Program - SysEng - Run 24 - Search - Remarketing - A,Mexico,49
Sysengx3 - Run 2 - Other - Text,Canada,0
Program - SysEng - Run 26 - Search - Prospecting - A,Ireland,117
System Engineering - SP19 - US - Broad,"Boston, Massachusetts, United States",0
Program - SysEng - Run 26 - Search - Prospecting - B,China,100
Program - SysEng - Run 26 - Search - Prospecting - B,Poland,110
Program - SysEng - Run 24 - Search - Remarketing - B,Hungary,1
System Engineering - SP19 - Other A - Phrase,Italy,0
System Engineering - SP19 - US - BMM,"Connecticut, United States",0
Program - SysEng - Run 21 - Search - Lead Gen - US,"California, United States","12,064"
Program - SysEng - Run 24 - Search - Remarketing - C,Brazil,63
Program - SysEng - Run 24 - Search - Remarketing - B,Chile,8
System Engineering - SP19 - US - Broad,"Washington, United States",0
Program - SysEng - Run 26 - Search - Prospecting - B,Taiwan,79
Syseng - FL18 - Other B,Turkiye,0
Syseng - FL18 - Other B,Greece,0
System Engineering - SP19 - US - BMM,"Michigan, United States",0
Program - SysEng - Run 25 - Search - Lead Gen - B (broad),Portugal,42
Syseng - FL18 - Other A,United Kingdom,0
Syseng - FL18 - Other B,Sierra Leone,0
Syseng - FL18 - Other B,Saint Vincent and the Grenadines,0
Syseng - FL18 - Other B,Macao,0
Program - SysEng - Run 21 - Search - Lead Gen - US,"New Jersey, United States","2,107"
Program - SysEng - Run 24 - Search - Remarketing - A,Switzerland,3
Program - SysEng - Run 26 - Search - Prospecting - A,Italy,453
Program - SysEng - Run 21 - Search - Lead Gen - US,"Montana, United States",91
Syseng - FL18 - Other B,Ukraine,0
Syseng - FL18 - Other A,Spain,0
System Engineering - SP19 - Other A - Phrase,Japan,0
Sysengx - Run 4 - Other A - Remarketing,Finland,0
Syseng - FL18 - Other B,Armenia,0
Syseng - FL18 - Other B,Kazakhstan,0
Syseng - FL18 - Other B,Guinea-Bissau,0
Program - SysEng - Run 26 - Search - Prospecting - B,Saudi Arabia,283
System Engineering - SP19 - Other B - Phrase,India,0
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),China,108
Program - SysEng - Run 26 - Search - Prospecting - B,Hong Kong,37
System Engineering - SP19 - US - Broad,"California, United States",0
Program - SysEng - Run 25 - Search - Lead Gen - A (broad),Switzerland,213
Syseng - FL18 - Other B,Yemen,0
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Australia,"6,848"
Sysengx - Run 4 - Other (SEM),Norway,0
System Engineering - SP19 - Other A - BMM,Australia,0
Sysengx - Run 4 - Other A - Remarketing,Spain,0
Syseng - FL18 - Other B,Anguilla,0
Syseng - FL18 - US,"Virginia, United States",0
Sysengx - Run 4 - Other (SEM),United Kingdom,0
System Engineering - SP19 - US - BMM,"Maryland, United States",0
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Germany,"10,429"
Program - SysEng - Run 22 - Search - Lead Gen - US + CA,"Montreal, Quebec, Canada",592
System Engineering - SP19 - US - Exact,"California, United States",0
Program - SysEng - Run 25 - Search - Lead Gen - B (broad),Romania,113
Syseng - FL18 - Other B,Latvia,0
Program - SysEng - Run 24 - Search - Remarketing - B,Singapore,8
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Switzerland,"2,637"
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Belgium,"2,301"
Syseng - FL18 - Other B,Azerbaijan,0
Syseng - FL18 - Other B,Venezuela,0
System Engineering - FL18 - Other B - Revamped,Hungary,0
Program - SysEng - Run 25 - Search - Lead Gen - A (exact + phrase),Japan,344
Syseng - FL18 - Other B,Tunisia,0
System Engineering - SP19 - US - Broad,"Connecticut, United States",0
Syseng - FL18 - Other B,Argentina,0
Syseng - FL18 - Other B,Niger,0
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Chile,"2,828"
Program - SysEng - Run 25 - Search - Lead Gen - A (broad),Canada,330
Program - SysEng - Run 22 - Search - Lead Gen - A,Australia,821
Program - SysEng - Run 25 - Search - Lead Gen - A (broad),Denmark,215
System Engineering - SP19 - Other B - Broad,Brazil,0
Sysengx - Run 4 - Other (SEM),South Korea,0
Program - SysEng - Run 26 - Search - Prospecting - USA,United States,"11,923"
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Luxembourg,534
Syseng - FL18 - Other B,Suriname,0
Program - SysEng - Run 24 - Search - Remarketing - B,United Arab Emirates,4
Syseng - FL18 - Other B,Rwanda,0
Program - SysEng - Run 26 - Search - Prospecting - B,Hungary,63
System Engineering - FL18 - Other B - Revamped,Chile,0
Syseng - FL18 - Other B,French Polynesia,0
Systems Engineering Program - Run 3 - Other - Text,France,0
Program - SysEng - Run 24 - Search - Remarketing - A,France,5
System Engineering - FL18 - Other B - Revamped,Vietnam,0
Syseng - FL18 - Other B,Bahrain,0
Program - SysEng - Run 26 - Search - Prospecting - A,Germany,546
Program - SysEng - Run 25 - Search - Lead Gen - A (exact + phrase),Canada,512
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Finland,"1,250"
Program - SysEng - Run 22 - Search - Lead Gen - A,Mexico,"1,606"
Sysengx - Run 4 - Other A - Remarketing,Israel,0
Program - SysEng - Run 25 - Search - Lead Gen - A (exact + phrase),Sweden,298
Program - SysEng - Run 24 - Search - Remarketing - A,Australia,21
Program - SysEng - Run 24 - Search - Remarketing - US + CA,Canada,118
Program - SysEng - Run 26 - Search - Prospecting - B,Singapore,143
Program - SysEng - Run 24 - Search - Remarketing - B,Saudi Arabia,5
System Engineering - SP19 - Other A - Broad,Spain,0
Program - SysEng - Run 22 - Search - Lead Gen - US + CA,"Calgary, Alberta, Canada",312
Syseng - FL18 - Other B,Liechtenstein,0
System Engineering - SP19 - US - Exact,"Washington, United States",0
Program - SysEng - Run 21 - Search - Lead Gen - US,"Texas, United States","6,134"
Sysengx3 - Run 2 - Other - Text,United Kingdom,0
Syseng - FL18 - Other B,Faroe Islands,0
Syseng - FL18 - Other B,Mozambique,0
Syseng - FL18 - Other B,Belarus,0
Syseng - FL18 - Other B,Egypt,0
System Engineering - SP19 - US - Exact,"Indiana, United States",0
Program - SysEng - Run 21 - Search - Lead Gen - US,"Washington, District of Columbia, United States",738
System Engineering - SP19 - Other A - Broad,United Kingdom,0
Program - SysEng - Run 22 - Search - Lead Gen - US + CA,"Vancouver, British Columbia, Canada",309
System Engineering - SP19 - US - Exact,"Pennsylvania, United States",0
System Engineering - SP19 - US - BMM,"Massachusetts, United States",0
Program - SysEng - Run 26 - Search - Prospecting - B,Portugal,46
Program - SysEng - Run 24 - Search - Remarketing - A,Belgium,1
Syseng - FL18 - Other B,Chile,0
Program - SysEng - Run 22 - Search - Lead Gen - B,South Africa,"1,287"
Program - SysEng - Run 26 - Search - Prospecting - A,Belgium,107
System Engineering - SP19 - US - Broad,"New Jersey, United States",0
Syseng - FL18 - Other B,Russia,0
Program - SysEng - Run 22 - Search - Lead Gen - A,Belgium,147
System Engineering - SP19 - US - BMM,"California, United States",0
System Engineering - SP19 - Other A - Phrase,United Kingdom,0
System Engineering - SP19 - Other A - BMM,Denmark,0
System Engineering - SP19 - Other B - Phrase,Turkiye,0
System Engineering - FL18 - US - Revamped,"Connecticut, United States",0
System Engineering - FL18 - Other B - Revamped,United Arab Emirates,0
System Engineering - SP19 - US - BMM,Georgia,0
Program - SysEng - Run 21 - Search - Lead Gen - US,"New Mexico, United States",430
Syseng - FL18 - US,"Texas, United States",0
Syseng - FL18 - Other B,Kenya,0
Sysengx - Run 4 - Other A - Remarketing,Japan,0
Program - SysEng - Run 26 - Search - Prospecting - A,Netherlands,353
Program - SysEng - Run 24 - Search - Remarketing - A,Denmark,2
Syseng - FL18 - Other B,Libya,0
Program - SysEng - Run 21 - Search - Lead Gen - US,"Maryland, United States","2,219"
Program - SysEng - Run 22 - Search - Lead Gen - C,Brazil,"1,335"
System Engineering - SP19 - Other B - BMM,China,0
Syseng - FL18 - US,"California, United States",0
Program - SysEng - Run 25 - Search - Lead Gen - C (broad),Brazil,"1,413"
Sysengx - Run 4 - Other A - Remarketing,Luxembourg,0
Syseng - FL18 - Other B,Malaysia,0
System Engineering - SP19 - US - Broad,"Virginia, United States",0
Syseng - FL18 - Other B,Uruguay,0
Syseng - FL18 - Other B,Italy,0
System Engineering - SP19 - US - BMM,"Washington, United States",0
Program - SysEng - Run 25 - Search - Lead Gen - B (broad),Hungary,64
Program - SysEng - Run 22 - Search - Lead Gen - A,Netherlands,530
Syseng - FL18 - Other B,El Salvador,0
Program - SysEng - Run 21 - Search - Lead Gen - US,"Michigan, United States","2,589"
Program - SysEng - Run 22 - Search - Lead Gen - B,Turkiye,"2,021"
Syseng - FL18 - Other B,Czechia,0
Program - SysEng - Run 22 - Search - Lead Gen - B,Romania,113
Program - SysEng - Run 22 - Search - Lead Gen - A,Ireland,149
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Sweden,"2,976"
Syseng - FL18 - Other B,Brunei,0
Program - SysEng - Run 24 - Search - Remarketing - B,China,2
System Engineering - SP19 - Other A - Phrase,Spain,0
Syseng - FL18 - Other B,Vietnam,0
System Engineering - FL18 - Other A - Revamped,France,0
Program - SysEng - Run 25 - Search - Lead Gen - B (broad),United Arab Emirates,134
Program - SysEng - Run 24 - Search - Remarketing - A,Netherlands,2
Syseng - FL18 - Other B,Botswana,0
Syseng - FL18 - Other B,Senegal,0
System Engineering - SP19 - US - Phrase,"District of Columbia, United States",0
System Engineering - SP19 - US - BMM,"Indiana, United States",0
Program - SysEng - Run 25 - Search - Lead Gen - A (broad),Norway,132
Program - SysEng - Run 22 - Search - Lead Gen - US + CA,"Ottawa, Ontario, Canada",288
Syseng - FL18 - Other B,Portugal,0
Program - SysEng - Run 25 - Search - Lead Gen - B (broad),Saudi Arabia,232
Syseng - FL18 - Other B,Norway,0
Syseng - FL18 - Other B,Uzbekistan,0
Program - SysEng - Run 24 - Search - Remarketing - A,Sweden,3
Syseng - FL18 - Other B,Iceland,0
Syseng - FL18 - Other B,Iraq,0
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),Singapore,359
Sysengx - Run 4 - Other (SEM),Canada,0
Syseng - FL18 - Other B,Nigeria,0
Program - SysEng - Run 26 - Search - Prospecting - C,Brazil,971
System Engineering - SP19 - Other A - Exact,Canada,0
Syseng - FL18 - Other B,Seychelles,0
Syseng - FL18 - Other B,Denmark,0
System Engineering - SP19 - Other B - Phrase,Chile,0
Syseng - FL18 - Other B,Romania,0
System Engineering - SP19 - US - Phrase,"North Carolina, United States",0
Program - SysEng - Run 26 - Search - Prospecting - USA - TEST: Brand Excluded + Targeting,United States,"2,401"
Program - SysEng - Run 22 - Search - Lead Gen - B,Egypt,"2,556"
System Engineering - SP19 - Other A - Phrase,France,0
Program - SysEng - Run 24 - Search - Remarketing - A,Spain,1
System Engineering - SP19 - Other A - BMM,Italy,0
Syseng - FL18 - Other B,Samoa,0
System Engineering - SP19 - Other B - Exact,Mexico,0
Program - SysEng - Run 22 - Search - Lead Gen - B,China,176
System Engineering - SP19 - Other A - Broad,Switzerland,0
System Engineering - FL18 - US - Revamped,"Massachusetts, United States",0
System Engineering - SP19 - Other B - Phrase,Brazil,0
Sysengx - Run 4 - Other (SEM),Austria,0
System Engineering - SP19 - US - BMM,"New Jersey, United States",0
Syseng - FL18 - Other B,Belgium,0
