Campaign,Conversion action,Targeted location,All conv.
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),Purchase,United Arab Emirates,2.00
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),Purchase,Turkiye,4.00
Program - SysEng - Run 25 - Search - Lead Gen - C (broad),Purchase,Brazil,3.00
Program - SysEng - Run 25 - Search - Lead Gen - C (broad),Purchase,India,1.00
Program - SysEng - Run 25 - Search - Lead Gen - C (exact + phrase),Purchase,Brazil,2.00
Program - SysEng - Run 25 - Search - Lead Gen - C (exact + phrase),Purchase,India,2.00
Program - SysEng - Run 25 - Search - Lead Gen - USA (broad),Purchase,Canada,1.00
Program - SysEng - Run 25 - Search - Lead Gen - USA (broad),Purchase,United States,24.60
Program - SysEng - Run 25 - Search - Lead Gen - USA (exact),Purchase,Canada,1.00
Program - SysEng - Run 25 - Search - Lead Gen - USA (exact),Purchase,United States,80.18
Program - SysEng - Run 25 - Search - Lead Gen - USA (phrase),Purchase,United States,4.33
Program - SysEng - Run 25 - Search - Lead Gen - USA (v2 test),Purchase,United States,1.00
Program - SysEng - Run 27 - Search - Prospecting - A,Purchase,Australia,1.00
Program - SysEng - Run 27 - Search - Prospecting - A,Purchase,Canada,4.00
Program - SysEng - Run 27 - Search - Prospecting - A,Purchase,France,2.00
Program - SysEng - Run 27 - Search - Prospecting - A,Purchase,Germany,2.00
Program - SysEng - Run 27 - Search - Prospecting - A,Purchase,Ireland,1.00
Program - SysEng - Run 27 - Search - Prospecting - A,Purchase,Netherlands,1.00
Program - SysEng - Run 27 - Search - Prospecting - B,Purchase,Singapore,1.00
Program - SysEng - Run 27 - Search - Prospecting - B,Purchase,Turkiye,3.00
Program - SysEng - Run 27 - Search - Prospecting - C,Purchase,Brazil,1.00
Program - SysEng - Run 27 - Search - Prospecting - USA,Purchase,United States,26.00
Program - SysEng - Run 27 - Search - Prospecting - USA - TEST: Brand Excluded + Targeting,Purchase,United States,4.00
