x_max,alpha,avg clicks (opt),se clicks (opt),avg cost (opt),se cost (opt),clicks/$ (opt),avg n kws (opt),se n kws (opt),avg clicks (act),se clicks (act),avg cost (act),se cost (act),clicks/$ (act),avg n kws (act),se n kws (act),improvement in clicks,improvement in clicks/$
30.0,0.0,185.47587419354835,10.908228545561657,347.6495045011337,0.04081703132810881,0.5335139897860648,50.096774193548384,4.816940276942793,219.19065548387098,6.203837407282288,348.0196774193549,11.264539865597182,0.6298225925304558,36.87096774193548,0.40624674816596545,-0.1538148659480765,-0.1529138584207487
30.0,0.5,187.1067430645161,11.040326669770623,347.6807034706875,0.03959139856308981,0.5381568237660069,50.193548387096776,4.878837195069869,219.19065548387098,6.203837407282288,348.0196774193549,11.264539865597182,0.6298225925304558,36.87096774193548,0.40624674816596545,-0.14637445354834366,-0.14554220482336264
30.0,1.0,187.2252498387097,11.030646655988178,347.6499833972117,0.03654752376314889,0.5385452575293042,50.064516129032256,4.884677707832927,219.19065548387098,6.203837407282288,348.0196774193549,11.264539865597182,0.6298225925304558,36.87096774193548,0.40624674816596545,-0.1458337974061739,-0.14492546962220607
60.0,0.0,189.43324548387093,8.550801343036362,347.67859922247686,0.03394969993602421,0.5448516126891493,32.12903225806452,2.575209328785155,219.19065548387098,6.203837407282288,348.0196774193549,11.264539865597182,0.6298225925304558,36.87096774193548,0.40624674816596545,-0.13576039514234553,-0.13491256244066485
60.0,0.5,189.34471238709676,8.429789290963754,347.6900945828332,0.03226939185902701,0.5445789665485784,32.61290322580645,2.6464329489808107,219.19065548387098,6.203837407282288,348.0196774193549,11.264539865597182,0.6298225925304558,36.87096774193548,0.40624674816596545,-0.13616430422587253,-0.135345455994825
60.0,1.0,188.66313645161296,8.489980775419635,347.69155009216854,0.03162031879345168,0.5426163977859133,33.29032258064516,2.589554513266047,219.19065548387098,6.203837407282288,348.0196774193549,11.264539865597182,0.6298225925304558,36.87096774193548,0.40624674816596545,-0.13927381605236533,-0.13846152198855194
90.0,0.0,210.26665032258066,9.085323813507541,347.65967584269276,0.03775600262750771,0.6048059781822986,25.06451612903226,2.024014686010177,219.19065548387098,6.203837407282288,348.0196774193549,11.264539865597182,0.6298225925304558,36.87096774193548,0.40624674816596545,-0.040713437995749745,-0.03972009680955904
90.0,0.5,210.21594,9.263850405306258,347.7486981789893,0.03005932535982567,0.6045053255434475,26.193548387096776,2.071007938510514,219.19065548387098,6.203837407282288,348.0196774193549,11.264539865597182,0.6298225925304558,36.87096774193548,0.40624674816596545,-0.04094479057083432,-0.040197457644843164
90.0,1.0,210.12517967741937,9.260553935950279,347.68978792416135,0.03693279433663083,0.6043467107042333,26.193548387096776,2.042252264408366,219.19065548387098,6.203837407282288,348.0196774193549,11.264539865597182,0.6298225925304558,36.87096774193548,0.40624674816596545,-0.041358860789203186,-0.040449298148971365
None,0.0,210.09640967741944,9.019721609270128,347.6718182712588,0.04181009910297227,0.6042951963207414,25.032258064516128,2.1324345574638657,219.19065548387098,6.203837407282288,348.0196774193549,11.264539865597182,0.6298225925304558,36.87096774193548,0.40624674816596545,-0.041490116384640924,-0.0405310900441858
None,0.5,210.90330290322584,9.111021774554313,347.7161275854063,0.03647611909373743,0.606538742875605,25.838709677419356,2.116548607761793,219.19065548387098,6.203837407282288,348.0196774193549,11.264539865597182,0.6298225925304558,36.87096774193548,0.40624674816596545,-0.03780887721855902,-0.03696890192729127
None,1.0,210.80883419354834,9.13986604232924,347.6821335023007,0.03246679517234266,0.6063263362716146,25.93548387096774,2.1507365499403672,219.19065548387098,6.203837407282288,348.0196774193549,11.264539865597182,0.6298225925304558,36.87096774193548,0.40624674816596545,-0.03823986598251411,-0.03730615023579839
