Day,Budget,t_Clicks_OptCost,t_Clicks_ActCost,tm1_Clicks_OptCost,Actual_Clicks,Opt_Cost,Act_Cost,Opt_Purch,Act_Purch,N_Opt,N_Obs,Avg_Cost_Change,Pct_New_Keywords,Eval_CV_MSE,Eval_Train_MSE,Eval_Train_R2,Eval_Best_Params,Hist_MSE,Hist_R2,Hist_Bias,N_Estimators,Opt_Cost_Region_USA,Act_Cost_Region_USA,Opt_Clicks_Region_USA,Act_Clicks_Region_USA,Opt_Purch_Region_USA,Act_Purch_Region_USA,Opt_Cost_Region_B,Act_Cost_Region_B,Opt_Clicks_Region_B,Act_Clicks_Region_B,Opt_Purch_Region_B,Act_Purch_Region_B,Opt_Cost_Region_A,Act_Cost_Region_A,Opt_Clicks_Region_A,Act_Clicks_Region_A,Opt_Purch_Region_A,Act_Purch_Region_A,Opt_Cost_Origin_new,Act_Cost_Origin_new,Opt_Clicks_Origin_new,Act_Clicks_Origin_new,Opt_Purch_Origin_new,Act_Purch_Origin_new,Opt_Cost_Origin_existing,Act_Cost_Origin_existing,Opt_Clicks_Origin_existing,Act_Clicks_Origin_existing,Opt_Purch_Origin_existing,Act_Purch_Origin_existing,Opt_Cost_Origin_existing searches,Act_Cost_Origin_existing searches,Opt_Clicks_Origin_existing searches,Act_Clicks_Origin_existing searches,Opt_Purch_Origin_existing searches,Act_Purch_Origin_existing searches,Opt_Cost_Match_Exact match,Act_Cost_Match_Exact match,Opt_Clicks_Match_Exact match,Act_Clicks_Match_Exact match,Opt_Purch_Match_Exact match,Act_Purch_Match_Exact match,Opt_Cost_Match_Phrase match,Act_Cost_Match_Phrase match,Opt_Clicks_Match_Phrase match,Act_Clicks_Match_Phrase match,Opt_Purch_Match_Phrase match,Act_Purch_Match_Phrase match,Opt_Cost_Match_Broad match,Act_Cost_Match_Broad match,Opt_Clicks_Match_Broad match,Act_Clicks_Match_Broad match,Opt_Purch_Match_Broad match,Act_Purch_Match_Broad match
2025-12-01,177,48.306015,139.51367,39.41344117029841,190,176.79000232160485,339.01,0.0627277494106692,0.10993365474438237,213,44,,,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.03026008605957,0.8055585026741028,-0.004076224423766,5,176.79000232160485,256.5,48.306015,63.713455,0.0627277494106692,0.08273506749390189,0.0,31.95,0.0,49.087494,0.0,0.006775086435335182,0.0,50.56000000000001,0.0,26.712723,0.0,0.020423500815145296,24.90000032698659,0.0,7.0678096,0.0,0.00917790089087734,0.0,15.770000207091506,339.01,4.37278,139.51367,0.005678271499888019,0.10993365474438237,136.12000178752672,0.0,36.865425,0.0,0.047871577639100486,0.0,0.0,7.5,0.0,1.08901,0.0,0.0006512992491960688,0.0,35.900000000000006,0.0,4.56643,0.0,0.005145077258563789,176.79000232160485,295.61,48.306015,133.85823,0.0627277494106692,0.10413727824552652
2025-12-01,177,38.91619,139.51367,89.41199361816876,190,176.85999870169798,339.01,0.050534598696780224,0.10993365474438237,278,44,,,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",2.535151243209839,0.8776906132698059,-0.0011283350873528,10,176.85999870169798,256.5,38.91619,63.713455,0.050534598696780224,0.08273506749390189,0.0,31.95,0.0,49.087494,0.0,0.006775086435335182,0.0,50.56000000000001,0.0,26.712723,0.0,0.020423500815145296,66.8399996712094,0.0,12.752653,0.0,0.016559951983909745,0.0,22.589999803072775,339.01,5.8110633,139.51367,0.007545953060538879,0.10993365474438237,87.4299992274158,0.0,20.352472,0.0,0.026428691794741707,0.0,13.289999752843158,7.5,1.8167021,1.08901,0.0023590775552563077,0.0006512992491960688,33.309999377138936,35.900000000000006,12.340828,4.56643,0.016025175382912482,0.005145077258563789,130.2599995717159,295.61,24.75866,133.85823,0.03215034359142322,0.10413727824552652
2025-12-01,177,71.66325,139.51367,135.74359010420514,190,176.99999902607163,339.01,0.09305828896336833,0.10993365474438237,153,44,,,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.9764676094055176,0.9046445488929749,1.4425234260976106e-05,20,176.99999902607163,256.5,71.66325,63.713455,0.09305828896336833,0.08273506749390189,0.0,31.95,0.0,49.087494,0.0,0.006775086435335182,0.0,50.56000000000001,0.0,26.712723,0.0,0.020423500815145296,56.599999855026866,0.0,20.548786,0.0,0.02668361257106875,0.0,16.939999956200122,339.01,6.996999,139.51367,0.009085949571930003,0.10993365474438237,103.45999921484464,0.0,44.117477,0.0,0.05728872620117295,0.0,8.509999840567264,7.5,2.5566325,1.08901,0.003319913760715619,0.0006512992491960688,27.199999796970445,35.900000000000006,8.914141,4.56643,0.011575453776812163,0.005145077258563789,141.28999938853394,295.61,60.192482,133.85823,0.07816291956825067,0.10413727824552652
2025-12-01,177,65.89502,139.51367,148.60386906292217,190,177.00000000000057,339.01,0.0855679416179117,0.10993365474438237,163,44,,,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.8363512754440308,0.9114044904708862,8.875237324185964e-05,30,177.00000000000057,256.5,65.89502,63.713455,0.0855679416179117,0.08273506749390189,0.0,31.95,0.0,49.087494,0.0,0.006775086435335182,0.0,50.56000000000001,0.0,26.712723,0.0,0.020423500815145296,51.45000005217571,0.0,18.625978,0.0,0.024186751691009905,0.0,23.080000113102983,339.01,7.0818954,139.51367,0.009196190720973206,0.10993365474438237,102.46999983472186,0.0,40.18715,0.0,0.05218500044432185,0.0,10.229999925625332,7.5,2.29279,1.08901,0.0029773011190680717,0.0006512992491960688,36.8700002534561,35.900000000000006,9.000248,4.56643,0.011687267066102283,0.005145077258563789,129.89999982091913,295.61,54.601982,133.85823,0.07090337405193797,0.10413727824552652
2025-12-02,177,49.55659,154.50398,39.35814909889767,213,176.79000080741932,344.9,0.06435168421740178,0.12049363862162309,213,43,8.564882024378291e-09,0.14553990610328638,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.033514976501465,0.8055950999259949,-0.0040507715159818,5,176.79000080741932,259.25,49.55659,69.40789,0.06435168421740178,0.09012957806154967,0.0,35.45,0.0,55.37884,0.0,0.007643422656916,0.0,50.2,0.0,29.717247,0.0,0.022720637903157412,24.900000113721024,0.0,7.175176,0.0,0.009317321681171399,0.0,15.770000072023315,344.9,4.5663586,154.50398,0.005929643041124351,0.12049363862162309,136.12000062167496,0.0,37.815056,0.0,0.04910472011430267,0.0,0.0,3.38,0.0,0.46002144,0.0,0.0004525656831684822,0.0,14.04,0.0,2.3406553,0.0,0.002230397904268769,176.79000080741932,327.47999999999996,49.55659,151.70331,0.06435168421740178,0.11781067649863991
2025-12-02,177,40.03061,154.50398,89.13733269845483,213,176.85999876872327,344.9,0.05198172562061976,0.12049363862162309,284,43,0.018413284033133536,0.2535211267605634,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",2.542316675186157,0.8774669766426086,-0.0010365399987996,10,176.85999876872327,259.25,40.03061,69.40789,0.05198172562061976,0.09012957806154967,0.0,35.45,0.0,55.37884,0.0,0.007643422656916,0.0,50.2,0.0,29.717247,0.0,0.022720637903157412,67.43999962521647,0.0,12.998609,0.0,0.016879337321523295,0.0,22.60999982266359,344.9,5.9610205,154.50398,0.0077406792555489885,0.12049363862162309,86.80999932084322,0.0,21.070976,0.0,0.02736170718595759,0.0,14.829999833898142,3.38,2.2025476,0.46002144,0.0028601169181979003,0.0004525656831684822,35.54999958245586,14.04,13.285255,2.3406553,0.017251561184473727,0.002230397904268769,126.47999935236928,327.47999999999996,24.542805,151.70331,0.03187004566035825,0.11781067649863991
2025-12-02,177,56.061554,154.50398,117.89482938891825,213,176.9700002526554,344.9,0.07279870026539065,0.12049363862162309,163,43,0.202422258059922,0.44171779141104295,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",2.0166335105896,0.9028035402297974,-2.1183627284330355e-05,20,176.9700002526554,259.25,56.061554,69.40789,0.07279870026539065,0.09012957806154967,0.0,35.45,0.0,55.37884,0.0,0.007643422656916,0.0,50.2,0.0,29.717247,0.0,0.022720637903157412,51.449999447309125,0.0,15.542608,0.0,0.020182844229098884,0.0,16.690000052969523,344.9,5.7360487,154.50398,0.007448542904089844,0.12049363862162309,108.83000075237675,0.0,34.782894,0.0,0.045167313132201924,0.0,6.480000031628121,3.38,0.639794,0.46002144,0.0008308041388867671,0.0004525656831684822,24.070000109932945,14.04,5.928177,2.3406553,0.007698030849173707,0.002230397904268769,146.4200001110943,327.47999999999996,49.493584,151.70331,0.06426986605132597,0.11781067649863991
2025-12-02,177,54.779808,154.50398,134.81451907583283,213,176.91999798464593,344.9,0.07113429476683514,0.12049363862162309,169,43,0.12780140487143568,0.7633136094674556,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.850379467010498,0.9108165502548218,-9.838126823850532e-05,30,176.91999798464593,259.25,54.779808,69.40789,0.07113429476683514,0.09012957806154967,0.0,35.45,0.0,55.37884,0.0,0.007643422656916,0.0,50.2,0.0,29.717247,0.0,0.022720637903157412,33.33999947214181,0.0,8.12569,0.0,0.010551610908534785,0.0,16.12999983881131,344.9,6.073416,154.50398,0.007886631331910188,0.12049363862162309,127.44999867369282,0.0,40.580704,0.0,0.05269605066880027,0.0,60.559999154194,3.38,12.753902,0.46002144,0.016561573040690534,0.0004525656831684822,16.099999774766033,14.04,5.3652935,2.3406553,0.006967098947341253,0.002230397904268769,100.25999905568588,327.47999999999996,36.660614,151.70331,0.04760562030201683,0.11781067649863991
2025-12-03,177,45.46768,150.82274,39.34466996580122,214,176.79000318038587,350.34000000000003,0.05904203347526656,0.1246500684329552,213,44,1.342251547651465e-08,0.6009389671361502,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.094612121582031,0.8029696941375732,-0.0040440323548944,5,176.79000318038587,265.53,45.46768,72.77657,0.05904203347526656,0.09450398925816933,0.0,31.589999999999996,0.0,47.123817,0.0,0.006504058063615788,0.0,53.22,0.0,30.922356,0.0,0.023642021111170086,68.89000123930532,0.0,16.286211,0.0,0.02114845041580755,0.0,12.450000223970836,350.34000000000003,3.022015,150.82274,0.003924236050555981,0.1246500684329552,95.4500017171097,0.0,26.159456,0.0,0.033969345151313134,0.0,0.0,5.37,0.0,0.7273268,0.0,0.0006624556273017446,0.0,32.769999999999996,0.0,5.205144,0.0,0.00477548870751029,176.79000318038587,312.2,45.46768,144.89027,0.05904203347526656,0.1192121239183755
2025-12-03,177,92.27066,150.82274,65.8522720486026,214,176.98000482522116,350.34000000000003,0.11713642233125461,0.1246500684329552,141,44,0.6077422371153273,0.900709219858156,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",2.54677414894104,0.877450704574585,-0.0015100176366601,10,161.99000484102808,265.53,87.24886,72.77657,0.11329695376878053,0.09450398925816933,0.0,31.589999999999996,0.0,47.123817,0.0,0.006504058063615788,14.98999998419295,53.22,5.0217957,30.922356,0.003839468562474085,0.023642021111170086,53.26000158475796,0.0,25.725674,0.0,0.03340605949901673,0.0,7.740000233234269,350.34000000000003,3.7153678,150.82274,0.004824588819469846,0.1246500684329552,115.98000300722892,0.0,62.82961,0.0,0.07890577587035792,0.0,1.3399999841954515,5.37,0.19165826,0.7273268,0.00014653439224162108,0.0006624556273017446,12.770000041235836,32.769999999999996,5.8860555,5.205144,0.005304430403362355,0.00477548870751029,162.87000479978985,312.2,86.19293,144.89027,0.11168545343781482,0.1192121239183755
2025-12-03,177,49.02108,150.82274,113.67582632367743,214,176.91999941511915,350.34000000000003,0.06012657136436413,0.1246500684329552,285,44,0.3478702463697651,0.8912280701754386,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",2.033569812774658,0.9021458625793456,4.655880912965421e-05,20,151.02999950788328,265.53,42.410965,72.77657,0.05507273538986642,0.09450398925816933,0.0,31.589999999999996,0.0,47.123817,0.0,0.006504058063615788,25.889999907235918,53.22,6.610117,30.922356,0.005053835974497714,0.023642021111170086,18.829999697708143,0.0,4.952713,0.0,0.005571676888201531,0.0,11.170000042793221,350.34000000000003,2.289835,150.82274,0.002973463957543795,0.1246500684329552,146.91999967461783,0.0,41.778534,0.0,0.051581431757012075,0.0,14.660000310725527,5.37,2.7847724,0.7273268,0.0036161649833881863,0.0006624556273017446,58.04999994889961,32.769999999999996,16.197102,5.205144,0.01935825551928685,0.00477548870751029,104.20999915549405,312.2,30.039206,144.89027,0.037152149495983014,0.1192121239183755
2025-12-03,177,45.497585,150.82274,118.65713367591073,214,176.99999999999537,350.34000000000003,0.058316691367030576,0.1246500684329552,250,44,0.24579676213539903,0.964,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.8752562999725344,0.909763753414154,1.960776895426704e-05,30,169.63000036028552,265.53,44.06652,72.77657,0.0572225563723638,0.09450398925816933,0.029999627397792,31.589999999999996,0.0,47.123817,0.0,0.006504058063615788,7.34000001231204,53.22,1.4310634,30.922356,0.0010941349946667768,0.023642021111170086,13.269999737797736,0.0,3.7864852,0.0,0.00491693828185112,0.0,13.020000003718213,350.34000000000003,2.8007464,150.82274,0.003636907451340704,0.1246500684329552,150.7100002584794,0.0,38.910355,0.0,0.049762846562633696,0.0,33.74000079495978,5.37,5.8287187,0.7273268,0.007568878815813423,0.0006624556273017446,59.36999991374123,32.769999999999996,16.105206,5.205144,0.020461777153963776,0.00477548870751029,83.88999929129433,312.2,23.56366,144.89027,0.03028603663564664,0.1192121239183755
