N_Estimators,Spend New,Clicks New,Purch New,Spend Existing,Clicks Existing,Purch Existing,Spend Existing searches,Clicks Existing searches,Purch Existing searches
Actual,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
5,0.2837632237854043,0.22893664983415868,0.259098482242185,0.08385390010584008,0.09475466915824327,0.09752029110444284,0.6323828761087555,0.6763086764400928,0.6433812197604706
10,0.1802904739456528,0.14658521271809707,0.1525357350340031,0.09165704572530775,0.09432277904334425,0.09321117084705753,0.7280524803290394,0.7590920025404665,0.7542530849196382
20,0.1744888419016262,0.12584716090686446,0.12757597258104686,0.08305864722734423,0.0822999467962962,0.08222531814304052,0.7424525108710296,0.7918529143357984,0.7901987093661546
30,0.15972208174131886,0.10186150657336895,0.10334732451066332,0.08924524533690939,0.08919977811010739,0.08934535700301781,0.7510326729217718,0.8089387036397138,0.8073073268663777
