Campaign,Conversion action,Age,All conv.
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],Purchase - Gen AI,45 - 54,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],Purchase - Gen AI,25 - 34,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],Purchase - Gen AI,35 - 44,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],Purchase - Gen AI,45 - 54,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],Purchase - Gen AI,45 - 54,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],Purchase - Gen AI,55 - 64,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],Purchase - Gen AI,Unknown,2.00
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],Purchase - Gen AI,25 - 34,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],Purchase - Gen AI,35 - 44,2.00
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],Purchase - Gen AI,45 - 54,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],Purchase - Gen AI,55 - 64,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],Purchase - Gen AI,65+,2.00
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],Purchase - Gen AI,Unknown,3.00
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],Purchase - Gen AI,25 - 34,2.00
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],Purchase - Gen AI,35 - 44,6.00
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],Purchase - Gen AI,45 - 54,6.50
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],Purchase - Gen AI,55 - 64,1.50
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],Purchase - Gen AI,Unknown,6.00
Course - Generative AI - Run 5 - Search - Prospecting - USA,Purchase - Gen AI,65+,1.00
