Campaign,Hour of the day,Clicks
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],0,9
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],1,22
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],2,24
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],3,14
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],4,11
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],5,12
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],6,6
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],7,5
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],8,6
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],9,14
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],10,12
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],11,8
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],12,9
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],13,2
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],14,4
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],15,3
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],17,2
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],18,4
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],19,5
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],20,8
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],21,1
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],22,1
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],23,5
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],0,9
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],1,15
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],2,19
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],3,13
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],4,15
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],5,15
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],6,8
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],7,13
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],8,13
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],9,10
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],10,16
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],11,6
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],12,2
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],13,5
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],14,11
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],15,6
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],16,5
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],17,8
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],18,3
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],19,1
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],20,1
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],21,2
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],22,5
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],23,6
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],0,38
