Campaign,Conversion action,Hour of the day,All conv.
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],Purchase - Gen AI,4,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],Purchase - Gen AI,10,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],Purchase - Gen AI,14,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],Purchase - Gen AI,15,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],Purchase - Gen AI,0,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],Purchase - Gen AI,2,2.00
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],Purchase - Gen AI,13,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],Purchase - Gen AI,0,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],Purchase - Gen AI,1,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],Purchase - Gen AI,8,2.00
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],Purchase - Gen AI,9,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],Purchase - Gen AI,10,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],Purchase - Gen AI,12,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],Purchase - Gen AI,20,3.00
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],Purchase - Gen AI,2,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],Purchase - Gen AI,6,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],Purchase - Gen AI,9,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],Purchase - Gen AI,10,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],Purchase - Gen AI,11,3.00
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],Purchase - Gen AI,12,0.33
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],Purchase - Gen AI,13,1.50
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],Purchase - Gen AI,14,1.50
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],Purchase - Gen AI,15,3.00
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],Purchase - Gen AI,16,4.67
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],Purchase - Gen AI,17,4.00
Course - Generative AI - Run 5 - Search - Prospecting - USA,Purchase - Gen AI,7,1.00
