lambda,objective_total,objective_profit_component,objective_exploration_component,total_conv_value,total_cost,total_profit,new_cost,new_profit,pct_cost_new,pct_profit_new,active_unique_keywords,active_unique_new_keywords,pct_active_unique_new_keywords,file
-1.0,73717.19972175533,73813.03807378883,-95.83835203351114,74213.03807378882,399.99999999999994,73813.03807378883,326.3641523313345,60982.74496904603,0.8159103808283363,0.8261784985476859,163,118,0.7239263803680982,opt_results/bids/lambda_sweep/bert_glm_xgb_2026-01-05_full/optimized_bids_bert_glm_xgb_lambda_m1p0.csv
0.0,73810.02395701855,73810.02395701855,0.0,74210.02395701858,400.00000000003234,73810.02395701855,328.58955552082,61169.64487458093,0.8214738888019836,0.8287444116018925,163,118,0.7239263803680982,opt_results/bids/lambda_sweep/bert_glm_xgb_2026-01-05_full/optimized_bids_bert_glm_xgb_lambda_0p0.csv
1.0,73911.34021912485,73812.44183058887,98.89838853597854,74212.44183067813,400.000000089258,73812.44183058887,329.88650495545687,61279.71551520287,0.8247162622046109,0.8302084851202922,162,118,0.7283950617283951,opt_results/bids/lambda_sweep/bert_glm_xgb_2026-01-05_full/optimized_bids_bert_glm_xgb_lambda_1p0.csv
2.0,74011.78864431227,73812.96784365029,198.82080066198034,74212.96784365033,400.00000000003877,73812.96784365029,330.28990109392527,61312.52185695999,0.8257247527347331,0.8306470210875603,163,119,0.7300613496932515,opt_results/bids/lambda_sweep/bert_glm_xgb_2026-01-05_full/optimized_bids_bert_glm_xgb_lambda_2p0.csv
4.0,74206.80720028294,73807.13573882093,399.67146146201776,74207.13573882094,400.0000000000247,73807.13573882093,330.3924769820949,61317.58343467576,0.8259811924551861,0.830781235728459,163,119,0.7300613496932515,opt_results/bids/lambda_sweep/bert_glm_xgb_2026-01-05_full/optimized_bids_bert_glm_xgb_lambda_4p0.csv
