Keyword,Region,Match type,Avg. CPC
generative ai course,B,Broad match,0.28
generative ai courses,B,Broad match,0.45
generative ai online course,B,Broad match,0.45
online ai and ml courses,B,Phrase match,0.35
generative ai online program,B,Broad match,0.27
generative ai certification online,B,Broad match,0.39
online course generative ai,B,Broad match,0.36
stanford ai professional program,USA,Phrase match,2.11
mit professional development,USA,Broad match,1.09
generative ai course,USA,Broad match,1.36
generative ai courses,USA,Broad match,1.24
generative ai course mit,USA,Broad match,0.97
generative ai online course,USA,Broad match,1.41
online ai and ml courses,USA,Phrase match,1.96
mit artificial intelligence course,USA,Phrase match,1.49
generative ai certificate course,USA,Broad match,1.47
generative ai online course,USA,Broad match,1.57
generative ai certificate program,USA,Broad match,1.5
generative ai foundations course,USA,Broad match,1.53
mit generative ai certificate,USA,Broad match,1.34
generative ai certification online,USA,Broad match,1.59
online course generative ai,USA,Broad match,1.35
mit xpro ai course,USA,Exact match,1.36
online generative ai course,USA,Phrase match,1.51
professional ai certificate,USA,Phrase match,0.66
mit professional development,A,Broad match,2.51
generative ai course,A,Broad match,1.16
generative ai courses,A,Broad match,0.98
generative ai certificate course,A,Broad match,1.23
generative ai fundamentals course,A,Broad match,0.69
generative ai online course,A,Broad match,0.79
generative ai online program,A,Broad match,0.81
generative ai foundations course,A,Broad match,0.9
generative ai certification online,A,Broad match,0.63
professional certificate in ai,A,Phrase match,0.56
generative ai online course,B,Broad match,0.22
generative ai online course,B,Broad match,0.17
generative ai online program,B,Broad match,0.18
generative ai certification online,B,Broad match,0.36
online course generative ai,B,Broad match,0.27
stanford ai professional program,USA,Phrase match,0.91
mit professional development,USA,Broad match,1.02
generative ai course,USA,Broad match,1.04
generative ai online course,USA,Broad match,0.57
online ai and ml courses,USA,Phrase match,1.75
mit artificial intelligence course,USA,Phrase match,1.2
generative ai certificate course,USA,Broad match,1.31
generative ai online course,USA,Broad match,1.49
generative ai online program,USA,Broad match,1.64
generative ai certificate program,USA,Broad match,3.35
generative ai foundations course,USA,Broad match,1.28
mit generative ai certificate,USA,Broad match,1.03
online course generative ai,USA,Broad match,1.22
generative ai certification online,USA,Phrase match,0.82
mit professional development,A,Broad match,0.86
generative ai course,A,Broad match,1.39
generative ai courses,A,Broad match,0.95
online ai and ml courses,A,Phrase match,0.56
generative ai certificate course,A,Broad match,1.21
generative ai online program,A,Broad match,0.75
generative ai foundations course,A,Broad match,0.84
generative ai certification online,A,Broad match,1.05
professional certificate in ai,A,Phrase match,1.58
generative ai course,B,Broad match,0.32
online ai and ml courses,B,Phrase match,0.27
mit artificial intelligence course,B,Phrase match,0.43
mit generative ai certificate,B,Broad match,0.39
generative ai certification online,B,Broad match,0.4
online course generative ai,B,Broad match,0.32
mit professional development,USA,Broad match,0.91
generative ai course,USA,Broad match,1.46
generative ai courses,USA,Broad match,1.09
generative ai online course,USA,Broad match,0.58
online ai and ml courses,USA,Phrase match,1.83
mit artificial intelligence course,USA,Phrase match,1.54
generative ai certificate course,USA,Broad match,1.39
generative ai online course,USA,Broad match,2.09
generative ai online program,USA,Broad match,1.06
generative ai foundations course,USA,Broad match,0.95
mit generative ai certificate,USA,Broad match,0.89
generative ai certification online,USA,Broad match,1.52
online course generative ai,USA,Broad match,1.24
professional certificate in ai,USA,Phrase match,1.67
prompt engineering course,USA,Phrase match,2.53
online generative ai course,USA,Phrase match,0.8
mit professional development,A,Broad match,0.95
generative ai course,A,Broad match,0.89
generative ai courses,A,Broad match,0.62
online ai and ml courses,A,Phrase match,1.09
generative ai certificate course,A,Broad match,0.71
generative ai fundamentals course,A,Broad match,1.69
generative ai online program,A,Broad match,0.67
generative ai foundations course,A,Broad match,0.28
generative ai certification online,A,Broad match,0.7
generative ai course,B,Broad match,0.31
generative ai courses,B,Broad match,0.16
generative ai online course,B,Broad match,0.27
online ai and ml courses,B,Phrase match,0.1
mit artificial intelligence course,B,Phrase match,0.14
generative ai online course,B,Broad match,0.26
online course generative ai,B,Broad match,0.27
stanford ai professional program,USA,Phrase match,0.79
artificial intelligence course,B,Exact match,0.26
mit professional development,USA,Broad match,1.17
generative ai course,USA,Broad match,1.34
generative ai courses,USA,Broad match,0.54
online ai and ml courses,USA,Phrase match,1.43
mit artificial intelligence course,USA,Phrase match,1.88
generative ai certificate course,USA,Broad match,1.64
generative ai online course,USA,Broad match,1.19
generative ai online program,USA,Broad match,0.84
generative ai foundations course,USA,Broad match,1.58
mit generative ai certificate,USA,Broad match,0.97
online course generative ai,USA,Broad match,0.62
online generative ai course,USA,Phrase match,2.01
generative ai course,A,Broad match,0.86
mit artificial intelligence course,A,Phrase match,1.14
generative ai certificate course,A,Broad match,0.72
generative ai fundamentals course,A,Broad match,1.39
generative ai online course,A,Broad match,0.8
generative ai online program,A,Broad match,0.79
generative ai foundations course,A,Broad match,1.58
generative ai course,B,Broad match,0.42
generative ai online course,B,Broad match,0.26
online ai and ml courses,B,Phrase match,0.23
mit generative ai certificate,B,Broad match,0.31
generative ai certification online,B,Broad match,0.16
online course generative ai,B,Broad match,0.31
generative ai course mit,USA,Exact match,2.52
mit professional development,USA,Broad match,1.33
generative ai course,USA,Broad match,0.91
generative ai course mit,USA,Broad match,0.69
generative ai online course,USA,Broad match,2.57
online ai and ml courses,USA,Phrase match,2.12
mit artificial intelligence course,USA,Phrase match,1.15
generative ai certificate course,USA,Broad match,2.02
generative ai online course,USA,Broad match,1.44
generative ai online program,USA,Broad match,1.23
generative ai certificate program,USA,Broad match,1.35
generative ai foundations course,USA,Broad match,1.24
mit generative ai certificate,USA,Broad match,1.44
online course generative ai,USA,Broad match,1.4
professional certificate in ai,USA,Phrase match,1.51
prompt engineering course,USA,Phrase match,1.14
mit xpro ai course,USA,Exact match,1.47
online generative ai course,USA,Phrase match,0.94
professional ai certificate,USA,Phrase match,0.41
mit professional development,A,Broad match,0.72
generative ai course,A,Broad match,0.67
online ai and ml courses,A,Phrase match,1.06
generative ai certificate course,A,Broad match,1.68
generative ai fundamentals course,A,Broad match,0.49
generative ai online course,A,Broad match,0.9
generative ai online program,A,Broad match,0.86
generative ai foundations course,A,Broad match,2.07
generative ai certification online,A,Broad match,1.4
professional certificate in ai,A,Phrase match,1.12
generative ai online course,B,Broad match,0.4
generative ai certification online,B,Broad match,0.44
online course generative ai,B,Broad match,0.46
mit professional development,USA,Broad match,1.1
generative ai course,USA,Broad match,1.23
generative ai online course,USA,Broad match,1.15
online ai and ml courses,USA,Phrase match,1.39
mit artificial intelligence course,USA,Phrase match,1.26
generative ai certificate course,USA,Broad match,1.1
generative ai online course,USA,Broad match,2.03
generative ai online program,USA,Broad match,2.07
generative ai foundations course,USA,Broad match,2.77
mit generative ai certificate,USA,Broad match,0.89
online course generative ai,USA,Broad match,1.08
professional certificate in ai,USA,Phrase match,1.55
mit professional development,A,Broad match,0.4
generative ai course,A,Broad match,0.92
generative ai online course,A,Broad match,0.81
online ai and ml courses,A,Phrase match,2.2
generative ai fundamentals course,A,Broad match,1.37
generative ai online course,A,Broad match,2.28
generative ai online program,A,Broad match,0.76
generative ai foundations course,A,Broad match,0.67
professional certificate in ai,A,Phrase match,0.64
generative ai course,B,Broad match,0.22
generative ai certification online,B,Broad match,0.49
online course generative ai,B,Broad match,0.4
stanford ai professional program,USA,Phrase match,1.4
mit generative ai course,USA,Exact match,1.56
mit professional development,USA,Broad match,1.18
generative ai course,USA,Broad match,1.23
generative ai course mit,USA,Broad match,0.75
generative ai online course,USA,Broad match,1.68
online ai and ml courses,USA,Phrase match,1.72
mit artificial intelligence course,USA,Phrase match,1.31
generative ai certificate course,USA,Broad match,1.47
generative ai online course,USA,Broad match,0.89
generative ai online program,USA,Broad match,2.62
generative ai foundations course,USA,Broad match,1.58
mit generative ai certificate,USA,Broad match,1.09
generative ai certification online,USA,Broad match,0.89
online course generative ai,USA,Broad match,1.92
professional certificate in ai,USA,Phrase match,0.58
prompt engineering course,USA,Phrase match,1.17
mit xpro ai course,USA,Exact match,0.84
online generative ai course,USA,Phrase match,1.69
professional ai certificate,USA,Phrase match,1.51
generative ai course,A,Broad match,2.74
online ai and ml courses,A,Phrase match,0.68
generative ai certificate course,A,Broad match,0.43
generative ai fundamentals course,A,Broad match,1.71
generative ai online course,A,Broad match,0.84
generative ai online program,A,Broad match,0.86
generative ai foundations course,A,Broad match,0.68
professional certificate in ai,A,Phrase match,1.02
mit generative ai certificate,B,Broad match,0.03
generative ai certification online,B,Broad match,0.22
online course generative ai,B,Broad match,0.35
mit professional development,USA,Broad match,1.31
generative ai course,USA,Broad match,1.61
generative ai course mit,USA,Broad match,0.6
generative ai online course,USA,Broad match,1.42
online ai and ml courses,USA,Phrase match,2.07
mit artificial intelligence course,USA,Phrase match,1.73
generative ai certificate course,USA,Broad match,1.36
generative ai online course,USA,Broad match,1.42
generative ai online program,USA,Broad match,2.15
generative ai certificate program,USA,Broad match,1.41
generative ai foundations course,USA,Broad match,1.51
mit generative ai certificate,USA,Broad match,0.83
generative ai certification online,USA,Broad match,0.82
online course generative ai,USA,Broad match,0.78
prompt engineering course,USA,Phrase match,1.69
professional ai certificate,USA,Phrase match,0.97
mit professional development,A,Broad match,1.79
generative ai course,A,Broad match,0.67
generative ai courses,A,Broad match,1.1
online ai and ml courses,A,Phrase match,0.87
generative ai certificate course,A,Broad match,0.84
generative ai online program,A,Broad match,0.58
generative ai foundations course,A,Broad match,0.87
generative ai course,B,Broad match,0.28
generative ai online course,B,Broad match,0.38
online ai and ml courses,B,Phrase match,0.14
generative ai online program,B,Broad match,0.28
mit generative ai certificate,B,Broad match,0.29
generative ai certification online,B,Broad match,0.32
online course generative ai,B,Broad match,0.39
stanford ai professional program,USA,Phrase match,0.68
artificial intelligence course,B,Exact match,0.27
mit ai course,B,Phrase match,0.34
mit professional development,USA,Broad match,1.07
generative ai course,USA,Broad match,1.38
generative ai online course,USA,Broad match,1.62
online ai and ml courses,USA,Phrase match,2.04
mit artificial intelligence course,USA,Phrase match,1.42
generative ai certificate course,USA,Broad match,1.23
generative ai online course,USA,Broad match,1.14
generative ai online program,USA,Broad match,1.04
generative ai certificate program,USA,Broad match,1.33
generative ai foundations course,USA,Broad match,1.19
mit generative ai certificate,USA,Broad match,1.37
online course generative ai,USA,Broad match,2.57
prompt engineering course,USA,Phrase match,0.93
mit professional development,A,Broad match,1.45
generative ai course,A,Broad match,0.4
generative ai courses,A,Broad match,0.57
generative ai online course,A,Broad match,1.6
online ai and ml courses,A,Phrase match,1.25
generative ai certificate course,A,Broad match,0.85
generative ai fundamentals course,A,Broad match,1.17
generative ai online program,A,Broad match,0.73
generative ai foundations course,A,Broad match,1.52
generative ai course,B,Broad match,0.37
generative ai online course,B,Broad match,0.37
online ai and ml courses,B,Phrase match,0.43
mit artificial intelligence course,B,Phrase match,0.67
generative ai online program,B,Broad match,0.39
mit generative ai certificate,B,Broad match,0.39
generative ai certification online,B,Broad match,0.38
online course generative ai,B,Broad match,0.64
stanford ai professional program,USA,Phrase match,1.18
mit professional development,USA,Broad match,1.17
generative ai course,USA,Broad match,1.16
generative ai courses,USA,Broad match,2.1
generative ai online course,USA,Broad match,1.1
online ai and ml courses,USA,Phrase match,1.62
mit artificial intelligence course,USA,Phrase match,1.19
generative ai certificate course,USA,Broad match,0.96
generative ai online course,USA,Broad match,2.56
generative ai online program,USA,Broad match,1.69
generative ai certificate program,USA,Broad match,2.98
generative ai foundations course,USA,Broad match,1.28
mit generative ai certificate,USA,Broad match,1.38
generative ai certification online,USA,Broad match,1.82
online course generative ai,USA,Broad match,0.99
mit professional development,A,Broad match,1.04
generative ai course,A,Broad match,1.15
generative ai courses,A,Broad match,1.02
online ai and ml courses,A,Phrase match,1.31
generative ai fundamentals course,A,Broad match,0.95
generative ai online program,A,Broad match,0.85
generative ai foundations course,A,Broad match,0.36
generative ai course,B,Broad match,0.45
generative ai courses,B,Broad match,0.23
generative ai online course,B,Broad match,0.53
online ai and ml courses,B,Phrase match,0.32
mit artificial intelligence course,B,Phrase match,0.55
generative ai online course,B,Broad match,0.35
generative ai online program,B,Broad match,0.37
mit generative ai certificate,B,Broad match,0.4
generative ai certification online,B,Broad match,0.3
online course generative ai,B,Broad match,0.62
stanford ai professional program,USA,Phrase match,1.91
mit professional development,USA,Broad match,1.05
generative ai course,USA,Broad match,1.61
generative ai courses,USA,Broad match,0.74
generative ai online course,USA,Broad match,1.63
online ai and ml courses,USA,Phrase match,1.71
mit artificial intelligence course,USA,Phrase match,1.91
generative ai certificate course,USA,Broad match,1.15
generative ai online course,USA,Broad match,1.52
generative ai online program,USA,Broad match,2.21
generative ai certificate program,USA,Broad match,1.46
generative ai foundations course,USA,Broad match,1.61
mit generative ai certificate,USA,Broad match,0.93
generative ai certification online,USA,Broad match,2.98
online course generative ai,USA,Broad match,1.38
professional certificate in ai,USA,Phrase match,2.02
prompt engineering course,USA,Phrase match,0.55
professional ai certificate,USA,Phrase match,0.63
mit professional development,A,Broad match,0.79
generative ai course,A,Broad match,0.93
generative ai courses,A,Broad match,0.54
online ai and ml courses,A,Phrase match,1.4
generative ai certificate course,A,Broad match,1.31
generative ai fundamentals course,A,Broad match,0.69
generative ai online program,A,Broad match,0.6
generative ai foundations course,A,Broad match,0.83
generative ai course,B,Broad match,0.34
generative ai courses,B,Broad match,0.61
online ai and ml courses,B,Phrase match,0.62
generative ai online program,B,Broad match,0.31
mit generative ai certificate,B,Broad match,0.4
online course generative ai,B,Broad match,0.55
mit professional development,USA,Broad match,1.22
generative ai course,USA,Broad match,1.1
generative ai courses,USA,Broad match,1.29
generative ai online course,USA,Broad match,1.78
online ai and ml courses,USA,Phrase match,1.49
mit artificial intelligence course,USA,Phrase match,1.71
generative ai certificate course,USA,Broad match,1.29
generative ai online course,USA,Broad match,0.6
generative ai online program,USA,Broad match,1.15
generative ai foundations course,USA,Broad match,1.31
mit generative ai certificate,USA,Broad match,2.61
prompt engineering course,USA,Phrase match,0.65
mit xpro ai course,USA,Exact match,2.43
online generative ai course,USA,Phrase match,1.43
professional ai certificate,USA,Phrase match,1.8
mit professional development,A,Broad match,0.54
generative ai course,A,Broad match,0.73
online ai and ml courses,A,Phrase match,0.79
generative ai fundamentals course,A,Broad match,0.38
generative ai online program,A,Broad match,0.93
generative ai foundations course,A,Broad match,0.94
generative ai certification online,A,Broad match,1.15
generative ai course,B,Broad match,0.25
online ai and ml courses,B,Phrase match,0.51
mit artificial intelligence course,B,Phrase match,0.3
generative ai online course,B,Broad match,1.05
generative ai online program,B,Broad match,0.33
mit generative ai certificate,B,Broad match,0.64
generative ai certification online,B,Broad match,0.3
online course generative ai,B,Broad match,0.56
stanford ai professional program,USA,Phrase match,0.86
generative ai course mit,USA,Exact match,4.09
mit professional development,USA,Broad match,0.95
generative ai course,USA,Broad match,1.52
generative ai course mit,USA,Broad match,0.73
online ai and ml courses,USA,Phrase match,1.1
mit artificial intelligence course,USA,Phrase match,1.46
generative ai certificate course,USA,Broad match,1.9
generative ai online course,USA,Broad match,0.43
generative ai online program,USA,Broad match,0.35
generative ai certificate program,USA,Broad match,0.88
generative ai foundations course,USA,Broad match,0.93
mit generative ai certificate,USA,Broad match,0.67
professional certificate in ai,USA,Phrase match,0.95
mit professional development,A,Broad match,1.22
generative ai course,A,Broad match,1.03
generative ai fundamentals course,A,Broad match,0.34
generative ai online course,A,Broad match,0.92
generative ai online program,A,Broad match,0.65
generative ai foundations course,A,Broad match,0.58
generative ai course,B,Broad match,0.49
generative ai courses,B,Broad match,0.31
generative ai online course,B,Broad match,0.61
online ai and ml courses,B,Phrase match,0.35
mit artificial intelligence course,B,Phrase match,0.38
generative ai online program,B,Broad match,0.28
generative ai certification online,B,Broad match,0.3
online course generative ai,B,Broad match,0.59
mit professional development,USA,Broad match,0.93
generative ai course,USA,Broad match,0.51
generative ai courses,USA,Broad match,1.59
generative ai online course,USA,Broad match,1.24
online ai and ml courses,USA,Phrase match,1.44
mit artificial intelligence course,USA,Phrase match,1.05
generative ai certificate course,USA,Broad match,0.93
generative ai online course,USA,Broad match,0.96
generative ai online program,USA,Broad match,1.22
generative ai certificate program,USA,Broad match,1.47
generative ai foundations course,USA,Broad match,1.13
mit generative ai certificate,USA,Broad match,0.71
online course generative ai,USA,Broad match,2.67
professional certificate in ai,USA,Phrase match,1.59
prompt engineering course,USA,Phrase match,1.48
mit professional development,A,Broad match,1.52
generative ai course,A,Broad match,0.86
generative ai courses,A,Broad match,0.34
online ai and ml courses,A,Phrase match,1.11
mit artificial intelligence course,A,Phrase match,1.13
generative ai certificate course,A,Broad match,1.02
generative ai fundamentals course,A,Broad match,0.92
generative ai online course,A,Broad match,0.4
generative ai online program,A,Broad match,0.76
generative ai foundations course,A,Broad match,0.53
generative ai course,B,Broad match,0.2
generative ai online course,B,Broad match,0.22
online ai and ml courses,B,Phrase match,0.44
generative ai online program,B,Broad match,0.27
mit generative ai certificate,B,Broad match,0.31
online course generative ai,B,Broad match,0.55
generative ai fundamentals,B,Exact match,0.42
stanford ai professional program,USA,Phrase match,0.78
mit generative ai course,USA,Exact match,0.76
mit generative ai course,B,Exact match,0.35
mit professional development,USA,Broad match,0.99
generative ai course,USA,Broad match,1.93
generative ai courses,USA,Broad match,0.75
online ai and ml courses,USA,Phrase match,1.72
mit artificial intelligence course,USA,Phrase match,1.33
generative ai certificate course,USA,Broad match,0.93
generative ai online course,USA,Broad match,1.54
generative ai online program,USA,Broad match,1.47
generative ai foundations course,USA,Broad match,1.18
mit generative ai certificate,USA,Broad match,0.96
online course generative ai,USA,Broad match,2.34
prompt engineering course,USA,Phrase match,0.63
generative ai course,A,Broad match,1.09
generative ai courses,A,Broad match,1.64
generative ai online course,A,Broad match,2.14
online ai and ml courses,A,Phrase match,1.08
generative ai fundamentals course,A,Broad match,0.85
generative ai online course,A,Broad match,0.57
generative ai online program,A,Broad match,0.93
generative ai foundations course,A,Broad match,0.67
generative ai course,B,Broad match,0.33
online ai and ml courses,B,Phrase match,0.28
mit xpro ai,B,Broad match,0.51
generative ai online program,B,Broad match,0.26
online course generative ai,B,Broad match,0.44
stanford ai professional program,USA,Phrase match,0.78
mit professional development,USA,Broad match,1.24
generative ai course,USA,Broad match,1.33
generative ai online course,USA,Broad match,1.39
online ai and ml courses,USA,Phrase match,1.5
mit artificial intelligence course,USA,Phrase match,1.23
generative ai certificate course,USA,Broad match,0.69
generative ai online course,USA,Broad match,1.42
generative ai online program,USA,Broad match,2.77
generative ai certificate program,USA,Broad match,1.17
generative ai foundations course,USA,Broad match,1.08
mit generative ai certificate,USA,Broad match,1.55
online course generative ai,USA,Broad match,1.11
prompt engineering course,USA,Phrase match,1.12
professional ai certificate,USA,Phrase match,0.69
mit professional development,A,Broad match,0.65
generative ai course,A,Broad match,0.75
online ai and ml courses,A,Phrase match,1.03
generative ai certificate course,A,Broad match,0.56
generative ai fundamentals course,A,Broad match,0.23
generative ai online course,A,Broad match,0.65
generative ai online program,A,Broad match,0.85
generative ai course,B,Broad match,0.32
generative ai courses,B,Broad match,0.39
generative ai online course,B,Broad match,0.35
mit xpro ai,B,Broad match,0.23
generative ai online program,B,Broad match,0.32
mit generative ai certificate,B,Broad match,0.32
generative ai certification online,B,Broad match,0.32
online course generative ai,B,Broad match,0.35
ai certification mit,USA,Exact match,0.78
mit professional development,USA,Broad match,1.61
generative ai course,USA,Broad match,1.01
generative ai courses,USA,Broad match,2.58
generative ai course mit,USA,Broad match,1.23
online ai and ml courses,USA,Phrase match,1.82
mit artificial intelligence course,USA,Phrase match,1.65
generative ai certificate course,USA,Broad match,1.12
generative ai online course,USA,Broad match,1.45
generative ai online program,USA,Broad match,2.25
generative ai foundations course,USA,Broad match,1.57
mit generative ai certificate,USA,Broad match,1.4
online course generative ai,USA,Broad match,1.4
mit xpro ai course,USA,Phrase match,2.46
professional ai certificate,USA,Phrase match,3.0
mit professional development,A,Broad match,0.61
generative ai course,A,Broad match,0.81
generative ai courses,A,Broad match,0.64
online ai and ml courses,A,Phrase match,1.67
generative ai fundamentals course,A,Broad match,1.17
generative ai online program,A,Broad match,0.94
generative ai foundations course,A,Broad match,0.59
professional certificate in ai,A,Phrase match,1.15
generative ai course,B,Broad match,0.44
mit xpro ai,B,Broad match,0.12
generative ai online course,B,Broad match,0.32
generative ai online program,B,Broad match,0.24
online course generative ai,B,Broad match,0.32
stanford ai professional program,USA,Phrase match,0.58
generative ai course mit,USA,Exact match,1.47
mit professional development,USA,Broad match,1.39
generative ai course,USA,Broad match,2.07
generative ai courses,USA,Broad match,1.89
generative ai course mit,USA,Broad match,0.65
generative ai online course,USA,Broad match,3.23
online ai and ml courses,USA,Phrase match,2.06
mit artificial intelligence course,USA,Phrase match,1.83
generative ai certificate course,USA,Broad match,1.44
generative ai online course,USA,Broad match,1.83
generative ai online program,USA,Broad match,2.08
generative ai certificate program,USA,Broad match,1.14
generative ai foundations course,USA,Broad match,2.27
mit generative ai certificate,USA,Broad match,1.33
mit professional development,A,Broad match,0.93
generative ai course,A,Broad match,0.96
generative ai courses,A,Broad match,0.92
online ai and ml courses,A,Phrase match,1.02
generative ai online course,A,Broad match,0.5
generative ai online program,A,Broad match,0.61
generative ai foundations course,A,Broad match,0.61
generative ai course,B,Broad match,0.38
generative ai online course,B,Broad match,0.19
mit xpro ai,B,Broad match,0.09
generative ai online course,B,Broad match,0.23
generative ai online program,B,Broad match,0.2
mit generative ai certificate,B,Broad match,0.27
generative ai certification online,B,Broad match,0.23
online course generative ai,B,Broad match,0.33
ai certification mit,USA,Exact match,5.38
stanford ai professional program,USA,Phrase match,1.09
driving innovation with generative ai mit,A,Phrase match,3.62
mit professional development,USA,Broad match,1.64
generative ai course,USA,Broad match,0.66
generative ai online course,USA,Broad match,2.12
online ai and ml courses,USA,Phrase match,1.4
mit artificial intelligence course,USA,Phrase match,2.25
generative ai certificate course,USA,Broad match,2.08
generative ai online course,USA,Broad match,1.81
generative ai online program,USA,Broad match,1.1
generative ai certificate program,USA,Broad match,2.16
generative ai foundations course,USA,Broad match,1.19
mit generative ai certificate,USA,Broad match,1.52
online course generative ai,USA,Broad match,2.56
generative ai course usa,USA,Phrase match,0.91
online generative ai course,USA,Phrase match,2.83
mit professional development,A,Broad match,1.41
generative ai course,A,Broad match,0.68
generative ai online course,A,Broad match,1.41
online ai and ml courses,A,Phrase match,1.01
generative ai certificate course,A,Broad match,0.91
generative ai fundamentals course,A,Broad match,0.73
generative ai online course,A,Broad match,0.9
generative ai online program,A,Broad match,1.14
generative ai certificate program,A,Broad match,1.05
generative ai foundations course,A,Broad match,1.45
professional certificate in ai,A,Phrase match,0.56
generative ai course,B,Broad match,0.29
generative ai online course,B,Broad match,0.37
mit xpro ai,B,Broad match,0.22
generative ai online program,B,Broad match,0.17
mit generative ai certificate,B,Broad match,0.36
generative ai certification online,B,Broad match,0.42
online course generative ai,B,Broad match,0.35
ai certification mit,USA,Exact match,0.72
mit professional development,USA,Broad match,1.55
generative ai course,USA,Broad match,1.31
generative ai online course,USA,Broad match,1.28
online ai and ml courses,USA,Phrase match,1.41
mit artificial intelligence course,USA,Phrase match,1.46
generative ai online course,USA,Broad match,0.6
generative ai online program,USA,Broad match,1.72
generative ai certificate program,USA,Broad match,1.04
generative ai foundations course,USA,Broad match,1.87
mit generative ai certificate,USA,Broad match,1.0
online course generative ai,USA,Broad match,1.05
professional certificate in ai,USA,Phrase match,1.61
mit professional development,A,Broad match,0.81
generative ai course,A,Broad match,1.14
generative ai fundamentals course,A,Broad match,1.26
generative ai online program,A,Broad match,0.49
generative ai foundations course,A,Broad match,1.67
generative ai online course,B,Broad match,0.49
online ai and ml courses,B,Phrase match,0.27
mit xpro ai,B,Broad match,0.15
generative ai online course,B,Broad match,0.45
generative ai online program,B,Broad match,0.2
online course generative ai,B,Broad match,0.43
mit professional development,USA,Broad match,1.39
generative ai course,USA,Broad match,1.34
online ai and ml courses,USA,Phrase match,1.78
mit artificial intelligence course,USA,Phrase match,1.2
generative ai online course,USA,Broad match,1.67
generative ai online program,USA,Broad match,1.15
generative ai certificate program,USA,Broad match,2.09
generative ai foundations course,USA,Broad match,1.18
mit generative ai certificate,USA,Broad match,1.3
online course generative ai,USA,Broad match,1.39
professional certificate in ai,USA,Phrase match,0.82
mit xpro ai course,USA,Phrase match,0.81
prompt engineering course,USA,Phrase match,1.14
mit professional development,A,Broad match,1.0
