Keyword,Region,Match type,Avg. CPC
generative ai certificate course,USA,Broad match,1.02
generative ai online course,USA,Broad match,1.13
generative ai online program,USA,Broad match,1.22
generative ai certificate program,USA,Broad match,1.1
generative ai foundations course,USA,Broad match,0.91
mit generative ai certificate,USA,Broad match,1.0
generative ai certification online,USA,Broad match,1.4
online course generative ai,USA,Broad match,1.58
professional ai certificate,USA,Phrase match,1.76
mit professional development,A,Broad match,1.36
generative ai course,A,Broad match,0.43
generative ai courses,A,Broad match,0.74
online ai and ml courses,A,Phrase match,1.62
generative ai certificate course,A,Broad match,1.06
generative ai online course,A,Broad match,0.46
generative ai online program,A,Broad match,0.83
generative ai foundations course,A,Broad match,0.47
generative ai course,B,Broad match,0.27
generative ai courses,B,Broad match,0.14
online ai and ml courses,B,Phrase match,0.38
generative ai online course,B,Broad match,0.29
generative ai online program,B,Broad match,0.26
generative ai certificate program,B,Broad match,0.32
mit generative ai certificate,B,Broad match,0.17
generative ai certification online,B,Broad match,0.41
online course generative ai,B,Broad match,0.4
stanford ai professional program,USA,Phrase match,1.39
mit professional development,USA,Broad match,1.25
generative ai course,USA,Broad match,1.24
generative ai courses,USA,Broad match,2.54
generative ai online course,USA,Broad match,0.72
online ai and ml courses,USA,Phrase match,1.02
mit artificial intelligence course,USA,Phrase match,0.97
generative ai certificate course,USA,Broad match,1.26
generative ai online course,USA,Broad match,0.67
generative ai online program,USA,Broad match,1.44
generative ai certificate program,USA,Broad match,1.06
generative ai foundations course,USA,Broad match,1.2
mit generative ai certificate,USA,Broad match,1.07
online course generative ai,USA,Broad match,3.37
professional certificate in ai,USA,Phrase match,0.9
mit professional development,A,Broad match,3.06
generative ai course,A,Broad match,0.97
online ai and ml courses,A,Phrase match,1.12
generative ai certificate course,A,Broad match,1.07
generative ai online course,A,Broad match,1.54
generative ai online program,A,Broad match,0.89
generative ai foundations course,A,Broad match,0.63
generative ai course,B,Broad match,0.31
generative ai courses,B,Broad match,0.32
generative ai online course,B,Broad match,0.27
online ai and ml courses,B,Phrase match,0.37
mit artificial intelligence course,B,Phrase match,0.45
generative ai certificate course,B,Broad match,0.19
generative ai online course,B,Broad match,0.37
generative ai online program,B,Broad match,0.33
generative ai certification online,B,Broad match,0.36
online course generative ai,B,Broad match,0.57
stanford ai professional program,USA,Phrase match,0.23
mit professional development,USA,Broad match,1.53
generative ai course,USA,Broad match,1.47
generative ai courses,USA,Broad match,2.96
generative ai course mit,USA,Broad match,0.91
generative ai online course,USA,Broad match,1.31
online ai and ml courses,USA,Phrase match,1.86
mit artificial intelligence course,USA,Phrase match,1.51
generative ai certificate course,USA,Broad match,1.22
generative ai online course,USA,Broad match,1.23
generative ai online program,USA,Broad match,1.9
generative ai foundations course,USA,Broad match,1.58
mit generative ai certificate,USA,Broad match,1.65
generative ai certification online,USA,Broad match,1.6
online course generative ai,USA,Broad match,1.9
professional certificate in ai,USA,Phrase match,1.29
prompt engineering course,USA,Phrase match,1.2
generative ai certification online,USA,Phrase match,1.11
professional ai certificate,USA,Phrase match,2.46
mit professional development,A,Broad match,1.1
generative ai course,A,Broad match,1.18
generative ai courses,A,Broad match,0.46
online ai and ml courses,A,Phrase match,1.01
generative ai certificate course,A,Broad match,0.93
generative ai fundamentals course,A,Broad match,0.83
generative ai online program,A,Broad match,0.74
generative ai certificate program,A,Broad match,0.86
generative ai foundations course,A,Broad match,0.31
generative ai certification online,A,Broad match,0.43
