Budget,Spend New,Clicks New,Conv New,Purch New,Spend Existing,Clicks Existing,Conv Existing,Purch Existing,Spend Existing searches,Clicks Existing searches,Conv Existing searches,Purch Existing searches
Actual,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
362,0.04421902247447199,0.03933664480344343,0.03892024140751557,0.03809667392241439,0.955780977525528,0.9606633662222108,0.9610797508645736,0.9619033179489676,0.0,0.0,0.0,0.0
