Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost,Bid
mit electrical engineering courses online,USA,Exact match,existing searches,1.0799999609316728,1.4099886914000002,0.7594253321394411,1.4099885,1.6887039810953297e-07,0.12243366,1.8487662839160872
mit electrical engineering courses online,USA,Broad match,existing searches,1.0799999609317077,1.84219907139,0.8680745801752474,1.8421991,-1.5752944726443733e-08,0.12243366,1.6173724945704318
mit entrepreneurship,USA,Phrase match,existing searches,1.079999960931616,1.6966028668100008,0.893271372478641,1.6966027,1.6466919272595248e-07,0.12243366,1.571750749512206
mit entrepreneurship,USA,Broad match,existing searches,1.0799999609316728,1.8027289298100009,1.0019206193012726,1.802729,-8.07719695572473e-08,0.1224339,1.4013085689266556
mit entrepreneurship 101,USA,Broad match,existing searches,1.079999960931694,2.0281266588900007,1.001920642349473,2.0281267,-5.77237688759169e-08,0.1224339,1.4013085366909552
mit ex,USA,Exact match,existing searches,1.079999960931708,2.5845476147000426,0.8860924001996153,2.5845473,3.334347837835594e-07,0.1224339,1.584484810946277
mit ex,USA,Phrase match,existing searches,1.079999960931671,2.6779973837,0.8932714792352785,2.677997,2.714258302560779e-07,0.1224339,1.571750561669252
mit ex,USA,Broad match,existing searches,1.079999960931687,1.6467126786999997,1.0019207179837522,1.6467128,-1.0129877958675593e-07,0.1224339,1.4013084309071662
mit free courses with certificate,USA,Broad match,existing searches,59.82000076506866,46.839129138980006,46.04289250472555,46.839134,-5.077328587788088e-06,48.08556,1.6889903471335528
mit generative ai certificate,USA,Phrase match,existing,1.0799999609316728,2.7434413657100003,0.8711981997401517,2.7434413,2.2402505184260235e-08,0.12243366,1.6115735198143653
mit generative ai certificate,USA,Broad match,existing,1.0799999609316728,2.8495674287099995,0.9798474465627828,2.8495677,-2.2303865776507337e-07,0.12243414,1.4328760605911472
mit idss,USA,Broad match,existing searches,1.0799999609315591,1.7242775039100002,1.0019207076453518,1.7242776,-1.1163717994477906e-07,0.12243414,1.4013084453665157
mit in usa requirements,USA,Broad match,existing searches,1.0799999609316728,2.09940788041,0.8680743862235984,2.0994077,2.075279197377711e-07,0.12243414,1.617372855935796
mit inscription,USA,Exact match,existing searches,1.0799999609315876,4.524060934220001,1.123686044846222,4.5240607,2.0805422984437882e-07,0.12243414,1.2494592734781211
mit inscription,USA,Phrase match,existing searches,1.0799999609317013,4.617510703220001,1.1236859828373102,4.617511,-9.237326104027944e-08,0.12243366,1.2494593424277731
mit inscription,USA,Broad match,existing searches,1.0799999609317157,3.586225998220002,1.232334863957917,3.5862262,-2.26679290005194e-07,0.12243366,1.1393006805812285
mit internship for international students,USA,Broad match,existing searches,1.0799999609316586,1.7214148734900026,0.8680744861456422,1.721415,-1.693871947150427e-07,0.1224339,1.617372669763731
mit introduction to computer science and programming in python,USA,Broad match,existing searches,1.0799999609316815,2.2725454472800166,0.8680744075079829,2.2725456,-1.2881556443744557e-07,0.1224339,1.6173728162793173
mit introduction to computer science using python,USA,Broad match,existing searches,1.0799999609317157,1.3127977554000023,0.8680743877089625,1.312798,-2.67823874411377e-07,0.12243384,1.6173728531683698
mit lms,USA,Broad match,existing searches,1.0799999609317157,1.3599628120900005,0.8680743485928384,1.3599629,-1.281260642027604e-07,0.12243414,1.6173729260484837
mit official website,USA,Phrase match,existing searches,1.0799999609316444,2.227956890279999,0.8932716838667298,2.2279568,1.184294129430441e-07,0.12243366,1.5717502016112326
mit official website,USA,Broad match,existing searches,1.0799999609315591,1.504558801279999,1.0019206997022403,1.5045589,-1.195802914466526e-07,0.12243402,1.4013084564759268
mit online courses,USA,Broad match,existing searches,1.079999960931616,1.77120220389,0.752646443506394,1.7712022,-2.7216333631230327e-09,0.12243378,1.8654176357629642
mit online science technology and engineering community,USA,Broad match,existing searches,1.0799999609317392,1.9266634990800005,0.868074636660872,1.9266635,-1.8871964879707548e-08,0.12243366,1.6173723893280356
mit online summer programs,USA,Broad match,existing searches,1.0799999609316728,1.8374307432800725,0.868074504438062,1.8374308,-9.149013013853846e-08,0.12243354,1.617372635681816
mit opencourseware classical mechanics,USA,Broad match,existing searches,13.88000039661917,13.159665428180002,12.048811040896677,13.159665,3.20452951285688e-07,14.224514,1.4975751926359435
mit opencourseware mit ocw,USA,Broad match,existing searches,1.079999960931694,2.2308075467799986,0.8680744210933531,2.2308075,3.979095275497002e-09,0.12243366,1.6173727909674411
mit opencourseware organic chemistry,USA,Phrase match,existing searches,1.079999960931758,2.4134326234800003,0.8932715908033035,2.4134324,2.6378456574605025e-07,0.1224339,1.5717503653605427
mit opencourseware organic chemistry,USA,Broad match,existing searches,1.079999960931474,1.6900345344800003,1.0019207258481035,1.6900346,-9.343442819442772e-08,0.1224339,1.4013084199076347
mit pro,USA,Phrase match,existing searches,1.079999960931275,2.581184799480001,0.8932718585009973,2.5811846,1.7385439088357657e-07,0.1224339,1.5717498943342005
mit pro,USA,Broad match,existing searches,1.079999960931752,1.8577867104800003,1.0019207551272171,1.8577868,-6.415531439429857e-08,0.12243366,1.4013083789575826
mit professional development,USA,Phrase match,existing,13.880000396619156,14.819789085580002,12.693957719994676,14.819787,2.0601283416965543e-06,12.4506,1.4214637320859511
mit professional development,USA,Broad match,existing,15.779999616370649,19.07588521158,17.782101070039474,19.075882,3.253572188555154e-06,16.36301,1.1536319257483731
mit professional education,USA,Phrase match,existing searches,13.880000396618923,14.020621332900005,12.31956151463218,14.020621,3.3156350554008895e-08,11.139306,1.4646625607716146
mit professional education,USA,Broad match,existing searches,13.880000396619169,14.801424267900003,13.93241167367698,14.801425,-7.122635707901281e-07,14.85796,1.2951096291316253
mit registration,USA,Exact match,existing searches,1.0799999609316444,3.3369211528200013,1.0878562304872377,3.3369215,-3.006559508023088e-07,0.12243366,1.2906116726309533
mit registration,USA,Phrase match,existing searches,1.0799999609316728,3.48990242741,1.2374355103720365,3.4899025,-6.892789050638727e-08,0.12243366,1.1346045409583085
mit registration,USA,Broad match,existing searches,1.0799999609313886,3.5960284904100006,1.3460849956132477,3.5960288,-3.143690521234533e-07,0.1224339,1.0430247375063957
mit sign up,USA,Broad match,existing searches,1.079999960931687,1.378247782280001,0.8680743423004478,1.3782479,-7.481381003593415e-08,0.12243384,1.6173729377722548
mit summer program application,USA,Broad match,existing searches,1.0799999609316728,1.4642049223000768,0.8680744319970373,1.4642051,-2.2353579964828898e-07,0.12243366,1.6173727706519603
mit summer programs for international students,USA,Broad match,existing searches,1.079999960931739,2.272545447280004,0.8680744075079696,2.2725456,-1.288155777601219e-07,0.1224339,1.617372816279428
mit summer research program 2026,USA,Broad match,existing searches,1.0799999609317394,1.9885523821000008,0.8680743480805306,1.9885522,1.6938485192241617e-07,0.1224339,1.6173729270030373
mit summer research program msrp,USA,Broad match,existing searches,1.0799999609313886,1.8993196263000005,1.0019205584212771,1.8993195,9.676661405499942e-08,0.1224339,1.4013086540744142
mit technology review,USA,Phrase match,existing searches,1.0799999609317372,3.153626964780001,0.8932717306338827,3.1536267,2.844058553108653e-07,0.1224339,1.5717501193225418
