Campaign,Targeted location,Clicks
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,Israel,0
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),Bolivia,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,"Maryland, United States",0
Program - MLx - Run 13 - Search - Lead Gen - B (broad),Bolivia,0
Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,Panama,0
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,Peru,0
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,Denmark,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,"Ohio, United States",0
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),United States,0
Program - MLx - Run 14 - Search - Prospecting - B,Slovakia,0
Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,Chile,0
Program - MLx - Run 13 - Search - Lead Gen - B (broad),Iceland,0
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,Qatar,0
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,Italy,0
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,Spain,0
Program - MLx - Run 14 - Search - Prospecting - B,Iceland,0
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),Luxembourg,0
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),Portugal,0
Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,Taiwan,0
Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,Italy,0
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,Costa Rica,0
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),Greece,0
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),Italy,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,"Colorado, United States",0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,"New Mexico, United States",0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,"Alabama, United States",0
Program - MLx - Run 13 - Search - Lead Gen - B (broad),Taiwan,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,"Kansas, United States",0
Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,Nicaragua,0
Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,Australia,0
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),Peru,0
Program - MLx - Run 13 - Search - Lead Gen - B (broad),Qatar,0
Program - MLx - Run 13 - Search - Lead Gen - A (broad),Canada,0
Program - MLx - Run 14 - Search - Prospecting - B,Greece,0
Program - MLx - Run 14 - Search - Prospecting - A,Belgium,0
Program - MLx - Run 13 - Search - Lead Gen - A (broad),France,0
Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,Poland,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,"Virginia, United States",0
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),United Kingdom,0
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),South Korea,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,"Massachusetts, United States",0
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,New Zealand,0
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,Belgium,0
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),Canada,0
Program - MLx - Run 14 - Search - Prospecting - A,Norway,0
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),Norway,0
Program - MLx - Run 13 - Search - Lead Gen - B (broad),Indonesia,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,"Pennsylvania, United States",0
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,Aruba,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,"Wyoming, United States",0
