Campaign,Age,Clicks
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),55 - 64,345
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),65+,234
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),Unknown,4655
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),18 - 24,1354
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),25 - 34,786
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),35 - 44,433
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),45 - 54,281
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),55 - 64,132
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),65+,164
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),Unknown,484
Program - MLx - Run 13 - Search - Lead Gen - USA (exact),18 - 24,1284
Program - MLx - Run 13 - Search - Lead Gen - USA (exact),25 - 34,3762
Program - MLx - Run 13 - Search - Lead Gen - USA (exact),35 - 44,2320
Program - MLx - Run 13 - Search - Lead Gen - USA (exact),45 - 54,1599
Program - MLx - Run 13 - Search - Lead Gen - USA (exact),55 - 64,747
Program - MLx - Run 13 - Search - Lead Gen - USA (exact),65+,628
Program - MLx - Run 13 - Search - Lead Gen - USA (exact),Unknown,3817
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),18 - 24,0
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),25 - 34,464
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),35 - 44,310
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),45 - 54,215
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),55 - 64,84
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),65+,85
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),Unknown,547
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),18 - 24,0
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),25 - 34,86
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),35 - 44,64
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),45 - 54,53
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),55 - 64,30
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),65+,16
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),Unknown,133
Program - MLx - Run 15 - Search - Prospecting - A,18 - 24,2669
Program - MLx - Run 15 - Search - Prospecting - A,25 - 34,2041
Program - MLx - Run 15 - Search - Prospecting - A,35 - 44,462
Program - MLx - Run 15 - Search - Prospecting - A,45 - 54,260
Program - MLx - Run 15 - Search - Prospecting - A,55 - 64,109
Program - MLx - Run 15 - Search - Prospecting - A,65+,93
Program - MLx - Run 15 - Search - Prospecting - A,Unknown,660
Program - MLx - Run 15 - Search - Prospecting - B,18 - 24,4511
Program - MLx - Run 15 - Search - Prospecting - B,25 - 34,3161
Program - MLx - Run 15 - Search - Prospecting - B,35 - 44,753
Program - MLx - Run 15 - Search - Prospecting - B,45 - 54,376
Program - MLx - Run 15 - Search - Prospecting - B,55 - 64,117
Program - MLx - Run 15 - Search - Prospecting - B,65+,92
Program - MLx - Run 15 - Search - Prospecting - B,Unknown,1316
Program - MLx - Run 15 - Search - Prospecting - USA,18 - 24,2664
Program - MLx - Run 15 - Search - Prospecting - USA,25 - 34,2492
Program - MLx - Run 15 - Search - Prospecting - USA,35 - 44,1129
Program - MLx - Run 15 - Search - Prospecting - USA,45 - 54,717
Program - MLx - Run 15 - Search - Prospecting - USA,55 - 64,384
Program - MLx - Run 15 - Search - Prospecting - USA,65+,310
Program - MLx - Run 15 - Search - Prospecting - USA,Unknown,2832
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,18 - 24,621
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,25 - 34,846
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,35 - 44,455
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,45 - 54,198
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,55 - 64,64
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,65+,72
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,Unknown,471
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,18 - 24,735
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,25 - 34,820
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,35 - 44,233
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,45 - 54,131
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,55 - 64,77
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,65+,32
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,Unknown,648
Program - MLx - Run 9 - Search - Lead Gen - US,18 - 24,796
Program - MLx - Run 9 - Search - Lead Gen - US,25 - 34,1055
Program - MLx - Run 9 - Search - Lead Gen - US,35 - 44,715
Program - MLx - Run 9 - Search - Lead Gen - US,45 - 54,447
Program - MLx - Run 9 - Search - Lead Gen - US,55 - 64,233
Program - MLx - Run 9 - Search - Lead Gen - US,65+,178
Program - MLx - Run 9 - Search - Lead Gen - US,Unknown,963
