Day,Budget,t_Clicks_OptCost,t_Clicks_ActCost,tm1_Clicks_OptCost,Actual_Clicks,Opt_Cost,Act_Cost,Opt_Conv,Act_Conv,Opt_Purch,Act_Purch,N_Opt,N_Obs,Avg_Cost_Change,Pct_New_Keywords,Eval_CV_MSE,Eval_Train_MSE,Eval_Train_R2,Eval_Best_Params,Hist_MSE,Hist_R2,Hist_Bias,Opt_Cost_Region_C,Act_Cost_Region_C,Opt_Clicks_Region_C,Act_Clicks_Region_C,Opt_Conv_Region_C,Act_Conv_Region_C,Opt_Purch_Region_C,Act_Purch_Region_C,Opt_Cost_Region_A,Act_Cost_Region_A,Opt_Clicks_Region_A,Act_Clicks_Region_A,Opt_Conv_Region_A,Act_Conv_Region_A,Opt_Purch_Region_A,Act_Purch_Region_A,Opt_Cost_Region_USA,Act_Cost_Region_USA,Opt_Clicks_Region_USA,Act_Clicks_Region_USA,Opt_Conv_Region_USA,Act_Conv_Region_USA,Opt_Purch_Region_USA,Act_Purch_Region_USA,Opt_Cost_Region_B,Act_Cost_Region_B,Opt_Clicks_Region_B,Act_Clicks_Region_B,Opt_Conv_Region_B,Act_Conv_Region_B,Opt_Purch_Region_B,Act_Purch_Region_B,Opt_Cost_Origin_new,Act_Cost_Origin_new,Opt_Clicks_Origin_new,Act_Clicks_Origin_new,Opt_Conv_Origin_new,Act_Conv_Origin_new,Opt_Purch_Origin_new,Act_Purch_Origin_new,Opt_Cost_Origin_existing,Act_Cost_Origin_existing,Opt_Clicks_Origin_existing,Act_Clicks_Origin_existing,Opt_Conv_Origin_existing,Act_Conv_Origin_existing,Opt_Purch_Origin_existing,Act_Purch_Origin_existing,Opt_Cost_Origin_existing searches,Act_Cost_Origin_existing searches,Opt_Clicks_Origin_existing searches,Act_Clicks_Origin_existing searches,Opt_Conv_Origin_existing searches,Act_Conv_Origin_existing searches,Opt_Purch_Origin_existing searches,Act_Purch_Origin_existing searches
2025-12-01,847,346.96948,120.78253,516.483660706843,278,847.1799843444303,726.9199999999998,6.63249780732826,2.5800988664058027,0.17399968195237903,0.07012214836719577,73,115,,,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.430553436279297,0.9004178643226624,-0.0003728192015514,0.0,35.660000000000004,0.0,19.531975,0.0,0.41568076910319557,0.0,0.003637841775970818,282.3499946628664,75.22999999999999,120.15682,21.31521,2.032558196883307,0.360565506850569,0.06541868626298758,0.011604942877444553,282.58999028053324,576.6899999999999,79.128914,65.596825,1.8544231402721416,1.5372919671383616,0.060578586133059734,0.05021883723327861,282.2399994010307,39.34,147.68378,14.338533,2.745516470172813,0.26656062331367714,0.04800240955633172,0.00466052648050179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.7599929793339,726.9199999999998,191.41824,120.78253,3.5189206330293743,2.580098866405803,0.09189432858922728,0.07012214836719577,409.41999136509634,0.0,155.55128,0.0,3.1135770848996787,0.0,0.08210535044274084,0.0
2025-12-02,847,274.4658,129.23552,524.3425869257671,283,847.1891731388018,737.42,5.120694309189648,2.747579646926313,0.13218554942892644,0.07426069976534666,207,113,0.2731596216005711,0.9227053140096618,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.48295783996582,0.8991323709487915,-0.0004037098085169,0.0,36.68,0.0,23.105467,0.0,0.49173197277455255,0.0,0.004303405993496225,282.4866666666639,79.18000000000002,111.16226,26.216644,1.8804071802503408,0.4434775353247107,0.060521645855008514,0.014273499175854526,282.4866666666694,584.2499999999999,42.186443,67.43905,0.9886590427014229,1.5804655264730487,0.0322966024710667,0.05162919128140772,282.2158398054686,37.309999999999995,121.11709,12.474357,2.251628086237885,0.23190461235400103,0.03936730110285122,0.004054603314588172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.46250978928109,737.42,82.68544,129.23552,1.5225713839288522,2.747579646926313,0.04437681821125068,0.07426069976534665,601.7266633495207,0.0,191.78036,0.0,3.5981230514658886,0.0,0.08780873369422584,0.0
2025-12-03,847,282.6843,125.01679,529.5002969142349,276,847.4599999998031,724.63,5.123101924080223,2.6717208283744593,0.12249119057790936,0.07158684277035635,196,115,1.8394547626677897,0.8571428571428571,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.448667526245117,0.8997974395751953,-0.0003813621845686,0.0,34.910000000000004,0.0,24.090927,0.0,0.512704682279232,0.0,0.004486949242215732,282.6796889062199,76.5,114.680664,23.100258,1.9399241714912068,0.3907611861424176,0.06243722366393595,0.012576802710594831,283.3403137206805,579.48,12.3643055,66.34469,0.2897632596070439,1.5548188605901743,0.009465719122619147,0.05079138963599495,281.4399973729028,33.739999999999995,155.63933,11.480919,2.8934144929819716,0.21343609936263455,0.05058824779135425,0.0037317011815508104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.39999934612678,724.63,42.867733,125.01679,0.7910102205332676,2.671720828374459,0.019743040215573743,0.07158684277035635,666.0600006536765,0.0,239.81659,0.0,4.3320915310407475,0.0,0.10274814846459018,0.0
2025-12-04,847,331.34174,130.35843,505.14673177839876,292,847.3800101724869,745.9399999999999,6.171897110011343,2.827967041002531,0.155763001898396,0.07435849266139018,70,123,2.8056120104939137,0.9428571428571428,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.232055187225342,0.9045693278312684,-0.0002532130807876,0.0,38.61,0.0,29.937,0.0,0.6371211419129627,0.0,0.005575783338270846,281.90000121623456,66.60000000000001,126.36357,17.98811,2.137550807773493,0.3042846749769848,0.06879791480477745,0.009793522132590311,290.420005575154,613.23,46.17131,73.08296,1.0820461701722552,1.712733263328779,0.03534728708686623,0.05594999181270604,275.06000338109834,27.5,158.80684,9.350361,2.9523001320655937,0.1738279607838036,0.051617800006752326,0.0030391953778229923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.10000494715104,745.9399999999999,126.81583,130.35843,2.447326811379799,2.8279670410025304,0.07401971919644251,0.07435849266139019,434.2800052253358,0.0,204.52591,0.0,3.724570150076648,0.0,0.08174327949530068,0.0
2025-12-05,847,242.98407,137.64256,631.8766436624171,250,847.4397046500845,754.8499999999999,5.24520877764535,2.9338104928451147,0.15412681759607277,0.07720663048852096,15,113,,1.0,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",6.416935443878174,0.8551303744316101,-0.0004930737300124,0.0,37.04999999999999,0.0,27.913029,0.0,0.5940468912216581,0.0,0.005198817839069302,85.4700027049413,81.27,24.088753,24.426998,0.4074824129785474,0.41320413090633495,0.01311498198339615,0.013299137728888312,676.4996992400933,598.09,158.5878,70.32925,3.716578954406361,1.6481986573259821,0.12140977612950957,0.053841834778098605,85.47000270504994,38.440000000000005,60.307518,14.973276,1.121147410260442,0.2783608133911391,0.019602059483167084,0.0048668401424647205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.08000152058993,754.8499999999999,42.211098,137.64256,0.7702952142683952,2.9338104928451147,0.015610757274754928,0.07720663048852094,781.3597031294946,0.0,200.77298,0.0,4.474913544050613,0.0,0.1385160602205851,0.0
2025-12-06,847,313.02286,67.88111,521.1635817517749,182,847.4600000000455,382.88,5.724992143673085,1.444394493668016,0.1382038470087007,0.03535527537481948,159,85,2.2730923669948484,0.9937106918238994,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.605203151702881,0.8959200382232666,-0.0004172192570708,0.0,25.220000000000002,0.0,15.698541,0.0,0.33409734033014055,0.0,0.002923862137081439,283.1000061639908,26.200000000000003,121.15719,7.3255043,2.0494801410345564,0.12391734828980379,0.06596332570164565,0.003988328670117507,283.170006971722,294.17,22.421568,31.468603,0.5254599346288388,0.7374814197937435,0.017165240887100707,0.024091363368098504,281.18998686433264,37.290000000000006,169.44412,13.388466,3.1500520680096904,0.24889838525432856,0.05507528041995434,0.0043517211995220285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.7400065297541,382.88,141.64067,67.88111,2.492613024297592,1.4443944936680162,0.07188905526024826,0.03535527537481947,483.7199934702914,0.0,171.38217,0.0,3.232379161554647,0.0,0.06631479309523955,0.0
2025-12-07,847,372.3858,189.25116,448.4452368164638,340,847.4599999999899,1059.52,6.940191535615622,4.044794448592704,0.17315766311152755,0.10510430958578725,26,110,,1.0,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.345458030700684,0.9017112851142884,-0.0002236956027727,0.0,53.42,0.0,44.35456,0.0,0.943956582150555,0.0,0.008261062200828959,284.62000378967787,105.48,135.98276,34.243385,2.300267537413533,0.5792569430007688,0.07403501684809585,0.01864361290020182,286.72999916156414,861.5899999999999,50.58271,95.86896,1.185429380643623,2.2467336830597273,0.038724514529861205,0.07339422539631736,276.1099970487479,39.03,185.82036,14.784278,3.4544946175584665,0.27484724038165365,0.06039813173357049,0.004805409088439108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.57000072865128,1059.52,112.184326,189.25116,2.050624258351068,4.044794448592704,0.04925129767656424,0.10510430958578725,612.8899992713388,0.0,260.20148,0.0,4.889567391279808,0.0,0.12390637017408936,0.0
2025-12-08,847,309.83304,127.29468,504.1492043951018,266,847.2800094573465,777.01,5.785573183733117,2.7236692669625593,0.14824870551577232,0.07428602530266733,85,112,0.5296612007722237,0.9764705882352941,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.666664123535156,0.8943631052970886,-0.0002971218289007,0.0,30.2,0.0,20.656189,0.0,0.4396063665471435,0.0,0.0038472273053625976,281.93000302856206,75.64,121.645004,22.477364,2.0577323619401398,0.3802243498427916,0.06622892668233249,0.012237670483460243,283.6200018496501,634.6700000000001,47.333714,70.01927,1.1092876285198163,1.6409342565134049,0.03623718594277443,0.05360452802713495,281.73000457913446,36.5,140.85431,14.141856,2.618553193273162,0.2629042940592193,0.045782592890665406,0.00459659948670953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.9100025228286,777.01,84.55162,127.29468,1.7374887382500137,2.7236692669625593,0.05092131032329919,0.07428602530266733,510.370006934518,0.0,225.2814,0.0,4.048084327932462,0.0,0.09732739296755606,0.0
2025-12-09,847,318.89703,139.6146,535.4246585144507,279,833.2199970731291,800.4499999999999,5.962173934934901,3.0126285126375465,0.14805148218229092,0.0824686133226598,43,107,1.3674922685607789,0.8837209302325582,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.309216976165772,0.9023589491844176,-0.0002708457449641,0.0,34.550000000000004,0.0,24.226257,0.0,0.5155847881980852,0.0,0.004512154569018385,276.2999985707127,79.72,111.20703,22.742512,1.8811646211263675,0.3847095639312186,0.06054602438798609,0.012382028865780149,283.37999641766254,654.9099999999999,45.3971,80.4963,1.0639022433894665,1.886468286242611,0.03475457800794381,0.06162540742921422,273.5400020847537,31.269999999999996,162.29285,12.149527,3.0171070704190663,0.22586587426563223,0.052750879786361,0.003949022458647047,1.9800000556414084,0.0,0.57442325,0.0,0.013461876559882957,0.0,0.000439760177159896,0.0,21.700000099973263,800.4499999999999,6.009515,139.6146,0.11930637576596607,3.012628512637547,0.002643108707692273,0.0824686133226598,809.5399969175143,0.0,312.31305,0.0,5.829405528202965,0.0,0.144968610406935,0.0
2025-12-10,847,320.84793,132.29169,493.1930991487134,238,847.4299963338627,683.07,5.903942865402171,2.8390234235115095,0.14945614198601992,0.07260007891422403,122,93,0.7830479722149939,0.9426229508196722,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.474295139312744,0.8985182642936707,-0.0003338289111738,0.0,39.510000000000005,0.0,32.776733,0.0,0.6975565226776104,0.0,0.00610468524866391,281.9999969759196,70.83,136.39832,20.584187,2.307297321791987,0.3481996295805454,0.0742612732275962,0.01120694224615403,283.82000070895253,539.38,34.599613,67.26663,0.8108580544259425,1.576424861087156,0.026488363645267396,0.05149719454840845,281.60999864899065,33.35,149.85,11.664146,2.7857874891842407,0.21684241016619824,0.0487065051131563,0.0037912568709976588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.76999787774906,683.07,128.0565,132.29169,2.2492114332297333,2.83902342351151,0.06000443807983088,0.07260007891422404,595.6599984561136,0.0,192.79143,0.0,3.654731460910445,0.0,0.08945170379931237,0.0
