x_max,alpha,avg clicks (opt),se clicks (opt),avg cost (opt),se cost (opt),clicks/$ (opt),avg n kws (opt),se n kws (opt),avg clicks (act),se clicks (act),avg cost (act),se cost (act),clicks/$ (act),avg n kws (act),se n kws (act),improvement in clicks,improvement in clicks/$
30.0,0.0,367.2009554838709,7.870264201338607,347.9593415659971,0.024267318451982565,1.0552984547886446,36.41935483870968,2.243640567666366,184.91598290322577,6.3299648065636385,348.0196774193549,11.264539865597182,0.5313377228391793,36.87096774193548,0.40624674816596545,0.9857718609215217,0.9861161920702798
30.0,0.5,366.74700709677427,7.965677116104154,347.94466691629196,0.0193259691156456,1.0540383054211484,37.354838709677416,2.5048548075007724,184.91598290322577,6.3299648065636385,348.0196774193549,11.264539865597182,0.5313377228391793,36.87096774193548,0.40624674816596545,0.9833169709765339,0.983744537822276
30.0,1.0,366.7772425806451,7.971627879929889,347.93768186160867,0.027020812944724037,1.0541463649991492,37.096774193548384,2.520178709617219,184.91598290322577,6.3299648065636385,348.0196774193549,11.264539865597182,0.5313377228391793,36.87096774193548,0.40624674816596545,0.9834804802816581,0.9839479105047637
60.0,0.0,366.9206767741937,7.831443887589167,347.9525514074853,0.0243806964116083,1.054513540107642,36.774193548387096,2.2248400582452676,184.91598290322577,6.3299648065636385,348.0196774193549,11.264539865597182,0.5313377228391793,36.87096774193548,0.40624674816596545,0.9842561525155916,0.984638949542103
60.0,0.5,366.7436945161291,8.002326459660365,347.98334226029465,0.012504503087021248,1.0539116387985075,37.12903225806452,2.4506930928717257,184.91598290322577,6.3299648065636385,348.0196774193549,11.264539865597182,0.5313377228391793,36.87096774193548,0.40624674816596545,0.9832990569996394,0.9835061458971477
60.0,1.0,366.5502767741935,8.057109555620773,347.97838346615634,0.012624746983587455,1.0533708247134363,37.25806451612903,2.5123213538095586,184.91598290322577,6.3299648065636385,348.0196774193549,11.264539865597182,0.5313377228391793,36.87096774193548,0.40624674816596545,0.9822530806654204,0.9824883109838249
90.0,0.0,367.191286451613,7.903704740346112,347.97018675493763,0.017515104290812742,1.0552377773392756,36.483870967741936,2.286882165340991,184.91598290322577,6.3299648065636385,348.0196774193549,11.264539865597182,0.5313377228391793,36.87096774193548,0.40624674816596545,0.9857195721355221,0.9860019945519015
90.0,0.5,367.15003935483867,8.06383120673986,347.96679947817137,0.014009901021736684,1.0551295120840134,36.83870967741935,2.427041552423532,184.91598290322577,6.3299648065636385,348.0196774193549,11.264539865597182,0.5313377228391793,36.87096774193548,0.40624674816596545,0.9854965135543939,0.9857982347761346
90.0,1.0,367.0306216129032,8.0320865387867,347.94409431049826,0.018201588248433636,1.0548551552232195,36.83870967741935,2.5273117913583234,184.91598290322577,6.3299648065636385,348.0196774193549,11.264539865597182,0.5313377228391793,36.87096774193548,0.40624674816596545,0.9848507189613004,0.9852818835949538
None,0.0,367.74580064516135,7.896767564292245,347.97080752745615,0.01428327345728109,1.0568294600866621,36.29032258064516,2.2567430849279453,184.91598290322577,6.3299648065636385,348.0196774193549,11.264539865597182,0.5313377228391793,36.87096774193548,0.40624674816596545,0.988718308020016,0.988997608601063
None,0.5,366.7941883870967,8.098029273187214,347.9655784849317,0.013243871043993067,1.0541105530729393,37.0,2.525568178382028,184.91598290322577,6.3299648065636385,348.0196774193549,11.264539865597182,0.5313377228391793,36.87096774193548,0.40624674816596545,0.9835721208536927,0.9838805109495082
None,1.0,367.0306958064516,8.041173513548914,347.9261539916859,0.027329094424072876,1.0549097605787412,36.774193548387096,2.47990186998857,184.91598290322577,6.3299648065636385,348.0196774193549,11.264539865597182,0.5313377228391793,36.87096774193548,0.40624674816596545,0.9848511201897244,0.9853846531766615
